date,PM2_5,PM10,PM1_0,CO2,pressure,humidity,battery,lux,dB,run_time,mslPressure,temperature_int,temperature,NO2,O3
1625115044,,,,,,,,,,,,19.5,19.9,22.84699343899,31.314315838645
1625114647,,,,,841.1,118.6,2500,0,50,540000,841.1,,,,
1625114538,5,5,5,280,,,,,,,,,,,
1625114444,,,,,,,,,,,,19.4,19.8,22.817948041474,30.369174610507
1625113801,,,,,,,,,,,,19.4,19.7,22.736957157092,33.227321238374
1625113338,5,5,5,280,,,,,,,,,,,
1625113201,,,,,,,,,,,,19.2,19.7,22.804460921899,33.411100603189
1625112847,,,,,840.6,111.9,2500,0,50,,840.6,,,,
1625112559,,,,,,,,,,,,19.3,19.7,22.757210558765,33.819213206936
1625112009,5,5,5,290,,,,,,,,,,,
1625111959,,,,,,,,,,,,19.1,19.6,22.894260843857,33.553700813065
1625111316,,,,,,,,,,,,19,19.5,23.015459405775,33.332446174266
1625110918,,,,,840.3,119.1,2500,0,50,536400,840.3,,,,
1625110809,8,8,7,270,,,,,,,,,,,
1625110716,,,,,,,,,,,,18.7,19.3,23.212084753799,31.892738003645
1625110073,,,,,,,,,,,,18.6,19.1,23.549845897871,23.878645026345
1625109609,5,5,5,290,,,,,,,,,,,
1625109473,,,,,,,,,,,,18.3,18.8,23.844481953807,22.128842014665
1625109118,,,,,840.3,120.1,2500,0,50,,840.3,,,,
1625108830,,,,,,,,,,,,18.3,18.5,23.643178523783,33.42300540873
1625108282,4,4,4,300,,,,,,,,,,,
1625108230,,,,,,,,,,,,18.1,18.5,23.862100028958,33.097116808271
1625107588,,,,,,,,,,,,18,18.4,24.033477725766,33.658256557269
1625107191,,,,,840.2,121.1,2500,0,56,532800,840.2,,,,
1625107082,4,4,4,290,,,,,,,,,,,
1625106988,,,,,,,,,,,,17.8,18.2,24.214838241082,33.728179171575
1625106346,,,,,,,,,,,,17.7,18.1,24.335743357767,35.91609249029
1625105882,0,0,0,310,,,,,,,,,,,
1625105746,,,,,,,,,,,,17.8,18,24.383569250212,36.841020222599
1625105391,,,,,840,95.6,2500,0,62,,840,,,,
1625105104,,,,,,,,,,,,18.4,18.4,24.342746279322,40.412666494516
1625104554,7,7,3,310,,,,,,,,,,,
1625104504,,,,,,,,,,,,19,18.9,24.204206045753,42.726411178061
1625103860,,,,,,,,,,,,20.1,19.7,23.899547407266,45.762441686013
1625103463,,,,,839.7,77.8,2500,0,60,529200,839.7,,,,
1625103354,9,9,4,330,,,,,,,,,,,
1625103260,,,,,,,,,,,,22,20.8,22.941047344431,52.022518344397
1625102616,,,,,,,,,,,,25.1,24.5,21.72982276882,59.615620362554
1625102154,5,5,1,290,,,,,,,,,,,
1625102016,,,,,,,,,,,,26.1,25.4,21.398172849449,61.973859694864
1625101663,,,,,838.7,52.2,2500,5,58,,838.7,,,,
1625101369,,,,,,,,,,,,27.5,26.9,20.870772237177,65.181715186831
1625100819,13,13,2,290,,,,,,,,,,,
1625100769,,,,,,,,,,,,28.2,28.3,20.667081481244,66.393893674347
1625100121,,,,,,,,,,,,28.4,28.6,20.612489306701,66.784733088116
1625099723,,,,,838.1,39.1,2500,25,58,525600,838.1,,,,
1625099619,12,12,1,300,,,,,,,,,,,
1625099521,,,,,,,,,,,,28.3,28.3,20.679400500464,66.580507794082
1625098873,,,,,,,,,,,,28.6,28.7,20.673514554066,66.764756894652
1625098419,12,12,1,270,,,,,,,,,,,
1625098273,,,,,,,,,,,,29,28.4,20.374764584287,68.75773098432
1625097923,,,,,838.1,42.2,2500,35,58,,838.1,,,,
1625097626,,,,,,,,,,,,30.4,29.5,19.744951585603,71.794295690869
1625097074,13,13,1,270,,,,,,,,,,,
1625097026,,,,,,,,,,,,31.3,31.8,19.462019255532,73.507943045726
1625096377,,,,,,,,,,,,30.9,31.7,19.726142687786,71.778875637526
1625095978,,,,,838,37,2500,65,58,522000,838,,,,
1625095874,14,14,3,290,,,,,,,,,,,
1625095777,,,,,,,,,,,,30.3,30.8,19.968562533932,70.42167200713
1625095128,,,,,,,,,,,,30.2,30.2,19.958004186112,70.167379174612
1625094674,17,17,5,290,,,,,,,,,,,
1625094528,,,,,,,,,,,,30.8,30.6,19.580012642195,72.720575168506
1625094178,,,,,838.1,36.1,2500,30,58,,838.1,,,,
1625093879,,,,,,,,,,,,31.6,32,19.339048661059,73.741925752089
1625093328,23,23,10,290,,,,,,,,,,,
1625093279,,,,,,,,,,,,30.7,31.3,19.702678430279,70.965975341836
1625092631,,,,,,,,,,,,30.7,31.1,19.567987068208,71.967632248183
1625092231,,,,,838.4,37.7,2500,35,57,518400,838.4,,,,
1625092128,21,21,9,270,,,,,,,,,,,
1625092031,,,,,,,,,,,,31.2,31.6,19.177383059837,74.281486534289
1625091382,,,,,,,,,,,,30.7,31.6,19.609656291332,71.49606275517
1625090928,22,22,9,260,,,,,,,,,,,
1625090782,,,,,,,,,,,,29.7,30.6,20.055456406446,69.244355365661
1625090431,,,,,838.4,39.8,2500,65,57,,838.4,,,,
1625090133,,,,,,,,,,,,29.1,29.2,20.29406146456,67.883801518799
1625089582,25,25,11,300,,,,,,,,,,,
1625089533,,,,,,,,,,,,29.3,29.4,20.218341233221,68.77439128984
1625088885,,,,,,,,,,,,30,30,20.029029293719,69.775869837676
1625088486,,,,,838.7,36.8,2500,30,57,514800,838.7,,,,
1625088382,27,29,13,280,,,,,,,,,,,
1625088285,,,,,,,,,,,,30.4,30.2,19.885218407106,70.775599317892
1625087637,,,,,,,,,,,,31.9,31.4,19.154748012833,74.67635691344
