,hidden_neurons,hidden_neurons,hidden_layers,hidden_layers,regularization,regularization,acc_train,acc_train,mse_train,mse_train,mae_train,mae_train,rmse_train,rmse_train,std_res_train,std_res_train,ia_train,ia_train,acc_test,acc_test,mse_test,mse_test,mae_test,mae_test,rmse_test,rmse_test,std_res_test,std_res_test,ia_test,ia_test
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
epochs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,44.166666666666664,34.61201018440808,5.5,2.8757068239773984,0.3449999999999994,0.3768890368026808,0.7699523809523809,0.17883041557879248,153.06375952380952,118.96562886226238,8.007959523809523,1.7835033371118343,12.054638095238095,2.787111441711905,11.833657142857144,2.018579306535819,0.9301380952380953,0.07455532440622785,0.7442738095238096,0.1777201382017406,163.74471428571428,113.8053522786979,8.211683333333333,1.7353932012565292,12.521297619047619,2.6416244820283614,12.304009523809524,1.843284353415476,0.9232428571428571,0.0730537322858078
100,44.166666666666664,34.61201018440808,5.5,2.8757068239773984,0.3449999999999994,0.3768890368026808,0.7967833333333333,0.10847558685490631,135.20944285714285,72.17770253827122,7.6457500000000005,1.3790081444322597,11.45037380952381,2.026804905473001,11.372064285714286,2.0073836908408076,0.9316595238095238,0.1070431215041297,0.7596047619047619,0.10184552848201492,153.92908571428572,65.21360192842828,8.028778571428571,1.2465667719629596,12.281976190476191,1.7576366724846113,12.20727857142857,1.7333251064354265,0.920904761904762,0.10512429500217589
200,44.166666666666664,34.61201018440808,5.5,2.8757068239773984,0.3449999999999994,0.3768890368026808,0.815947619047619,0.10305744682046451,122.45176666666666,68.56343400509289,7.2975666666666665,1.4335683811457487,10.876333333333335,2.041308298326013,10.823019047619047,2.0470180791440904,0.9374571428571428,0.11320455041761361,0.7576928571428572,0.09199589306195104,155.13919761904762,58.90367019531766,8.050942857142857,1.1864687992206269,12.354119047619047,1.587603277641518,12.304466666666666,1.5902995503942294,0.9205357142857142,0.11053627644887948
