,model_number,epochs,hidden_neurons,hidden_layers,activation,regularization,random_state_trainsplit,acc_train,mse_train,mae_train,rmse_train,ia_train,acc_test,mse_test,mae_test,rmse_test,ia_test
model266,model788,100,100,3,relu,0.1,30,0.8228579089873862,114.77826598652037,6.96713232415042,10.713461904842914,0.947,0.7830693373803954,153.92676113475258,7.698046938543037,12.40672241709117,0.933
model267,model788,100,100,3,relu,0.1,32,0.8322866233025207,108.75370702232432,7.172345364740044,10.428504543908696,0.954,0.7755275376785589,158.82675885495433,8.132699710934016,12.602648882475236,0.937
model268,model788,100,100,3,relu,0.1,34,0.8247376117059911,115.8928895699333,6.993441443991369,10.765355989001632,0.948,0.7638134157204048,155.04388724950996,7.925530721074297,12.451662027597358,0.928
model269,model788,100,100,3,relu,0.1,36,0.840538796070865,107.3213465965002,6.998840419839156,10.359601662057292,0.957,0.7684828156136223,141.0237920675738,7.805027632012061,11.875343871550575,0.936
model270,model788,100,100,3,relu,0.1,38,0.8325364236886508,111.18031167404513,7.030136713334431,10.54420749388237,0.951,0.7707498113554109,148.02831554422903,7.526634275865997,12.166688766637742,0.929
model271,model788,100,100,3,relu,0.1,40,0.8425010924506409,103.5872371528495,6.968043437707241,10.177781543777087,0.956,0.7999098678949054,134.16223181246107,7.6370422493650825,11.582842130170862,0.944
model272,model788,100,100,3,relu,0.1,42,0.8367075861082722,108.9276535954768,7.014318544169239,10.436841169409297,0.953,0.7926749617766282,131.2949585443986,7.647772894684043,11.458401221130224,0.939
model273,model788,100,100,3,relu,0.1,44,0.825950289282196,113.64572619074202,7.118999144414531,10.660474951461685,0.952,0.7845548239802821,148.60446351409462,7.715612915430864,12.19034304333125,0.939
model274,model788,100,100,3,relu,0.1,46,0.8420700809699659,105.3257458179259,6.8412544242460305,10.262833225670478,0.956,0.7853661924161555,136.00543461663233,7.564291705589384,11.66213679462869,0.94
model275,model788,100,100,3,relu,0.1,48,0.8460528847927464,101.55398660966377,6.705139455661543,10.07739979407703,0.956,0.7822524266379268,144.34121218359033,7.65545615501175,12.014208762277702,0.935
model276,model788,100,100,3,relu,0.1,50,0.8370168730149342,106.81956208920079,6.816442251737392,10.335354957097545,0.952,0.7833433551036959,147.30424938293493,7.742205574083839,12.136896200550408,0.934
model277,model788,100,100,3,relu,0.1,52,0.8362719745229462,108.53897446543434,6.929158983168957,10.418203994232131,0.952,0.7733406080029427,147.28754164090628,7.7368569286085,12.13620787729455,0.932
model278,model788,100,100,3,relu,0.1,54,0.8406968977795833,104.78183350691354,6.979964076477826,10.2362997956739,0.956,0.7737129659084134,151.73673350601896,7.906130599597652,12.31814651260566,0.939
model279,model788,100,100,3,relu,0.1,56,0.8434398475147691,103.2829598377967,6.91192499564974,10.16282243462891,0.957,0.7747925975275824,149.2585369503007,7.759693022431342,12.217141111991001,0.936
model280,model788,100,100,3,relu,0.1,58,0.8412609309549164,104.43242564670729,6.953291631994641,10.219218445982417,0.957,0.7903627913746322,140.4560945693227,7.857494470340255,11.851417407606682,0.942
model281,model788,100,100,3,relu,0.1,60,0.83616129716855,107.76891771317466,6.888273483160858,10.38118094020014,0.952,0.7732194496432994,152.03525093940007,7.737979621497138,12.330257537432058,0.931
model282,model788,100,100,3,relu,0.1,62,0.8453198485819051,100.30450007411362,6.715542432020119,10.015213431281113,0.956,0.7667542738443632,164.99614974836285,7.943981218339746,12.845082706949102,0.929
model283,model788,100,100,3,relu,0.1,64,0.8338422309191538,110.1775653231337,6.955862516948712,10.496550162940856,0.953,0.7909789114655245,135.66970349304464,7.691189511744159,11.647733835087607,0.941
model284,model788,100,100,3,relu,0.1,66,0.8388212930294481,104.98796800338923,6.841351002515947,10.246363647821076,0.954,0.7930468343208839,144.05118919279045,7.508351904952815,12.002132693517034,0.939
model285,model788,100,100,3,relu,0.1,68,0.8297027750519492,111.4542013310082,7.084887106133001,10.557187188404315,0.951,0.7895343675940322,143.89247121185429,7.747151830848663,11.995518797111457,0.937
model286,model788,100,100,3,relu,0.1,70,0.8408609679732807,104.61192571844336,6.85663000989644,10.22799715088166,0.955,0.785178047228585,144.38548094351023,7.6424272046213115,12.016050971243017,0.939
model287,model788,100,100,3,relu,0.1,72,0.8230134869625354,116.98865824424377,7.100647477246043,10.816129540840558,0.95,0.789830196979287,138.19740821647892,7.655067836944547,11.755739373449844,0.939
model288,model788,100,100,3,relu,0.1,74,0.8431637696258403,104.71261563234481,6.947355655581575,10.23291823637543,0.957,0.7736516224037787,142.81115187761225,7.757997382069865,11.95036199776443,0.936
model289,model788,100,100,3,relu,0.1,76,0.8324504135458511,110.02112812408384,7.1986557063136445,10.489095677134605,0.955,0.7873363076100227,143.53362274212552,7.8728405961087145,11.98055185465701,0.942
model290,model788,100,100,3,relu,0.1,78,0.8294064542502813,112.59320829872918,7.212460456564682,10.610994689411978,0.953,0.7870604153437779,140.86306407882918,7.763470976505468,11.868574643942262,0.941
model291,model788,100,100,3,relu,0.1,80,0.8458709471876604,100.86567317242637,6.768903770940454,10.043190388139935,0.955,0.7629577517313199,162.1012801658445,7.775760600606825,12.731900100371684,0.928
model292,model788,100,100,3,relu,0.1,82,0.8362004395660165,106.68954348314985,7.194673379656043,10.329063049626033,0.956,0.7945743573649895,143.0155352887681,8.118531808487353,11.95891028851576,0.944
model293,model788,100,100,3,relu,0.1,84,0.8223271833874749,117.9974667237934,7.119486856510762,10.862663887085588,0.948,0.7804659863822895,141.5778517517827,7.647390581372651,11.898649156596841,0.934
model294,model788,100,100,3,relu,0.1,86,0.8452909394288411,102.62891491026896,6.816253358533945,10.130593018686959,0.957,0.7879899712248395,137.4032203436828,7.607879173101631,11.721911974745536,0.941
model295,model788,100,100,3,relu,0.1,88,0.8353099874831317,107.1612404185529,6.865404416724822,10.351871348628368,0.952,0.7823054722604424,152.13073369298306,7.616827496056037,12.334128817755353,0.935
model296,model788,100,100,3,relu,0.1,90,0.838111086781256,105.78918746600526,6.9572538508725685,10.285387083916932,0.956,0.7698188579906796,158.29387856450478,7.873816557187121,12.581489520899535,0.933
model297,model788,100,100,3,relu,0.1,92,0.8481622743389251,100.17538377353512,6.751542605798103,10.008765347111257,0.958,0.7737442160543819,149.90619978092997,7.817572097694759,12.243618737159776,0.934
model298,model788,100,100,3,relu,0.1,94,0.8227598669593985,117.39177855403261,7.157111650815395,10.834748661322633,0.948,0.7731216327807827,147.97859620788762,7.6091032044997196,12.164645338351942,0.931
model299,model788,100,100,3,relu,0.1,96,0.8342009218594086,108.55627628754193,6.896753246774696,10.419034326056419,0.952,0.7966552784814821,138.7929512719119,7.6934239754003295,11.781042028272028,0.939
model300,model788,100,100,3,relu,0.1,98,0.8365603592048515,107.49891447914922,7.119508036596604,10.368168328067847,0.955,0.742176240379522,172.90528475112424,7.976627520462574,13.149345411507154,0.925
