,epochs,epochs,hidden_layers,hidden_layers,regularization,regularization,acc_train,acc_train,mse_train,mse_train,mae_train,mae_train,rmse_train,rmse_train,std_res_train,std_res_train,ia_train,ia_train,acc_test,acc_test,mse_test,mse_test,mae_test,mae_test,rmse_test,rmse_test,std_res_test,std_res_test,ia_test,ia_test
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
hidden_neurons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,116.66666666666667,62.50996730729567,5.5,2.8791446098121796,0.345,0.3773395916997245,0.6824571428571429,0.2989239082762804,211.28159523809524,198.86411492006465,9.111209523809524,3.2074327007830425,13.725600000000002,4.795775663272855,13.457319047619047,4.026188083813066,0.8639,0.2223786686011134,0.6664714285714286,0.2973511314120335,213.56775238095238,190.40431203023937,9.164919047619048,3.134254848085187,13.87280476190476,4.6057999315587494,13.600214285714285,3.8160762892961073,0.8602761904761905,0.2204569849324666
10,116.66666666666667,62.50996730729567,5.5,2.8791446098121796,0.345,0.3773395916997245,0.7871761904761906,0.055393783051251276,141.58858095238094,36.853002077445595,7.872480952380952,0.7344365493968814,11.857014285714286,1.0021492381320873,11.80805238095238,1.0028151199035755,0.9344571428571428,0.06475423225294612,0.7658142857142857,0.05359237239266384,149.95420000000001,34.31195493989127,8.015361904761905,0.6994809097033435,12.210580952380953,0.9275717517579843,12.161419047619049,0.9280784055822975,0.9286904761904762,0.06418517174939577
25,116.66666666666667,62.50996730729567,5.5,2.8791446098121796,0.345,0.3773395916997245,0.8081571428571428,0.01461758367731258,127.64856666666667,9.740243090500446,7.5347285714285706,0.30112879764028644,11.290019047619047,0.4295567311559522,11.205966666666667,0.3760064056174981,0.9448380952380953,0.005259984917335601,0.7750666666666667,0.009324317814796104,144.02690952380954,5.98324370799709,7.846742857142857,0.222778991414633,11.998604761904762,0.24591267555039673,11.918119047619047,0.17093449910633773,0.9354619047619048,0.0037862728881091316
50,116.66666666666667,62.50996730729567,5.5,2.8791446098121796,0.345,0.3773395916997245,0.8231904761904763,0.022163418818933394,117.62224761904761,14.747149430677617,7.265514285714286,0.4587451078296345,10.824361904761904,0.6762222196939649,10.723285714285714,0.5934571926498668,0.9498523809523809,0.006891650801025234,0.7742238095238096,0.012629895602500177,144.52947619047617,8.10582710961746,7.829152380952381,0.2772962860506101,12.017542857142859,0.3292045227084557,11.923861904761905,0.2434212387996305,0.935595238095238,0.003931589180434416
75,116.66666666666667,62.50996730729567,5.5,2.8791446098121796,0.345,0.3773395916997245,0.8291380952380952,0.026763271558023317,113.68080952380953,17.814877528109363,7.124923809523809,0.5356962950058783,10.631209523809524,0.8130768803169792,10.52797619047619,0.7244035820380973,0.951747619047619,0.007843451481716739,0.7716857142857143,0.018202904382440085,146.19971904761906,11.648116430360474,7.849485714285715,0.31848038147342567,12.082980952380952,0.4487964336644197,11.988585714285714,0.34664254962599583,0.9348333333333333,0.0045564858167675675
100,116.66666666666667,62.50996730729567,5.5,2.8791446098121796,0.345,0.3773395916997245,0.835247619047619,0.02722361097106573,109.6281380952381,18.104479995808713,6.9936952380952375,0.5785436198532571,10.434485714285715,0.8679985956186264,10.334880952380951,0.800105328065676,0.9537142857142857,0.008625892129953476,0.7698809523809524,0.015228722517639365,147.34793809523808,9.741773695185453,7.877147619047619,0.27669021614796474,12.132271428571428,0.3955019191853427,12.039309523809525,0.34300810375121826,0.9345095238095239,0.004902143341594005
