,epochs,hidden_neurons,hidden_layers,activation,regularization,acc_train,mse_train,mae_train,rmse_train,std_res_train,ia_train,acc_test,mse_test,mae_test,rmse_test,std_res_test,ia_test
model43,50,5,7,relu,1,-0.504,1000.511,20.456,31.631,25.794,0.398,-0.525,976.501,20.416,31.249,25.304,0.401
model44,50,5,7,relu,0.75,0.747,168.026,8.495,12.962,12.955,0.924,0.735,169.75,8.465,13.029,13.012,0.921
model45,50,5,7,relu,0.5,0.763,157.397,8.508,12.546,12.507,0.928,0.747,162.156,8.502,12.734,12.713,0.923
model46,50,5,7,relu,0.1,0.776,149.157,8.102,12.213,12.212,0.933,0.763,151.607,8.129,12.313,12.306,0.93
model47,50,5,7,relu,0.05,0.749,167.112,8.761,12.927,12.862,0.926,0.732,171.805,8.838,13.107,13.058,0.922
model48,50,5,7,relu,0.01,0.71,193.161,9.13,13.898,13.891,0.907,0.704,189.514,9.072,13.766,13.75,0.907
model49,50,5,7,relu,0.005,-0.504,1000.728,20.459,31.634,25.794,0.398,-0.525,976.718,20.419,31.252,25.304,0.401
model50,50,5,8,relu,1,-0.504,1000.467,20.455,31.63,25.794,0.398,-0.525,976.456,20.415,31.248,25.304,0.401
model51,50,5,8,relu,0.75,0.725,183.137,9.368,13.533,13.17,0.924,0.715,182.528,9.345,13.51,13.205,0.922
model52,50,5,8,relu,0.5,-0.504,1000.509,20.455,31.631,25.794,0.398,-0.525,976.499,20.416,31.249,25.304,0.401
model53,50,5,8,relu,0.1,0.776,148.755,8.003,12.197,12.196,0.933,0.766,149.526,8.044,12.228,12.224,0.931
model54,50,5,8,relu,0.05,0.778,148.01,7.97,12.166,12.123,0.933,0.758,154.855,8.096,12.444,12.386,0.928
model55,50,5,8,relu,0.01,0.774,150.252,7.935,12.258,12.217,0.931,0.762,152.494,7.975,12.349,12.286,0.927
model56,50,5,8,relu,0.005,0.772,151.748,8.154,12.319,12.316,0.933,0.76,153.439,8.233,12.387,12.387,0.93
model57,50,5,9,relu,1,0.771,152.348,8.222,12.343,12.299,0.933,0.757,155.313,8.278,12.462,12.437,0.93
model58,50,5,9,relu,0.75,0.783,144.574,8.001,12.024,11.998,0.937,0.768,148.402,8.076,12.182,12.169,0.933
model59,50,5,9,relu,0.5,0.749,166.696,8.613,12.911,12.868,0.927,0.74,166.455,8.548,12.902,12.882,0.924
model60,50,5,9,relu,0.1,0.783,144.664,8.002,12.028,12.025,0.937,0.765,150.585,8.082,12.271,12.271,0.932
model61,50,5,9,relu,0.05,0.773,151.125,8.081,12.293,12.282,0.93,0.757,155.828,8.139,12.483,12.457,0.925
model62,50,5,9,relu,0.01,0.774,150.153,8.14,12.254,12.242,0.934,0.76,153.902,8.177,12.406,12.4,0.931
model63,50,5,9,relu,0.005,-0.504,1000.698,20.458,31.634,25.794,0.398,-0.525,976.687,20.419,31.252,25.304,0.401
model64,50,5,10,relu,1,0.759,160.399,8.378,12.665,12.657,0.928,0.75,159.823,8.348,12.642,12.641,0.926
model65,50,5,10,relu,0.75,0.754,163.502,8.599,12.787,12.766,0.927,0.742,165.459,8.595,12.863,12.856,0.923
model66,50,5,10,relu,0.5,0.78,146.422,7.987,12.101,12.097,0.935,0.763,152.049,8.073,12.331,12.331,0.931
model67,50,5,10,relu,0.1,0.763,157.946,8.351,12.568,12.552,0.929,0.743,164.454,8.409,12.824,12.817,0.924
model68,50,5,10,relu,0.05,-0.504,1000.616,20.457,31.633,25.794,0.398,-0.525,976.606,20.418,31.251,25.304,0.401
model69,50,5,10,relu,0.01,0.773,150.847,8.091,12.282,12.282,0.933,0.761,153.075,8.126,12.372,12.372,0.93
model70,50,5,10,relu,0.005,0.758,161.23,8.697,12.698,12.513,0.932,0.742,165.265,8.693,12.856,12.715,0.928
model71,50,10,1,relu,1,0.769,153.706,8.387,12.398,12.319,0.935,0.756,156.529,8.396,12.511,12.459,0.931
model72,50,10,1,relu,0.75,0.782,144.792,7.967,12.033,12.025,0.937,0.764,150.823,8.077,12.281,12.279,0.932
model73,50,10,1,relu,0.5,0.77,153.058,8.283,12.372,12.359,0.934,0.755,156.809,8.318,12.522,12.52,0.93
model74,50,10,1,relu,0.1,0.784,143.559,7.993,11.982,11.98,0.938,0.764,151.1,8.088,12.292,12.292,0.933
model75,50,10,1,relu,0.05,0.778,147.681,8.029,12.152,12.145,0.936,0.763,151.807,8.1,12.321,12.319,0.931
model76,50,10,1,relu,0.01,0.774,150.392,8.185,12.263,12.258,0.933,0.758,155.054,8.26,12.452,12.452,0.929
model77,50,10,1,relu,0.005,0.775,149.675,8.122,12.234,12.224,0.934,0.761,153.106,8.156,12.374,12.371,0.931
model78,50,10,2,relu,1,0.788,141.208,7.732,11.883,11.805,0.937,0.769,147.852,7.83,12.159,12.055,0.932
model79,50,10,2,relu,0.75,0.771,152.317,8.341,12.342,12.282,0.933,0.753,158.289,8.446,12.581,12.539,0.929
model80,50,10,2,relu,0.5,0.793,137.858,7.675,11.741,11.726,0.938,0.771,146.338,7.807,12.097,12.069,0.932
model81,50,10,2,relu,0.1,0.778,147.564,7.932,12.148,12.097,0.932,0.764,150.799,7.963,12.28,12.209,0.929
model82,50,10,2,relu,0.05,0.782,145.302,8.001,12.054,12.054,0.936,0.764,150.947,8.034,12.286,12.282,0.932
model83,50,10,2,relu,0.01,0.783,144.398,7.774,12.017,11.961,0.935,0.767,148.953,7.883,12.205,12.123,0.931
model84,50,10,2,relu,0.005,0.784,143.555,7.932,11.981,11.967,0.938,0.767,148.891,7.997,12.202,12.197,0.934
model85,50,10,3,relu,1,0.788,141.104,7.783,11.879,11.864,0.937,0.774,144.917,7.843,12.038,12.014,0.933
model86,50,10,3,relu,0.75,0.779,146.785,8.135,12.115,12.067,0.937,0.765,150.189,8.194,12.255,12.231,0.933
model87,50,10,3,relu,0.5,0.783,144.221,8.033,12.009,11.99,0.937,0.765,150.702,8.155,12.276,12.267,0.932
model88,50,10,3,relu,0.1,0.779,147.051,8.18,12.126,12.045,0.938,0.76,153.854,8.3,12.404,12.35,0.933
model89,50,10,3,relu,0.05,0.789,140.584,7.855,11.857,11.855,0.937,0.771,146.683,7.956,12.111,12.105,0.933
model90,50,10,3,relu,0.01,0.788,140.722,7.952,11.863,11.834,0.94,0.774,144.868,8.045,12.036,12.02,0.936
model91,50,10,3,relu,0.005,0.793,137.88,7.874,11.742,11.694,0.941,0.775,143.862,8.028,11.994,11.962,0.936
model92,50,10,4,relu,1,0.793,137.999,7.699,11.747,11.714,0.939,0.774,144.655,7.835,12.027,11.98,0.935
model93,50,10,4,relu,0.75,0.786,142.122,7.94,11.921,11.903,0.938,0.768,148.423,8.052,12.183,12.175,0.933
model94,50,10,4,relu,0.5,0.79,139.402,7.751,11.807,11.755,0.937,0.769,147.828,7.87,12.158,12.079,0.932
model95,50,10,4,relu,0.1,0.785,143.025,7.777,11.959,11.831,0.933,0.769,148.064,7.828,12.168,12.002,0.928
model96,50,10,4,relu,0.05,0.788,141.018,7.806,11.875,11.874,0.938,0.77,147.125,7.95,12.13,12.124,0.933
model97,50,10,4,relu,0.01,0.782,144.747,7.942,12.031,12.02,0.937,0.763,151.865,8.05,12.323,12.321,0.932
model98,50,10,4,relu,0.005,0.78,146.28,7.829,12.095,12.039,0.934,0.768,148.8,7.855,12.198,12.114,0.931
model99,50,10,5,relu,1,0.784,143.522,7.933,11.98,11.98,0.936,0.765,150.282,8.082,12.259,12.259,0.932
model100,50,10,5,relu,0.75,0.783,144.144,7.895,12.006,11.972,0.934,0.763,151.624,8.0,12.314,12.265,0.928
model101,50,10,5,relu,0.5,0.779,146.92,8.007,12.121,12.068,0.936,0.758,154.804,8.187,12.442,12.372,0.93
model102,50,10,5,relu,0.1,0.79,139.963,7.78,11.831,11.828,0.938,0.774,144.636,7.856,12.026,12.013,0.934
model103,50,10,5,relu,0.05,0.785,142.837,7.792,11.951,11.809,0.934,0.768,148.287,7.864,12.177,12.003,0.929
model104,50,10,5,relu,0.01,0.786,142.329,7.788,11.93,11.921,0.936,0.771,146.854,7.871,12.118,12.094,0.932
model105,50,10,5,relu,0.005,0.777,148.345,8.107,12.18,12.15,0.935,0.759,154.147,8.184,12.416,12.399,0.93
model106,50,10,6,relu,1,0.789,140.361,7.782,11.847,11.845,0.937,0.77,147.289,7.946,12.136,12.128,0.932
model107,50,10,6,relu,0.75,0.783,144.681,7.922,12.028,11.992,0.935,0.764,150.894,8.01,12.284,12.233,0.93
model108,50,10,6,relu,0.5,0.79,139.877,7.79,11.827,11.811,0.938,0.771,146.688,7.89,12.111,12.084,0.933
model109,50,10,6,relu,0.1,0.77,153.2,8.045,12.377,12.312,0.929,0.759,154.337,8.029,12.423,12.327,0.927
model110,50,10,6,relu,0.05,0.789,140.581,7.833,11.857,11.855,0.939,0.775,144.212,7.92,12.009,12.009,0.935
model111,50,10,6,relu,0.01,0.785,143.355,7.83,11.973,11.97,0.935,0.767,149.398,7.934,12.223,12.212,0.93
model112,50,10,6,relu,0.005,0.796,135.667,7.698,11.648,11.646,0.941,0.775,144.277,7.876,12.012,12.012,0.935
model113,50,10,7,relu,1,0.781,145.895,8.336,12.079,11.781,0.939,0.76,153.867,8.469,12.404,12.153,0.934
model114,50,10,7,relu,0.75,0.793,138.034,7.742,11.749,11.737,0.938,0.773,145.208,7.871,12.05,12.025,0.933
model115,50,10,7,relu,0.5,0.781,145.774,7.944,12.074,12.044,0.934,0.762,152.47,8.015,12.348,12.292,0.929
model116,50,10,7,relu,0.1,0.777,148.333,8.244,12.179,12.128,0.935,0.753,158.423,8.382,12.587,12.548,0.929
model117,50,10,7,relu,0.05,0.783,144.695,8.132,12.029,11.973,0.939,0.767,149.253,8.203,12.217,12.176,0.936
model118,50,10,7,relu,0.01,0.78,146.14,8.102,12.089,12.056,0.937,0.761,152.964,8.223,12.368,12.348,0.933
model119,50,10,7,relu,0.005,0.792,138.651,7.698,11.775,11.768,0.937,0.773,145.039,7.857,12.043,12.028,0.932
model120,50,10,8,relu,1,0.786,142.365,8.07,11.932,11.88,0.939,0.764,150.916,8.163,12.285,12.254,0.933
model121,50,10,8,relu,0.75,0.791,138.831,7.745,11.783,11.77,0.939,0.769,148.192,7.899,12.173,12.153,0.933
model122,50,10,8,relu,0.5,0.78,146.532,8.029,12.105,12.095,0.937,0.761,153.207,8.14,12.378,12.374,0.933
model123,50,10,8,relu,0.1,0.783,144.224,8.079,12.009,11.968,0.937,0.765,150.777,8.181,12.279,12.253,0.932
model124,50,10,8,relu,0.05,0.79,139.759,7.775,11.822,11.796,0.936,0.77,147.058,7.924,12.127,12.081,0.931
model125,50,10,8,relu,0.01,0.784,143.822,7.764,11.993,11.934,0.934,0.768,148.77,7.851,12.197,12.11,0.93
model126,50,10,8,relu,0.005,0.793,137.582,7.731,11.73,11.712,0.939,0.777,142.989,7.81,11.958,11.931,0.935
model127,50,10,9,relu,1,0.786,142.346,8.023,11.931,11.898,0.939,0.767,149.373,8.152,12.222,12.206,0.935
model128,50,10,9,relu,0.75,0.792,138.16,7.726,11.754,11.722,0.938,0.77,147.345,7.877,12.139,12.093,0.932
model129,50,10,9,relu,0.5,0.772,151.751,7.976,12.319,12.254,0.929,0.759,154.05,8.025,12.412,12.326,0.926
model130,50,10,9,relu,0.1,0.786,142.329,7.726,11.93,11.79,0.935,0.77,147.056,7.857,12.127,11.954,0.931
model131,50,10,9,relu,0.05,0.786,142.163,7.751,11.923,11.834,0.935,0.762,152.186,7.923,12.336,12.211,0.928
model132,50,10,9,relu,0.01,0.759,160.144,8.132,12.655,12.448,0.924,0.744,163.688,8.17,12.794,12.538,0.919
model133,50,10,9,relu,0.005,0.789,140.564,7.737,11.856,11.826,0.938,0.77,147.374,7.907,12.14,12.095,0.933
model134,50,10,10,relu,1,0.786,142.093,7.724,11.92,11.809,0.934,0.767,149.234,7.782,12.216,12.07,0.929
model135,50,10,10,relu,0.75,0.785,142.789,7.928,11.949,11.948,0.937,0.768,148.537,8.006,12.188,12.187,0.933
model136,50,10,10,relu,0.5,0.773,150.713,8.259,12.277,12.236,0.936,0.757,155.554,8.354,12.472,12.454,0.933
model137,50,10,10,relu,0.1,0.788,141.32,7.828,11.888,11.875,0.936,0.768,148.423,7.897,12.183,12.158,0.931
model138,50,10,10,relu,0.05,0.786,142.185,7.806,11.924,11.894,0.935,0.767,148.936,7.889,12.204,12.155,0.93
model139,50,10,10,relu,0.01,0.784,143.622,8.07,11.984,11.913,0.939,0.769,147.641,8.098,12.151,12.104,0.935
model140,50,10,10,relu,0.005,0.792,138.169,7.756,11.755,11.732,0.942,0.762,152.462,8.018,12.348,12.333,0.934
