,epochs,hidden_neurons,hidden_layers,activation,regularization,acc_train,mse_train,mae_train,rmse_train,std_res_train,ia_train,acc_test,mse_test,mae_test,rmse_test,std_res_test,ia_test
model214,50,50,1,relu,0.1,0.792,138.367,7.852,11.763,11.763,0.939,0.771,146.478,7.999,12.103,12.102,0.933
model215,50,50,1,relu,0.05,0.796,135.815,7.611,11.654,11.632,0.939,0.769,147.695,7.803,12.153,12.117,0.932
model216,50,50,1,relu,0.01,0.797,135.042,7.752,11.621,11.612,0.942,0.777,142.978,7.916,11.957,11.955,0.937
model217,50,50,1,relu,0.005,0.785,143.083,7.973,11.962,11.96,0.938,0.771,146.796,8.007,12.116,12.116,0.934
model218,50,50,2,relu,1,0.799,133.637,7.868,11.56,11.443,0.944,0.778,142.17,7.996,11.924,11.837,0.939
model219,50,50,2,relu,0.75,0.806,128.779,7.631,11.348,11.319,0.946,0.77,147.192,7.931,12.132,12.119,0.935
model220,50,50,2,relu,0.5,0.814,123.578,7.414,11.117,11.117,0.947,0.79,134.22,7.656,11.585,11.582,0.941
model221,50,50,2,relu,0.1,0.804,130.553,7.687,11.426,11.382,0.945,0.778,142.033,7.875,11.918,11.893,0.938
model222,50,50,2,relu,0.05,0.81,126.288,7.361,11.238,11.186,0.944,0.782,139.398,7.654,11.807,11.731,0.935
model223,50,50,2,relu,0.01,0.799,134.036,7.947,11.577,11.362,0.944,0.779,141.357,8.089,11.889,11.722,0.939
model224,50,50,2,relu,0.005,0.809,126.854,7.441,11.263,11.223,0.943,0.783,139.247,7.681,11.8,11.743,0.936
model225,50,50,3,relu,1,0.814,123.898,7.38,11.131,11.13,0.947,0.785,137.791,7.716,11.738,11.734,0.939
model226,50,50,3,relu,0.75,0.751,165.645,9.133,12.87,11.791,0.937,0.721,178.908,9.375,13.376,12.445,0.93
model227,50,50,3,relu,0.5,0.816,122.274,7.324,11.058,11.058,0.948,0.792,133.029,7.597,11.534,11.532,0.942
model228,50,50,3,relu,0.1,0.8,132.782,7.807,11.523,11.416,0.945,0.78,140.664,7.944,11.86,11.788,0.94
model229,50,50,3,relu,0.05,0.797,134.995,7.569,11.619,11.32,0.938,0.761,152.858,7.903,12.364,12.031,0.927
model230,50,50,3,relu,0.01,0.815,122.923,7.382,11.087,11.087,0.947,0.788,135.789,7.642,11.653,11.652,0.939
model231,50,50,3,relu,0.005,0.758,161.19,8.914,12.696,11.767,0.938,0.73,173.159,9.122,13.159,12.391,0.93
model232,50,50,4,relu,1,0.819,120.688,7.35,10.986,10.986,0.947,0.78,140.731,7.696,11.863,11.862,0.936
model233,50,50,4,relu,0.75,0.818,121.092,7.401,11.004,10.993,0.947,0.796,130.837,7.595,11.438,11.436,0.941
model234,50,50,4,relu,0.5,0.802,131.938,7.802,11.486,11.337,0.945,0.773,145.388,8.053,12.058,11.947,0.937
model235,50,50,4,relu,0.1,0.803,130.81,7.449,11.437,11.364,0.941,0.766,149.92,7.727,12.244,12.163,0.93
model236,50,50,4,relu,0.05,0.82,119.572,7.21,10.935,10.886,0.947,0.787,136.643,7.542,11.689,11.621,0.937
model237,50,50,4,relu,0.01,0.816,122.521,7.322,11.069,11.027,0.945,0.784,138.379,7.626,11.763,11.706,0.936
model238,50,50,4,relu,0.005,0.788,141.083,7.687,11.878,11.396,0.933,0.764,150.97,7.909,12.287,11.754,0.926
model239,50,50,5,relu,1,0.813,124.284,7.326,11.148,11.05,0.944,0.777,142.956,7.71,11.956,11.825,0.933
model240,50,50,5,relu,0.75,0.809,126.758,7.354,11.259,11.216,0.945,0.772,145.673,7.696,12.07,12.008,0.934
model241,50,50,5,relu,0.5,0.777,148.437,8.289,12.183,11.763,0.944,0.743,164.382,8.549,12.821,12.472,0.936
model242,50,50,5,relu,0.1,0.776,149.245,8.532,12.217,11.562,0.942,0.747,162.177,8.752,12.735,12.18,0.935
model243,50,50,5,relu,0.05,0.808,127.997,7.772,11.314,11.04,0.95,0.773,145.567,8.076,12.065,11.864,0.94
model244,50,50,5,relu,0.01,0.815,123.368,7.275,11.107,11.057,0.945,0.787,136.36,7.529,11.677,11.618,0.936
model245,50,50,5,relu,0.005,0.807,128.256,7.416,11.325,11.164,0.942,0.775,143.799,7.681,11.992,11.81,0.933
model246,50,50,6,relu,1,0.814,123.506,7.381,11.113,11.092,0.946,0.778,142.222,7.728,11.926,11.891,0.936
model247,50,50,6,relu,0.75,0.81,126.672,7.329,11.255,11.13,0.944,0.782,139.775,7.632,11.823,11.665,0.935
model248,50,50,6,relu,0.5,0.795,136.184,7.534,11.67,11.257,0.935,0.763,151.721,7.801,12.317,11.9,0.925
model249,50,50,6,relu,0.1,0.817,121.974,7.492,11.044,10.976,0.95,0.782,139.543,7.823,11.813,11.766,0.942
model250,50,50,6,relu,0.05,0.815,122.989,7.572,11.09,10.989,0.949,0.784,138.528,7.877,11.77,11.697,0.941
model251,50,50,6,relu,0.01,0.81,126.393,7.393,11.242,11.148,0.944,0.78,140.658,7.643,11.86,11.735,0.935
model252,50,50,6,relu,0.005,0.818,121.413,7.397,11.019,11.014,0.949,0.784,138.384,7.682,11.764,11.764,0.94
model253,50,50,7,relu,1,0.812,125.072,7.528,11.184,11.128,0.948,0.772,146.301,7.906,12.096,12.059,0.937
model254,50,50,7,relu,0.75,0.804,130.343,7.671,11.417,11.392,0.941,0.782,139.42,7.826,11.808,11.796,0.934
model255,50,50,7,relu,0.5,0.797,135.158,7.533,11.626,11.286,0.937,0.764,151.146,7.867,12.294,11.93,0.927
model256,50,50,7,relu,0.1,0.811,125.471,7.611,11.201,11.139,0.947,0.781,140.313,7.907,11.845,11.8,0.938
model257,50,50,7,relu,0.05,0.807,128.435,7.694,11.333,11.224,0.948,0.772,146.175,8.021,12.09,12.019,0.938
model258,50,50,7,relu,0.01,0.804,130.306,7.767,11.415,11.304,0.946,0.783,138.949,7.969,11.788,11.711,0.94
model259,50,50,7,relu,0.005,0.818,121.096,7.336,11.004,11.002,0.949,0.784,138.596,7.71,11.773,11.773,0.94
model260,50,50,8,relu,1,0.821,119.217,7.21,10.919,10.908,0.947,0.79,134.596,7.543,11.602,11.581,0.938
model261,50,50,8,relu,0.75,0.806,128.958,7.738,11.356,11.19,0.948,0.781,140.134,7.94,11.838,11.724,0.941
model262,50,50,8,relu,0.5,0.813,124.199,7.4,11.144,11.138,0.946,0.782,139.699,7.686,11.819,11.802,0.937
model263,50,50,8,relu,0.1,0.791,138.866,7.654,11.784,11.143,0.935,0.751,159.7,8.023,12.637,11.968,0.922
model264,50,50,8,relu,0.05,0.822,118.192,7.356,10.872,10.845,0.95,0.786,136.954,7.741,11.703,11.691,0.94
model265,50,50,8,relu,0.01,0.801,132.716,7.962,11.52,11.124,0.949,0.749,160.712,8.341,12.677,12.362,0.936
model266,50,50,8,relu,0.005,0.807,128.421,7.658,11.332,11.227,0.948,0.771,146.509,7.975,12.104,12.023,0.939
model267,50,50,9,relu,1,0.819,120.593,7.507,10.981,10.908,0.95,0.773,145.654,7.978,12.069,12.016,0.937
model268,50,50,9,relu,0.75,0.816,122.543,7.454,11.07,11.059,0.947,0.782,139.706,7.702,11.82,11.818,0.938
model269,50,50,9,relu,0.5,0.812,125.325,7.569,11.195,11.118,0.948,0.776,143.209,7.846,11.967,11.925,0.937
model270,50,50,9,relu,0.1,0.78,146.229,7.761,12.093,11.579,0.929,0.754,157.295,7.962,12.542,11.979,0.92
model271,50,50,9,relu,0.05,0.808,127.642,7.417,11.298,11.275,0.94,0.78,141.033,7.692,11.876,11.841,0.932
model272,50,50,9,relu,0.01,0.775,149.746,8.492,12.237,11.555,0.943,0.732,171.428,8.823,13.093,12.5,0.933
model273,50,50,9,relu,0.005,0.792,138.445,8.032,11.766,11.373,0.945,0.753,157.939,8.438,12.567,12.251,0.934
model274,50,50,10,relu,1,0.79,140.032,8.108,11.834,11.401,0.944,0.757,155.683,8.428,12.477,12.124,0.936
model275,50,50,10,relu,0.75,0.813,124.304,7.569,11.149,11.085,0.948,0.788,135.712,7.774,11.65,11.616,0.94
model276,50,50,10,relu,0.5,0.741,172.587,9.313,13.137,11.733,0.938,0.703,189.968,9.565,13.783,12.583,0.929
model277,50,50,10,relu,0.1,0.812,125.06,7.235,11.183,11.097,0.942,0.779,141.646,7.531,11.902,11.796,0.931
model278,50,50,10,relu,0.05,0.803,131.22,7.705,11.455,11.303,0.947,0.771,146.63,8.107,12.109,11.989,0.938
model279,50,50,10,relu,0.01,0.799,133.768,7.953,11.566,11.23,0.948,0.76,153.818,8.24,12.402,12.138,0.938
model280,50,50,10,relu,0.005,0.801,132.11,7.482,11.494,11.149,0.939,0.765,150.483,7.869,12.267,11.913,0.928
model281,50,75,1,relu,1,0.799,133.875,7.635,11.57,11.567,0.942,0.775,144.087,7.859,12.004,11.995,0.936
model282,50,75,1,relu,0.75,0.804,130.319,7.6,11.416,11.411,0.943,0.786,136.894,7.701,11.7,11.699,0.938
model283,50,75,1,relu,0.5,0.802,132.052,7.603,11.491,11.491,0.943,0.782,139.705,7.776,11.82,11.818,0.938
model284,50,75,1,relu,0.1,0.8,133.115,7.632,11.538,11.53,0.941,0.78,141.049,7.799,11.876,11.858,0.936
model285,50,75,1,relu,0.05,0.788,141.017,7.902,11.875,11.855,0.94,0.769,147.956,8.015,12.164,12.154,0.936
model286,50,75,1,relu,0.01,0.797,135.197,7.831,11.627,11.504,0.944,0.777,142.525,7.982,11.938,11.851,0.94
model287,50,75,1,relu,0.005,0.79,140.05,7.749,11.834,11.608,0.936,0.772,145.766,7.922,12.073,11.799,0.931
model288,50,75,2,relu,1,0.799,133.474,7.797,11.553,11.484,0.943,0.772,145.934,8.046,12.08,12.027,0.936
model289,50,75,2,relu,0.75,0.807,128.296,7.414,11.327,11.3,0.943,0.777,142.733,7.761,11.947,11.908,0.934
model290,50,75,2,relu,0.5,0.813,124.345,7.516,11.151,11.103,0.947,0.783,139.226,7.787,11.799,11.768,0.939
model291,50,75,2,relu,0.1,0.773,150.786,7.955,12.279,11.701,0.929,0.755,157.08,8.109,12.533,11.929,0.924
model292,50,75,2,relu,0.05,0.806,129.134,7.581,11.364,11.364,0.946,0.771,146.627,7.935,12.109,12.108,0.936
model293,50,75,2,relu,0.01,0.807,128.7,7.423,11.345,11.272,0.941,0.779,141.745,7.683,11.906,11.807,0.932
model294,50,75,2,relu,0.005,0.81,126.693,7.419,11.256,11.206,0.944,0.784,138.414,7.662,11.765,11.697,0.937
model295,50,75,3,relu,1,0.815,123.413,7.459,11.109,11.107,0.947,0.78,141.073,7.771,11.877,11.877,0.937
model296,50,75,3,relu,0.75,0.816,122.645,7.445,11.075,11.067,0.95,0.775,144.236,7.87,12.01,12.008,0.939
model297,50,75,3,relu,0.5,0.785,142.805,8.121,11.95,11.531,0.946,0.75,160.171,8.447,12.656,12.333,0.937
model298,50,75,3,relu,0.1,0.802,131.686,7.611,11.475,11.451,0.945,0.777,143.069,7.878,11.961,11.952,0.938
model299,50,75,3,relu,0.05,0.819,120.145,7.298,10.961,10.956,0.95,0.785,137.509,7.714,11.726,11.713,0.94
model300,50,75,3,relu,0.01,0.811,125.618,7.437,11.208,11.206,0.945,0.779,141.383,7.714,11.89,11.89,0.936
model301,50,75,3,relu,0.005,0.814,124.028,7.495,11.137,11.11,0.946,0.783,139.004,7.759,11.79,11.778,0.937
model302,50,75,4,relu,1,0.803,130.964,7.507,11.444,11.168,0.941,0.763,151.966,7.929,12.327,12.032,0.929
model303,50,75,4,relu,0.75,0.819,120.114,7.191,10.96,10.832,0.945,0.789,135.062,7.479,11.622,11.464,0.936
model304,50,75,4,relu,0.5,0.826,115.439,7.086,10.744,10.692,0.949,0.786,136.784,7.498,11.695,11.622,0.937
model305,50,75,4,relu,0.1,0.817,122.009,7.342,11.046,10.971,0.948,0.777,142.547,7.731,11.939,11.837,0.937
model306,50,75,4,relu,0.05,0.816,122.465,7.309,11.066,11.036,0.944,0.774,144.516,7.698,12.021,11.98,0.931
model307,50,75,4,relu,0.01,0.813,124.237,7.334,11.146,11.127,0.944,0.786,137.221,7.595,11.714,11.677,0.936
model308,50,75,4,relu,0.005,0.81,126.263,7.586,11.237,11.161,0.948,0.78,141.119,7.881,11.879,11.825,0.94
model309,50,75,5,relu,1,0.812,125.164,7.616,11.188,11.065,0.948,0.77,147.44,8.006,12.142,12.056,0.936
model310,50,75,5,relu,0.75,0.819,120.56,7.51,10.98,10.882,0.949,0.78,140.726,7.857,11.863,11.799,0.939
model311,50,75,5,relu,0.5,0.775,149.953,7.831,12.246,11.546,0.927,0.742,165.09,8.043,12.849,12.087,0.916
model312,50,75,5,relu,0.1,0.825,116.138,7.238,10.777,10.777,0.949,0.792,133.175,7.525,11.54,11.538,0.94
model313,50,75,5,relu,0.05,0.812,124.955,7.415,11.178,11.159,0.946,0.784,138.579,7.707,11.772,11.741,0.938
model314,50,75,5,relu,0.01,0.797,135.233,7.545,11.629,11.286,0.937,0.754,157.619,8.022,12.555,12.196,0.924
model315,50,75,5,relu,0.005,0.822,118.136,7.31,10.869,10.846,0.949,0.789,135.247,7.645,11.63,11.619,0.939
model316,50,75,6,relu,1,0.816,122.609,7.472,11.073,11.022,0.947,0.779,141.51,7.797,11.896,11.861,0.937
model317,50,75,6,relu,0.75,0.821,119.395,7.212,10.927,10.916,0.946,0.779,141.314,7.558,11.888,11.868,0.933
model318,50,75,6,relu,0.5,0.815,123.107,7.288,11.095,11.073,0.946,0.781,140.014,7.648,11.833,11.797,0.936
model319,50,75,6,relu,0.1,0.822,118.395,7.455,10.881,10.704,0.953,0.774,144.782,7.969,12.033,11.908,0.94
model320,50,75,6,relu,0.05,0.811,125.757,7.607,11.214,11.13,0.948,0.771,146.59,7.947,12.107,12.05,0.937
model321,50,75,6,relu,0.01,0.806,129.171,7.465,11.365,11.261,0.944,0.776,143.524,7.772,11.98,11.854,0.936
model322,50,75,6,relu,0.005,0.816,122.472,7.297,11.067,11.067,0.948,0.79,134.412,7.528,11.594,11.589,0.94
model323,50,75,7,relu,1,0.811,125.889,7.295,11.22,11.03,0.942,0.776,143.717,7.62,11.988,11.754,0.931
model324,50,75,7,relu,0.75,0.805,129.868,7.951,11.396,11.06,0.947,0.772,145.994,8.26,12.083,11.843,0.938
model325,50,75,7,relu,0.5,0.802,132.007,7.963,11.489,11.203,0.945,0.777,142.699,8.097,11.946,11.726,0.938
model326,50,75,7,relu,0.1,0.817,122.039,7.306,11.047,11.024,0.945,0.783,138.778,7.575,11.78,11.741,0.935
model327,50,75,7,relu,0.05,0.817,121.808,7.455,11.037,10.9,0.951,0.779,141.522,7.831,11.896,11.811,0.941
model328,50,75,7,relu,0.01,0.812,125.157,7.272,11.187,11.146,0.942,0.781,140.409,7.61,11.849,11.795,0.933
model329,50,75,7,relu,0.005,0.819,120.269,7.253,10.967,10.961,0.949,0.779,141.593,7.686,11.899,11.889,0.938
model330,50,75,8,relu,1,0.811,125.997,7.249,11.225,11.084,0.941,0.773,145.212,7.63,12.05,11.892,0.93
model331,50,75,8,relu,0.75,0.811,125.957,7.267,11.223,11.063,0.94,0.777,142.915,7.582,11.955,11.774,0.929
model332,50,75,8,relu,0.5,0.824,117.16,7.306,10.824,10.81,0.952,0.781,140.456,7.607,11.851,11.847,0.94
model333,50,75,8,relu,0.1,0.809,126.855,7.555,11.263,11.251,0.947,0.777,142.491,7.886,11.937,11.933,0.938
model334,50,75,8,relu,0.05,0.769,153.853,8.646,12.404,11.6,0.942,0.727,174.568,8.932,13.212,12.544,0.932
model335,50,75,8,relu,0.01,0.814,124.031,7.261,11.137,11.037,0.942,0.782,139.837,7.561,11.825,11.714,0.932
model336,50,75,8,relu,0.005,0.821,119.134,7.324,10.915,10.903,0.95,0.785,137.523,7.701,11.727,11.723,0.94
model337,50,75,9,relu,1,0.802,131.944,7.43,11.487,11.142,0.938,0.771,146.48,7.707,12.103,11.73,0.929
model338,50,75,9,relu,0.75,0.78,146.689,8.212,12.112,11.65,0.946,0.74,166.782,8.589,12.914,12.565,0.935
model339,50,75,9,relu,0.5,0.792,138.685,7.607,11.776,11.277,0.934,0.757,155.596,7.934,12.474,11.958,0.924
model340,50,75,9,relu,0.1,0.804,130.112,7.751,11.407,11.192,0.949,0.768,148.525,8.105,12.187,12.014,0.94
model341,50,75,9,relu,0.05,0.807,128.494,7.308,11.336,11.182,0.939,0.777,142.711,7.598,11.946,11.764,0.93
model342,50,75,9,relu,0.01,0.819,120.454,7.254,10.975,10.942,0.947,0.785,137.906,7.571,11.743,11.691,0.936
model343,50,75,9,relu,0.005,0.814,123.806,7.43,11.127,11.127,0.948,0.784,138.311,7.71,11.761,11.759,0.94
model344,50,75,10,relu,1,0.808,127.941,7.577,11.311,11.292,0.944,0.786,137.264,7.763,11.716,11.71,0.937
model345,50,75,10,relu,0.75,0.813,124.167,7.319,11.143,11.074,0.944,0.774,144.44,7.72,12.018,11.929,0.932
model346,50,75,10,relu,0.5,0.756,162.295,8.829,12.74,11.914,0.939,0.732,171.883,8.966,13.11,12.416,0.933
model347,50,75,10,relu,0.1,0.814,123.95,7.295,11.133,11.019,0.946,0.784,138.052,7.605,11.75,11.608,0.937
model348,50,75,10,relu,0.05,0.823,117.472,7.175,10.838,10.826,0.948,0.791,133.976,7.502,11.575,11.549,0.938
model349,50,75,10,relu,0.01,0.806,129.25,7.794,11.369,11.088,0.95,0.771,146.64,8.094,12.11,11.923,0.94
model350,50,75,10,relu,0.005,0.815,123.181,7.596,11.099,10.922,0.949,0.776,143.652,7.976,11.985,11.866,0.938
model351,50,100,1,relu,1,0.799,133.731,7.691,11.564,11.564,0.941,0.78,140.724,7.87,11.863,11.861,0.936
model352,50,100,1,relu,0.75,0.802,131.954,7.675,11.487,11.463,0.944,0.776,143.249,7.868,11.969,11.96,0.937
model353,50,100,1,relu,0.5,0.804,130.729,7.507,11.434,11.408,0.942,0.778,142.251,7.721,11.927,11.885,0.935
model354,50,100,1,relu,0.1,0.797,134.871,7.819,11.613,11.59,0.942,0.773,145.642,8.01,12.068,12.055,0.935
model355,50,100,1,relu,0.05,0.792,138.36,7.612,11.763,11.53,0.935,0.771,146.914,7.793,12.121,11.855,0.929
model356,50,100,1,relu,0.01,0.779,147.046,8.269,12.126,11.838,0.941,0.757,155.878,8.462,12.485,12.246,0.936
model357,50,100,1,relu,0.005,0.803,131.161,7.646,11.453,11.444,0.943,0.782,139.435,7.806,11.808,11.805,0.938
model358,50,100,2,relu,1,0.818,121.191,7.268,11.009,10.936,0.947,0.789,135.124,7.567,11.624,11.524,0.939
model359,50,100,2,relu,0.75,0.805,129.621,7.6,11.385,11.384,0.943,0.786,137.196,7.73,11.713,11.707,0.938
model360,50,100,2,relu,0.5,0.814,123.757,7.347,11.125,11.107,0.945,0.787,136.126,7.597,11.667,11.63,0.937
model361,50,100,2,relu,0.1,0.813,124.49,7.365,11.158,11.151,0.945,0.779,141.711,7.643,11.904,11.883,0.935
model362,50,100,2,relu,0.05,0.814,123.848,7.334,11.129,11.028,0.946,0.786,137.194,7.623,11.713,11.585,0.938
model363,50,100,2,relu,0.01,0.813,124.551,7.329,11.16,11.097,0.943,0.783,138.836,7.613,11.783,11.698,0.934
model364,50,100,2,relu,0.005,0.806,128.897,7.653,11.353,11.277,0.946,0.777,142.583,7.889,11.941,11.892,0.938
model365,50,100,3,relu,1,0.816,122.63,7.424,11.074,11.044,0.948,0.782,139.641,7.808,11.817,11.798,0.939
model366,50,100,3,relu,0.75,0.807,128.533,7.774,11.337,11.05,0.95,0.765,150.727,8.216,12.277,12.058,0.939
model367,50,100,3,relu,0.5,0.812,125.267,7.405,11.192,11.154,0.946,0.776,143.486,7.735,11.979,11.924,0.936
model368,50,100,3,relu,0.1,0.811,125.675,7.341,11.211,11.066,0.943,0.779,141.626,7.647,11.901,11.728,0.933
model369,50,100,3,relu,0.05,0.825,116.733,7.234,10.804,10.804,0.952,0.787,136.552,7.644,11.686,11.68,0.941
model370,50,100,3,relu,0.01,0.81,126.213,7.423,11.234,11.193,0.944,0.784,138.335,7.663,11.762,11.697,0.937
model371,50,100,3,relu,0.005,0.818,120.835,7.3,10.993,10.963,0.947,0.78,140.846,7.715,11.868,11.824,0.936
model372,50,100,4,relu,1,0.802,131.867,7.547,11.483,11.109,0.94,0.762,152.266,7.932,12.34,11.949,0.927
model373,50,100,4,relu,0.75,0.824,117.046,7.296,10.819,10.805,0.951,0.779,141.55,7.661,11.897,11.894,0.939
model374,50,100,4,relu,0.5,0.827,114.923,7.29,10.72,10.655,0.953,0.783,139.168,7.726,11.797,11.761,0.94
model375,50,100,4,relu,0.1,0.817,122.077,7.219,11.049,10.925,0.945,0.783,139.232,7.575,11.8,11.648,0.935
model376,50,100,4,relu,0.05,0.816,122.667,7.257,11.076,11.025,0.944,0.778,142.278,7.604,11.928,11.867,0.933
model377,50,100,4,relu,0.01,0.809,127.289,7.423,11.282,11.272,0.943,0.772,146.298,7.822,12.095,12.078,0.932
model378,50,100,4,relu,0.005,0.816,122.738,7.309,11.079,11.022,0.944,0.772,145.959,7.696,12.081,12.007,0.931
model379,50,100,5,relu,1,0.829,113.686,7.082,10.662,10.652,0.95,0.79,134.32,7.5,11.59,11.564,0.938
model380,50,100,5,relu,0.75,0.818,121.338,7.256,11.015,10.929,0.946,0.779,141.215,7.585,11.883,11.779,0.935
model381,50,100,5,relu,0.5,0.813,124.191,7.346,11.144,11.144,0.944,0.779,141.43,7.664,11.892,11.888,0.934
model382,50,100,5,relu,0.1,0.827,115.197,7.115,10.733,10.603,0.948,0.784,138.194,7.544,11.756,11.609,0.935
model383,50,100,5,relu,0.05,0.804,130.232,7.449,11.412,10.986,0.941,0.765,150.705,7.891,12.276,11.811,0.928
model384,50,100,5,relu,0.01,0.785,142.717,7.637,11.946,11.301,0.932,0.753,158.211,8.046,12.578,11.87,0.921
model385,50,100,5,relu,0.005,0.812,124.972,7.247,11.179,11.102,0.944,0.781,140.36,7.567,11.847,11.748,0.935
model386,50,100,6,relu,1,0.739,173.867,9.347,13.186,11.781,0.938,0.697,193.731,9.624,13.919,12.697,0.928
model387,50,100,6,relu,0.75,0.809,126.772,7.329,11.259,11.146,0.944,0.775,143.917,7.689,11.997,11.833,0.933
model388,50,100,6,relu,0.5,0.81,126.175,7.425,11.233,11.144,0.946,0.781,140.421,7.681,11.85,11.746,0.938
model389,50,100,6,relu,0.1,0.808,127.589,7.783,11.296,10.95,0.95,0.773,145.081,8.203,12.045,11.773,0.94
model390,50,100,6,relu,0.05,0.814,124.044,7.701,11.137,10.967,0.947,0.78,141.057,8.023,11.877,11.753,0.937
model391,50,100,6,relu,0.01,0.809,126.878,7.509,11.264,11.203,0.95,0.774,144.852,7.851,12.035,11.999,0.941
model392,50,100,6,relu,0.005,0.767,155.244,8.587,12.46,11.687,0.942,0.741,166.067,8.807,12.887,12.233,0.935
model393,50,100,7,relu,1,0.798,134.596,7.691,11.602,11.52,0.946,0.765,150.422,8.019,12.265,12.206,0.938
model394,50,100,7,relu,0.75,0.814,123.624,7.367,11.119,11.118,0.949,0.77,147.045,7.82,12.126,12.123,0.938
model395,50,100,7,relu,0.5,0.814,123.918,7.288,11.132,11.002,0.945,0.781,139.94,7.612,11.83,11.678,0.935
model396,50,100,7,relu,0.1,0.829,113.674,7.122,10.662,10.654,0.95,0.792,133.2,7.571,11.541,11.523,0.939
model397,50,100,7,relu,0.05,0.823,118.058,7.199,10.865,10.855,0.949,0.781,140.175,7.633,11.84,11.815,0.937
model398,50,100,7,relu,0.01,0.825,116.649,7.238,10.8,10.784,0.952,0.787,136.232,7.645,11.672,11.666,0.942
model399,50,100,7,relu,0.005,0.818,121.218,7.262,11.01,10.976,0.949,0.769,148.12,7.677,12.17,12.119,0.934
model400,50,100,8,relu,1,0.791,139.004,7.564,11.79,11.469,0.934,0.763,151.472,7.824,12.307,11.964,0.925
model401,50,100,8,relu,0.75,0.78,146.08,8.487,12.086,11.277,0.945,0.736,169.017,8.89,13.001,12.319,0.934
model402,50,100,8,relu,0.5,0.797,134.785,7.971,11.61,11.26,0.947,0.753,157.919,8.342,12.567,12.297,0.936
model403,50,100,8,relu,0.1,0.826,115.856,7.263,10.764,10.754,0.951,0.782,139.533,7.772,11.812,11.809,0.938
model404,50,100,8,relu,0.05,0.824,117.024,7.267,10.818,10.81,0.951,0.789,134.925,7.622,11.616,11.613,0.941
model405,50,100,8,relu,0.01,0.814,123.677,7.305,11.121,11.098,0.945,0.781,140.266,7.625,11.843,11.807,0.936
model406,50,100,8,relu,0.005,0.826,115.501,7.269,10.747,10.701,0.951,0.788,136.031,7.712,11.663,11.642,0.94
model407,50,100,9,relu,1,0.767,155.152,8.05,12.456,11.643,0.922,0.734,170.4,8.347,13.054,12.201,0.911
model408,50,100,9,relu,0.75,0.824,117.207,7.316,10.826,10.789,0.953,0.776,143.439,7.82,11.977,11.956,0.94
model409,50,100,9,relu,0.5,0.807,128.576,7.422,11.339,11.149,0.943,0.761,153.147,7.867,12.375,12.175,0.93
model410,50,100,9,relu,0.1,0.822,118.693,7.211,10.895,10.841,0.948,0.787,136.55,7.56,11.685,11.603,0.937
model411,50,100,9,relu,0.05,0.817,121.759,7.301,11.034,11.033,0.947,0.777,142.811,7.747,11.95,11.946,0.936
model412,50,100,9,relu,0.01,0.788,140.973,7.712,11.873,11.329,0.935,0.753,158.393,8.047,12.585,11.986,0.924
model413,50,100,9,relu,0.005,0.825,116.319,7.254,10.785,10.774,0.949,0.794,131.615,7.585,11.472,11.468,0.94
model414,50,100,10,relu,1,0.82,119.596,7.237,10.936,10.895,0.948,0.786,137.098,7.574,11.709,11.651,0.938
model415,50,100,10,relu,0.75,0.808,127.426,7.718,11.288,11.093,0.949,0.769,148.055,8.043,12.168,12.018,0.939
model416,50,100,10,relu,0.5,0.827,115.359,7.275,10.741,10.739,0.952,0.788,135.962,7.688,11.66,11.66,0.941
model417,50,100,10,relu,0.1,0.831,112.398,7.131,10.602,10.601,0.952,0.791,133.77,7.561,11.566,11.566,0.94
model418,50,100,10,relu,0.05,0.781,145.98,8.294,12.082,11.495,0.945,0.733,170.733,8.674,13.066,12.595,0.934
model419,50,100,10,relu,0.01,0.822,118.407,7.232,10.881,10.881,0.949,0.792,133.343,7.528,11.547,11.547,0.94
model420,50,100,10,relu,0.005,0.822,118.482,7.232,10.885,10.879,0.949,0.782,139.719,7.641,11.82,11.803,0.937
model421,100,5,1,relu,1,0.778,147.791,7.898,12.157,12.138,0.933,0.763,151.836,7.941,12.322,12.292,0.929
model422,100,5,1,relu,0.75,0.775,149.486,7.988,12.226,12.173,0.931,0.759,154.516,8.032,12.43,12.365,0.927
model423,100,5,1,relu,0.5,0.784,143.745,7.975,11.989,11.985,0.937,0.77,147.278,8.053,12.136,12.135,0.934
model424,100,5,1,relu,0.1,0.778,147.887,8.04,12.161,12.16,0.935,0.759,154.074,8.138,12.413,12.412,0.931
model425,100,5,1,relu,0.05,0.782,145.251,7.931,12.052,12.037,0.935,0.767,149.377,8.005,12.222,12.196,0.931
model426,100,5,1,relu,0.01,0.764,157.33,8.287,12.543,12.519,0.928,0.744,163.97,8.386,12.805,12.768,0.923
model427,100,5,1,relu,0.005,0.763,157.619,8.463,12.555,12.484,0.933,0.749,160.963,8.541,12.687,12.632,0.93
model428,100,5,2,relu,1,0.786,142.135,7.782,11.922,11.883,0.936,0.767,148.898,7.939,12.202,12.146,0.932
model429,100,5,2,relu,0.75,0.77,153.123,8.377,12.374,12.297,0.935,0.757,155.895,8.362,12.486,12.432,0.932
model430,100,5,2,relu,0.5,0.773,151.097,8.032,12.292,12.291,0.932,0.759,154.292,8.068,12.421,12.417,0.929
model431,100,5,2,relu,0.1,0.784,143.715,8.091,11.988,11.914,0.94,0.767,149.114,8.178,12.211,12.16,0.936
