,datetime,CO,CO Estado,PM 10,PM 10 Estado,Temp Int,Temp Int Estado,Temp Ext,Temp Ext Estado,RH,RH Estado,WS,WS Estado,WD,WD Estado,Precipitacion,Precipitacion Estado,Radiacion Solar,Radiacion Solar Estado,Presion barometrica,Presion barometrica Estado,PM 2.5,PM 2.5 Estado,CO.1,CO Estado.1
0,2021-06-26 00:00:00,0.7417333333333332,144.0,19.3365,144.0,25.416333333333334,144.0,18.33833333333333,144.0,82.50166666666668,144.0,0.5633333333333332,144.0,99.82833333333333,144.0,0.0,144.0,1.7216666666666667,144.0,628.3016666666666,144.0,9.070166666666667,144.0,0.7815833333333333,134.6
1,2021-06-26 01:00:00,0.8448333333333333,144.0,18.546499999999998,144.0,25.4735,144.0,18.758333333333333,144.0,80.79333333333334,144.0,0.48333333333333334,144.0,240.25666666666666,144.0,0.0,144.0,1.5416666666666667,144.0,628.6616666666666,144.0,14.659500000000001,144.0,0.8845500000000001,144.0
2,2021-06-26 02:00:00,0.5600666666666666,139.2,27.018833333333337,139.2,25.430666666666664,139.2,17.973333333333336,139.2,82.52833333333334,139.2,0.030000000000000002,139.2,138.095,139.2,0.0,139.2,1.5599999999999998,139.2,628.105,139.2,10.958983050847458,139.31666666666666,0.6016999999999999,139.2
3,2021-06-26 03:00:00,0.42256666666666665,144.0,23.56833333333333,144.0,25.379666666666665,144.0,17.888333333333332,144.0,80.83333333333333,144.0,0.02,144.0,179.775,144.0,0.0,144.0,1.3883333333333332,144.0,627.0266666666666,144.0,15.741833333333334,144.0,0.46621666666666667,144.0
4,2021-06-26 04:00:00,0.47525,144.0,28.873,144.0,25.291,144.0,17.691666666666666,144.0,81.425,144.0,0.05500000000000001,144.0,213.57000000000002,144.0,0.0,144.0,1.3783333333333334,144.0,626.495,144.0,13.458166666666667,144.0,0.51725,144.0
5,2021-06-26 05:00:00,0.6329833333333333,141.6,37.902166666666666,141.6,25.15583333333333,141.6,17.116666666666667,141.6,84.13666666666667,141.6,0.09666666666666666,141.6,176.0883333333333,141.6,0.0,141.6,1.3066666666666669,141.6,626.2099999999999,141.6,14.291500000000001,141.6,0.6728166666666666,141.6
6,2021-06-26 06:00:00,0.6313333333333334,144.0,40.70616666666667,144.0,25.116,144.0,16.931666666666665,144.0,85.27,144.0,0.15833333333333333,144.0,102.64666666666668,144.0,0.0,144.0,1.4200000000000002,144.0,626.35,144.0,12.488166666666666,144.0,0.6689166666666666,144.0
7,2021-06-26 07:00:00,1.4122666666666668,144.0,32.50483333333333,144.0,25.05233333333333,144.0,16.725,144.0,86.04666666666667,144.0,0.05,144.0,129.585,144.0,0.0,144.0,26.71333333333333,144.0,626.7133333333334,144.0,19.35216666666667,144.0,1.4442,144.0
8,2021-06-26 08:00:00,1.1531166666666666,144.0,51.597833333333334,144.0,25.082,144.0,18.134999999999998,144.0,79.115,144.0,0.41000000000000003,144.0,168.85666666666665,144.0,0.0,144.0,159.08666666666667,144.0,626.965,144.0,30.5015,144.0,1.1865666666666668,134.6
9,2021-06-26 09:00:00,0.6861333333333334,144.0,69.29083333333332,144.0,25.345333333333333,144.0,20.403333333333332,144.0,68.085,144.0,0.7133333333333333,144.0,103.29166666666667,144.0,0.0,144.0,297.18,144.0,626.7833333333333,144.0,25.564666666666668,144.0,0.7268833333333333,144.0
