,AGU,ATM,LDO,MIR,OBL,SFE,TLA,VAL,CEN,LPIN_med,LPIN_pred
0,34.6,22.4,-1.0,31.49,23.2,34.475,27.8,19.1,42.08,22.5,41.554104
1,-1.0,-1.0,63.6,109.1,-1.0,111.93,-1.0,-1.0,-1.0,75.9,98.24679
2,-1.0,-1.0,-1.0,52.05,-1.0,114.51,-1.0,-1.0,-1.0,37.85,52.38414
3,-1.0,-1.0,41.63,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56.56,95.19591
4,-1.0,4.8,21.5,-1.0,-1.0,-1.0,23.74,-1.0,12.28,17.0,19.391655
5,-1.0,39.6,28.0,-1.0,-1.0,-1.0,38.59,-1.0,27.48,33.3,30.890938
6,-1.0,13.7,51.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,34.3,12.73754
7,-1.0,6.4,15.2,15.05,18.2,27.208,14.4,-1.0,14.6,25.3,19.041834
8,-1.0,-1.0,-1.0,17.56,14.5,31.64,22.1,19.9,15.8,16.9,19.799885
9,-1.0,-1.0,42.23,-1.0,-1.0,203.7,-1.0,-1.0,-1.0,24.72,62.897102
10,-1.0,-1.0,-1.0,-1.0,21.5,86.456,29.7,19.6,29.0,28.5,53.224693
11,21.6,28.8,-1.0,41.87,21.5,33.839,-1.0,39.3,23.69,31.4,41.914547
12,-1.0,-1.0,99.41,-1.0,-1.0,34.49,-1.0,-1.0,-1.0,148.97,136.89984
13,-1.0,-1.0,15.35,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29.29,27.04738
14,-1.0,34.4,45.9,-1.0,29.1,74.163,33.5,-1.0,33.1,139.8,85.143845
15,-1.0,17.3,21.1,-1.0,-1.0,-1.0,20.66,-1.0,21.25,17.2,19.376741
16,-1.0,62.1,119.5,296.13,73.2,233.27,97.9,57.3,-1.0,214.0,265.39804
17,-1.0,-1.0,38.9,115.81,41.6,118.53,43.1,80.9,32.0,166.0,109.09764
18,31.7,12.0,-1.0,38.2,22.3,59.626,31.21,-1.0,20.69,64.7,43.634457
19,-1.0,-1.0,-1.0,35.44,15.7,41.811,24.7,15.4,22.0,31.8,45.219296
20,-1.0,-1.0,-1.0,-1.0,-1.0,38.7,-1.0,-1.0,-1.0,42.48,59.553555
21,-1.0,-1.0,14.29,70.28,-1.0,-1.0,-1.0,-1.0,-1.0,7.39,25.481016
22,-1.0,-1.0,9.35,-1.0,-1.0,246.06,-1.0,-1.0,-1.0,30.86,34.47379
23,-1.0,39.1,75.9,-1.0,28.7,138.3,54.3,-1.0,29.6,128.3,100.87258
24,-1.0,26.4,24.1,133.2,36.2,93.41,55.7,-1.0,41.3,129.3,80.96399
25,-1.0,68.1,44.8,-1.0,48.9,-1.0,111.88,92.5,-1.0,224.8,126.32042
26,-1.0,45.1,35.2,59.46,55.2,139.78,34.7,-1.0,69.8,79.6,133.09494
27,-1.0,-1.0,-1.0,48.02,12.3,43.041,34.0,19.4,20.5,20.0,31.531572
28,-1.0,32.6,40.6,44.17,35.1,63.791,44.6,-1.0,37.5,67.2,60.119183
29,-1.0,-1.0,98.69,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,195.8,232.90059
30,16.9,10.6,-1.0,18.7,7.0,-1.0,10.48,-1.0,10.13,7.5,18.864532
31,34.2,-1.0,23.9,39.31,17.3,83.87,19.9,37.2,18.64,42.2,49.509743
32,-1.0,62.5,63.1,-1.0,60.3,-1.0,-1.0,61.4,54.6,104.1,109.515884
33,-1.0,16.1,48.3,-1.0,19.5,-1.0,-1.0,25.4,23.41,179.7,64.08017
34,-1.0,45.0,58.5,68.87,21.1,83.885,49.1,-1.0,33.2,156.8,109.72003
35,-1.0,-1.0,-1.0,105.86,27.6,146.4,43.9,56.9,38.0,53.9,101.44354
36,-1.0,-1.0,40.65,-1.0,-1.0,135.41,-1.0,-1.0,-1.0,82.56,57.03611
37,-1.0,-1.0,-1.0,34.93,13.1,41.082,27.2,25.0,17.8,57.7,23.351933
38,-1.0,79.0,128.1,206.1,96.0,244.57,114.7,-1.0,-1.0,276.6,239.06314
39,-1.0,24.3,-1.0,-1.0,25.6,-1.0,-1.0,65.8,32.62,69.7,34.09414
40,-1.0,-1.0,49.85,-1.0,-1.0,69.59,-1.0,-1.0,-1.0,98.61,65.438835
41,-1.0,31.1,20.7,43.22,77.4,71.689,68.5,106.2,34.9,31.6,70.47202
42,-1.0,69.8,88.8,66.89,50.2,234.7,67.1,-1.0,41.7,135.7,203.34879
43,-1.0,-1.0,62.76,-1.0,-1.0,44.34,-1.0,-1.0,-1.0,82.68,84.6978
44,-1.0,26.7,20.4,-1.0,-1.0,-1.0,-1.0,-1.0,18.72,8.8,21.541658
45,-1.0,18.4,38.2,-1.0,22.5,-1.0,45.97,36.2,-1.0,48.3,46.795624
46,-1.0,-1.0,-1.0,34.87,34.2,45.199,29.0,40.4,31.6,34.8,41.420784
47,-1.0,44.6,60.3,-1.0,21.9,-1.0,-1.0,26.9,28.98,59.5,86.364265
48,16.4,15.6,-1.0,30.9,14.7,51.245,15.44,-1.0,14.71,14.1,35.18337
49,-1.0,7.78,17.48,-1.0,7.74,-1.0,14.63,6.94,10.03,18.62,31.085314
50,31.3,10.9,-1.0,40.6,13.9,40.796,37.68,-1.0,21.43,20.9,50.560963
51,-1.0,-1.0,55.4,24.02,27.3,81.021,35.9,27.3,40.2,65.7,73.559006
52,-1.0,-1.0,27.95,-1.0,-1.0,47.53,-1.0,-1.0,-1.0,38.64,43.63952
53,-1.0,-1.0,46.1,91.99,29.1,98.641,46.0,68.7,52.8,169.1,86.464645
54,-1.0,41.0,46.1,74.07,50.5,221.06,29.1,46.6,46.71,62.2,69.15039
55,-1.0,-1.0,72.15,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,137.94,174.23279
56,-1.0,18.2,37.0,-1.0,16.4,29.531,26.1,-1.0,17.2,38.1,41.819687
57,19.2,34.4,-1.0,76.94,29.8,47.461,-1.0,16.7,45.06,52.5,44.681847
58,-1.0,13.2,14.6,-1.0,16.7,-1.0,14.6,18.3,12.62,27.7,32.509003
59,-1.0,-1.0,16.06,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.78,27.754204
60,-1.0,-1.0,7.23,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.74,18.659311
61,-1.0,43.9,89.9,-1.0,69.8,-1.0,56.24,53.6,61.74,153.1,121.71257
62,-1.0,-1.0,45.2,55.54,45.9,76.32,39.3,48.6,42.2,43.1,75.514175
63,-1.0,-1.0,-1.0,29.05,20.8,58.904,18.6,33.9,16.6,18.7,21.890888
64,22.8,24.7,-1.0,32.53,25.7,41.691,-1.0,38.8,30.06,86.1,31.85974
65,26.2,4.8,-1.0,32.1,10.2,47.838,23.59,-1.0,19.74,14.1,21.978506
66,-1.0,43.0,50.0,-1.0,40.4,-1.0,-1.0,50.2,48.19,64.1,73.35186
67,-1.0,10.0,20.9,-1.0,-1.0,-1.0,14.9,-1.0,5.79,19.4,14.972964
68,-1.0,-1.0,-1.0,25.05,-1.0,27.927,10.1,25.1,18.0,25.3,28.166862
69,-1.0,27.4,42.3,-1.0,-1.0,-1.0,27.46,-1.0,25.2,62.4,46.375492
70,-1.0,27.3,40.5,84.11,33.1,30.308,31.0,-1.0,-1.0,51.0,121.51968
71,7.86,9.1,8.19,-1.0,5.55,-1.0,7.58,6.86,9.5,20.23,10.811325
72,-1.0,3.5,38.7,-1.0,-1.0,-1.0,-1.0,-1.0,15.04,6.9,20.22879
73,-1.0,30.1,41.8,-1.0,35.2,58.748,-1.0,41.4,39.9,48.7,70.83853
74,-1.0,15.2,45.4,-1.0,22.9,-1.0,39.37,22.0,19.83,34.4,50.98985
75,-1.0,-1.0,9.4,26.01,19.4,56.153,14.8,22.8,26.5,24.2,39.985455
76,-1.0,-1.0,6.5,-1.0,-1.0,68.29,-1.0,-1.0,-1.0,24.12,23.866617
77,-1.0,50.9,62.3,-1.0,-1.0,-1.0,54.03,-1.0,3.32,22.1,57.236717
78,-1.0,8.4,6.6,-1.0,-1.0,-1.0,-1.0,-1.0,6.24,12.7,11.590484
