,AGU,ATM,LDO,LPIN,MIR,OBL,SFE,VAL,CEN,TLA_med,TLA_pred
63,25.14,28.91,49.34,-1.0,-1.0,31.23,61.92,28.11,28.62,32.93,32.28662
64,-1.0,84.5,69.5,85.8,126.52,78.8,285.15,94.9,50.5,46.4,46.113018
65,-1.0,56.8,86.9,80.9,144.86,67.5,101.99,-1.0,89.1,92.9,88.79959
66,-1.0,-1.0,-1.0,33.0,40.34,9.8,42.744,30.6,28.5,33.5,27.875301
67,31.2,35.7,-1.0,-1.0,85.5,18.2,42.147,-1.0,31.21,88.78,49.799557
68,-1.0,42.1,49.3,36.2,62.64,47.3,74.273,-1.0,26.3,52.8,41.748203
69,-1.0,-1.0,-1.0,46.1,87.91,27.2,161.05,35.8,32.3,30.8,38.038692
70,63.5,102.2,-1.0,-1.0,123.74,68.4,129.59,80.6,86.42,82.1,64.67907
71,-1.0,-1.0,-1.0,16.0,-1.0,12.0,82.491,20.9,7.2,15.8,17.785866
72,-1.0,-1.0,-1.0,24.5,43.14,17.1,50.568,23.3,21.9,17.4,26.012617
73,51.56,70.24,60.73,-1.0,-1.0,70.58,100.58,71.59,57.45,67.01,60.605663
74,-1.0,31.5,12.4,20.8,30.1,20.4,49.866,-1.0,25.89,19.0,22.600725
75,43.87,-1.0,35.48,40.81,17.06,45.2,50.72,20.58,29.76,83.87,35.409504
76,-1.0,43.5,39.6,61.3,51.37,28.2,-1.0,-1.0,39.6,48.6,42.87913
77,14.18,20.43,22.49,-1.0,78.77,14.95,74.35,15.41,22.73,14.48,18.983814
78,-1.0,-1.0,-1.0,30.5,24.33,22.1,54.826,28.5,25.0,26.2,29.473364
79,40.0,28.2,-1.0,-1.0,58.3,23.1,62.905,-1.0,29.29,45.02,39.089256
80,-1.0,23.1,16.8,60.3,-1.0,17.9,-1.0,13.8,18.03,23.82,25.756767
81,-1.0,39.5,61.8,113.1,54.52,30.2,154.88,-1.0,34.3,50.9,47.714108
82,-1.0,23.8,42.2,70.0,-1.0,-1.0,-1.0,-1.0,88.26,76.18,85.18273
83,45.4,23.0,23.9,33.6,47.83,31.0,-1.0,34.6,30.86,31.9,31.691942
84,-1.0,81.3,42.9,186.7,219.79,79.1,267.57,-1.0,79.3,86.0,89.66461
85,-1.0,24.1,42.4,41.4,58.86,-1.0,73.484,-1.0,37.3,26.0,40.762318
86,-1.0,32.2,81.8,6.6,-1.0,-1.0,-1.0,-1.0,-1.0,45.73,65.97573
87,-1.0,22.7,17.5,18.8,-1.0,-1.0,-1.0,-1.0,11.8,21.88,23.072435
88,-1.0,34.6,58.0,61.5,-1.0,46.2,-1.0,48.8,44.39,49.37,53.13972
89,20.4,7.0,-1.0,-1.0,21.6,10.6,21.6,-1.0,17.12,18.6,17.46224
90,24.1,30.4,-1.0,-1.0,43.2,21.8,24.316,-1.0,15.89,44.85,37.310764
91,-1.0,24.0,20.6,37.4,35.36,25.0,78.891,-1.0,25.7,27.5,28.067963
92,-1.0,-1.0,37.4,41.9,-1.0,-1.0,-1.0,-1.0,21.28,18.53,31.494196
93,-1.0,10.0,11.7,30.3,-1.0,-1.0,-1.0,-1.0,5.07,79.26,19.427275
94,36.8,53.89,56.54,-1.0,-1.0,36.58,47.2,35.99,38.2,29.22,42.39765
95,26.8,-1.0,-1.0,77.2,28.56,25.7,49.849,51.8,38.23,30.2,43.48015
96,20.0,60.0,-1.0,-1.0,45.4,26.8,61.733,-1.0,43.27,110.2,73.490005
97,26.0,-1.0,-1.0,25.5,31.24,21.3,59.357,14.1,26.7,18.9,28.776888
