,ATM,LDO,LPIN,MIR,OBL,SFE,TLA,VAL,CEN,AGU_med,AGU_pred
0,18.29,-1.0,-1.0,-1.0,18.0,20.89,29.04,14.04,45.46,16.28,12.031976
1,-1.0,-1.0,73.6,46.19,78.1,81.611,50.1,71.8,52.44,49.7,66.77408
2,118.5,-1.0,-1.0,80.0,35.6,50.727,60.21,-1.0,33.95,17.1,40.412807
3,66.77,-1.0,-1.0,-1.0,64.6,76.67,48.92,59.68,125.88,28.52,37.831985
4,36.04,29.69,-1.0,-1.0,31.16,73.32,30.62,57.12,44.45,30.68,39.440277
5,18.1,-1.0,19.5,23.4,21.9,15.873,27.78,-1.0,30.15,12.0,18.101114
6,-1.0,-1.0,82.8,30.78,25.9,60.856,41.4,57.5,31.54,36.8,30.801752
7,19.3,-1.0,38.9,30.89,38.3,37.574,32.3,24.1,29.16,21.9,26.406218
8,-1.0,-1.0,-1.0,97.0,44.7,65.89,59.2,57.7,44.5,61.2,53.67788
9,34.21,20.66,-1.0,-1.0,18.48,31.54,-1.0,6.68,30.18,14.87,20.623566
10,-1.0,-1.0,26.1,36.85,20.7,46.459,81.4,-1.0,13.1,11.0,15.258657
11,42.81,53.44,-1.0,-1.0,17.77,68.91,27.86,25.13,21.45,21.39,26.798319
12,18.98,22.83,24.05,-1.0,20.78,-1.0,18.04,18.8,19.13,11.48,21.356657
13,23.55,24.76,-1.0,-1.0,24.48,52.85,30.9,32.83,25.75,28.93,27.233084
14,-1.0,-1.0,205.3,86.09,42.2,-1.0,79.8,64.4,76.81,107.8,75.22245
15,-1.0,-1.0,23.0,66.2,-1.0,27.303,24.28,-1.0,17.61,9.4,10.261067
16,27.05,-1.0,-1.0,-1.0,21.61,66.89,15.66,27.86,23.84,17.11,25.772003
17,27.21,42.02,73.42,-1.0,38.94,43.24,26.02,23.03,-1.0,22.37,24.150013
18,67.9,-1.0,119.1,55.58,103.5,128.07,-1.0,76.2,52.02,45.6,57.38885
19,48.4,-1.0,117.5,123.15,56.8,-1.0,74.5,47.5,70.13,52.1,50.856884
20,58.18,75.06,-1.0,-1.0,54.17,132.28,40.13,76.85,61.87,67.62,58.44194
21,23.6,-1.0,45.4,46.86,27.5,83.94,38.7,33.6,36.88,49.8,38.087185
22,-1.0,-1.0,-1.0,37.58,14.3,33.484,24.8,26.2,17.0,17.1,20.69169
23,28.56,28.85,-1.0,-1.0,37.98,84.36,14.92,21.41,21.1,10.79,15.316123
24,28.5,-1.0,42.6,28.29,34.1,62.633,44.4,35.5,40.46,27.6,35.941387
25,91.92,49.6,-1.0,33.1,73.36,137.59,49.49,32.1,92.24,43.15,50.483814
26,65.1,-1.0,187.0,155.23,79.0,125.85,-1.0,59.2,72.43,66.8,71.06548
27,33.28,53.64,-1.0,-1.0,37.35,39.25,37.16,37.9,28.76,23.41,30.265163
28,41.27,25.85,-1.0,-1.0,25.35,103.89,25.86,31.01,34.05,23.67,25.776373
29,-1.0,-1.0,108.6,-1.0,34.2,101.97,92.7,68.1,-1.0,99.2,76.35257
30,34.9,-1.0,33.1,78.75,17.8,62.77,-1.0,25.9,36.32,30.0,28.299809
31,9.66,14.3,16.29,-1.0,8.65,-1.0,8.73,8.81,16.36,2.09,10.955417
32,-1.0,-1.0,22.7,-1.0,25.8,-1.0,31.8,13.8,32.2,16.2,13.65923
33,75.25,-1.0,-1.0,27.28,50.47,76.11,70.81,70.92,89.78,58.73,50.591713
34,24.8,8.01,-1.0,-1.0,19.32,46.18,12.43,10.91,14.73,9.68,10.904557
35,-1.0,-1.0,29.6,-1.0,23.2,74.482,13.0,13.3,18.4,10.4,18.915102
36,67.99,89.59,-1.0,73.17,81.61,31.86,60.49,40.88,60.19,65.25,43.503822
37,20.6,-1.0,-1.0,36.5,12.8,-1.0,-1.0,-1.0,24.9,18.8,18.379988
38,39.5,-1.0,101.3,39.68,38.8,110.65,-1.0,38.9,39.24,34.9,43.938198
39,44.81,24.94,-1.0,-1.0,34.46,25.28,22.59,27.02,31.93,18.2,25.997898
40,41.9,41.62,-1.0,-1.0,48.95,92.45,24.24,25.23,35.05,19.74,23.21077
41,-1.0,-1.0,31.3,31.06,13.8,53.361,25.2,36.4,13.4,19.6,22.99494
42,15.1,-1.0,-1.0,36.4,12.7,44.278,24.64,-1.0,20.54,31.4,26.384182
43,-1.0,-1.0,24.4,40.16,14.7,60.682,26.1,23.1,18.6,20.1,29.174974
44,-1.0,-1.0,61.7,69.29,14.1,55.357,22.6,11.1,42.63,19.9,24.735415
45,7.7,-1.0,43.4,36.9,9.5,58.241,45.86,-1.0,18.3,11.5,22.056244
46,-1.0,-1.0,27.0,-1.0,12.8,64.291,35.9,34.3,25.2,14.6,17.176313
47,-1.0,-1.0,123.7,32.08,26.4,82.574,22.0,36.7,29.81,36.3,36.69946
48,3.5,-1.0,60.5,117.4,-1.0,34.038,-1.0,-1.0,18.19,17.1,13.961698
49,27.4,-1.0,38.1,57.1,19.9,-1.0,48.07,-1.0,33.61,35.3,36.990643
50,37.38,34.16,-1.0,-1.0,40.02,21.07,30.26,26.28,40.24,25.21,28.833366
51,23.4,-1.0,-1.0,30.0,25.6,29.865,29.19,-1.0,27.81,28.6,28.48294
52,6.2,-1.0,26.5,41.1,21.3,39.867,29.98,-1.0,21.23,35.7,30.548214
53,54.34,68.42,171.64,-1.0,-1.0,-1.0,48.85,9.3,42.04,32.74,20.557047
54,55.6,46.9,40.1,58.25,50.9,96.568,44.3,54.6,52.74,62.9,58.72628
55,-1.0,-1.0,45.6,44.03,37.5,74.282,34.0,37.7,38.39,33.9,39.08176
