,AGU,ATM,LDO,MIR,OBL,SFE,TLA,VAL,CEN,LPIN_med,LPIN_pred
0,-1.0,24.8,47.1,-1.0,26.6,-1.0,25.22,40.4,29.14,26.8,59.376606
1,-1.0,19.7,16.0,-1.0,-1.0,-1.0,20.53,-1.0,17.29,13.5,22.645906
2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,94.45,67.58272
3,-1.0,31.5,32.9,82.6,24.8,75.742,57.1,-1.0,26.0,81.5,74.117966
4,-1.0,-1.0,-1.0,55.31,21.1,52.877,12.3,8.4,10.7,45.8,35.572083
5,-1.0,-1.0,18.8,-1.0,-1.0,-1.0,-1.0,-1.0,9.08,22.8,22.000343
6,-1.0,-1.0,-1.0,-1.0,-1.0,149.86,-1.0,-1.0,-1.0,77.56,23.71415
7,-1.0,42.6,69.1,54.7,25.6,112.15,19.55,-1.0,-1.0,80.2,112.79538
8,-1.0,-1.0,93.4,84.8,46.1,170.72,80.62,-1.0,-1.0,138.4,140.3359
9,-1.0,31.9,50.7,54.91,25.0,117.22,44.7,-1.0,39.4,63.3,86.03333
10,-1.0,-1.0,32.71,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,35.25,64.30957
11,-1.0,24.0,48.8,-1.0,33.0,-1.0,20.34,24.6,26.33,56.5,60.02293
12,-1.0,-1.0,72.8,-1.0,-1.0,-1.0,60.63,-1.0,47.7,124.0,91.93295
13,-1.0,-1.0,11.15,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.05,20.587727
14,-1.0,13.4,25.2,-1.0,19.0,-1.0,29.67,-1.0,17.61,34.8,41.526196
15,-1.0,57.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,81.87,119.4,103.144226
16,-1.0,38.0,55.7,37.86,34.5,63.165,38.5,-1.0,34.7,91.7,78.398254
17,24.37,61.9,66.96,-1.0,49.65,-1.0,60.88,27.17,77.29,171.7,128.91441
18,-1.0,13.4,22.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.51,19.5,23.299711
19,-1.0,11.3,16.0,-1.0,-1.0,-1.0,20.25,-1.0,9.9,11.6,18.718428
20,-1.0,41.8,67.3,134.44,56.9,119.22,101.0,90.1,97.17,130.8,136.25261
21,-1.0,43.1,58.3,-1.0,43.3,54.72,53.7,-1.0,46.8,133.5,72.476776
22,-1.0,7.9,16.6,32.9,-1.0,19.007,-1.0,-1.0,-1.0,30.3,21.379242
23,16.4,-1.0,-1.0,61.17,12.0,38.743,39.1,12.1,31.52,53.3,44.776802
24,-1.0,33.7,44.7,36.44,32.1,63.204,34.7,-1.0,26.4,74.3,69.66508
25,-1.0,21.8,60.6,-1.0,21.4,-1.0,37.4,36.7,-1.0,54.7,81.919716
26,-1.0,16.0,-1.0,-1.0,7.6,-1.0,23.71,9.1,22.96,71.9,20.222837
27,-1.0,-1.0,-1.0,14.13,6.5,24.217,16.9,51.6,0.0,16.0,14.808897
28,-1.0,60.0,34.3,-1.0,-1.0,-1.0,50.78,-1.0,53.58,65.6,62.366398
29,54.0,24.7,-1.0,78.94,66.3,81.985,-1.0,34.5,62.58,77.4,88.315956
30,-1.0,23.7,33.2,-1.0,23.6,41.239,34.8,33.8,24.4,41.1,40.6061
31,-1.0,-1.0,7.4,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,15.9,16.164968
32,-1.0,53.4,80.8,58.33,39.4,53.128,52.4,-1.0,-1.0,99.5,94.865814
33,-1.0,26.5,49.2,-1.0,38.7,-1.0,13.17,46.4,36.4,86.8,62.646656
34,-1.0,-1.0,19.76,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,26.71,38.29881
35,59.6,22.2,-1.0,79.98,46.4,88.696,-1.0,40.9,66.34,127.1,93.59528
36,-1.0,-1.0,21.18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,26.63,43.278305
37,-1.0,20.9,71.5,-1.0,36.3,-1.0,-1.0,36.2,34.54,85.0,104.52904
38,-1.0,42.5,50.4,61.41,38.3,62.304,43.7,-1.0,48.7,56.0,62.18089
39,-1.0,12.5,42.1,10.8,-1.0,30.349,-1.0,-1.0,-1.0,14.1,28.30891
40,-1.0,22.5,39.9,88.17,22.9,64.897,32.7,23.9,20.5,55.3,62.62903
41,-1.0,-1.0,-1.0,19.34,15.0,19.184,7.7,22.6,20.2,27.8,16.90176
42,49.1,-1.0,-1.0,72.56,48.1,130.67,-1.0,79.8,59.41,68.4,94.72055
43,-1.0,30.1,48.7,95.8,-1.0,100.24,-1.0,-1.0,-1.0,174.9,101.26544
44,-1.0,-1.0,49.81,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,84.17,102.1794
45,-1.0,13.5,12.0,-1.0,-1.0,-1.0,17.79,-1.0,13.45,12.7,18.728159
46,-1.0,-1.0,50.72,-1.0,-1.0,78.09,-1.0,-1.0,-1.0,60.84,70.07355
47,-1.0,9.4,14.6,-1.0,-1.0,-1.0,29.57,-1.0,15.35,15.1,24.040838
48,-1.0,5.6,18.9,-1.0,-1.0,-1.0,-1.0,3.9,9.11,12.6,33.03338
49,23.9,18.6,-1.0,32.77,28.3,56.057,-1.0,38.8,29.02,46.9,43.2888
50,-1.0,25.2,49.9,-1.0,20.4,-1.0,-1.0,16.5,25.49,66.1,64.24982
51,-1.0,24.8,48.5,-1.0,-1.0,-1.0,-1.0,22.9,-1.0,89.4,51.95177
52,-1.0,25.6,48.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,21.6,30.634668
53,-1.0,30.4,26.0,61.19,34.7,84.705,35.6,-1.0,35.4,35.4,74.78499
54,46.2,57.6,-1.0,54.09,41.2,66.716,-1.0,59.3,57.62,71.5,65.81919
55,29.1,-1.0,-1.0,36.35,34.5,84.667,27.9,38.5,-1.0,51.4,42.62934
56,-1.0,99.8,122.9,326.7,100.9,336.26,143.6,174.7,196.11,338.5,317.83676
57,-1.0,-1.0,-1.0,27.86,25.7,128.47,68.9,50.6,42.5,48.5,55.07447
58,-1.0,20.5,50.0,40.32,17.3,151.05,48.3,-1.0,8.2,96.6,89.48457
59,-1.0,-1.0,40.9,163.9,45.3,154.6,41.31,-1.0,-1.0,164.1,171.93896
60,87.3,49.8,-1.0,82.1,47.1,105.68,-1.0,97.1,65.25,68.0,100.030304
61,-1.0,47.0,73.3,63.95,39.9,50.391,61.3,109.2,61.95,63.1,76.8129
62,-1.0,9.2,12.5,-1.0,-1.0,-1.0,1.56,-1.0,12.12,22.9,15.141497
63,18.6,-1.0,-1.0,13.51,18.2,36.289,-1.0,12.5,5.48,3.6,20.588043
64,103.6,99.6,98.7,135.38,65.8,98.19,92.3,-1.0,89.29,145.5,212.87683
65,42.8,36.3,48.8,96.2,50.2,96.22,80.1,38.7,95.67,261.6,118.087524
66,61.0,36.1,-1.0,68.82,24.2,86.671,-1.0,42.1,48.94,59.4,77.151855
67,55.2,6.2,-1.0,81.6,38.8,145.48,55.8,39.3,52.15,65.3,124.18756
68,13.75,30.46,19.85,-1.0,29.2,25.59,16.47,19.03,20.07,50.12,36.64162
69,-1.0,104.8,114.0,-1.0,-1.0,-1.0,-1.0,38.4,52.45,190.9,195.23436
70,-1.0,55.2,54.2,-1.0,45.6,-1.0,21.12,50.5,54.29,70.8,93.70757
71,-1.0,-1.0,35.06,-1.0,-1.0,93.21,-1.0,-1.0,-1.0,27.4,40.142807
72,-1.0,12.5,33.5,51.66,53.5,57.726,49.5,-1.0,40.7,45.8,55.558575
73,-1.0,-1.0,108.9,67.04,22.7,95.717,31.1,38.7,27.7,91.4,77.938705
74,-1.0,-1.0,25.94,-1.0,-1.0,153.99,-1.0,-1.0,-1.0,79.77,26.900417
75,-1.0,-1.0,9.25,60.48,-1.0,-1.0,-1.0,-1.0,-1.0,16.15,16.790337
76,-1.0,30.6,82.2,88.68,44.3,123.04,98.2,-1.0,52.5,76.8,118.169106
77,-1.0,-1.0,37.9,36.44,32.3,75.49,20.9,71.1,39.4,37.4,22.690947
78,-1.0,-1.0,16.3,-1.0,-1.0,-1.0,28.6,-1.0,16.44,20.2,28.547304
79,-1.0,-1.0,26.3,36.4,19.0,55.38,18.53,-1.0,-1.0,47.7,36.434116
80,-1.0,-1.0,-1.0,23.11,13.1,38.361,18.2,17.7,15.2,16.0,23.122547
81,-1.0,25.7,28.9,-1.0,31.7,-1.0,-1.0,17.1,20.91,49.9,47.450172
82,-1.0,25.9,58.1,-1.0,-1.0,-1.0,36.56,-1.0,-1.0,55.6,47.77945
83,-1.0,-1.0,-1.0,36.35,20.3,61.709,33.9,21.9,18.4,21.6,34.035587
84,-1.0,-1.0,57.81,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,150.71,121.06349
85,-1.0,50.5,65.3,-1.0,44.1,-1.0,44.36,31.8,40.99,133.4,96.67732
86,26.4,-1.0,-1.0,26.97,18.3,35.956,22.9,25.6,23.15,35.1,34.408527
87,-1.0,-1.0,40.13,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,43.71,78.65326
88,-1.0,-1.0,-1.0,-1.0,8.8,38.692,10.7,15.4,12.6,20.4,19.071793
89,31.8,-1.0,-1.0,32.44,21.4,98.404,20.9,19.1,16.86,34.4,46.797405
90,-1.0,21.7,44.3,27.56,26.0,63.795,48.4,-1.0,59.0,81.5,55.535168
