,AGU,ATM,LDO,LPIN,MIR,SFE,TLA,VAL,CEN,OBL_med,OBL_pred
0,17.77,29.88,28.19,-1.0,184.69,108.0,14.43,23.64,26.37,21.03,37.28398
1,-1.0,-1.0,40.9,164.1,163.9,154.6,41.31,-1.0,-1.0,45.3,37.513153
2,-1.0,68.5,127.5,-1.0,115.55,194.02,93.1,-1.0,87.56,59.3,63.56566
3,-1.0,-1.0,-1.0,25.7,-1.0,117.23,18.0,19.8,15.8,13.2,14.611015
4,53.1,-1.0,-1.0,84.2,55.77,66.246,53.5,42.6,39.54,51.1,40.001366
5,-1.0,43.3,45.6,75.2,-1.0,-1.0,11.31,35.1,31.36,39.0,36.61377
6,-1.0,42.1,86.5,-1.0,-1.0,-1.0,53.45,61.1,49.39,59.2,55.577362
7,-1.0,35.9,55.8,59.6,12.76,57.159,-1.0,-1.0,33.9,32.5,35.29553
8,17.2,-1.0,-1.0,36.9,42.5,57.735,69.69,-1.0,22.24,19.6,16.009436
9,-1.0,-1.0,-1.0,18.6,9.83,14.358,17.9,17.6,20.4,17.7,14.43326
10,42.3,41.3,-1.0,22.6,41.6,40.125,-1.0,-1.0,17.99,19.1,21.7054
11,38.8,-1.0,-1.0,37.4,31.35,59.67,33.9,36.4,30.47,23.6,30.924692
12,55.9,83.1,-1.0,126.4,84.52,-1.0,-1.0,59.0,62.2,49.1,59.24444
13,58.9,26.1,-1.0,54.5,53.7,92.406,-1.0,35.5,41.27,35.1,36.34023
14,-1.0,43.0,33.1,72.9,-1.0,-1.0,44.22,23.5,19.74,28.6,24.096512
15,-1.0,82.0,106.9,281.0,268.78,315.78,95.4,-1.0,127.9,99.8,95.66243
16,-1.0,34.2,40.4,36.8,47.97,68.521,41.1,-1.0,33.8,41.0,36.801826
17,61.7,56.2,-1.0,100.1,286.24,179.2,-1.0,37.9,100.15,84.9,65.38097
18,6.52,24.16,-1.0,-1.0,33.63,73.4,14.64,12.37,22.02,11.37,18.4083
19,-1.0,10.1,21.7,31.4,13.28,56.666,17.1,-1.0,18.1,12.7,17.832687
20,-1.0,86.2,37.9,291.9,243.37,178.85,73.5,84.1,86.09,34.1,50.64686
21,68.4,37.0,-1.0,53.4,48.04,53.061,46.6,38.5,51.94,23.2,41.430737
22,30.5,-1.0,-1.0,15.6,36.44,40.954,42.8,47.2,31.37,38.8,28.79964
