,AGU,ATM,LDO,LPIN,MIR,SFE,TLA,VAL,CEN,OBL_med,OBL_pred
0,19.64,40.64,15.87,-1.0,-1.0,58.51,60.7,56.79,69.0,29.37,46.172012
1,-1.0,-1.0,-1.0,49.8,35.25,54.156,47.2,9.3,14.2,16.4,23.328987
2,-1.0,-1.0,-1.0,65.8,-1.0,49.818,27.0,22.6,26.0,16.1,20.05008
3,-1.0,16.3,17.0,19.9,29.16,28.877,25.9,-1.0,6.0,40.2,22.796938
4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.3,26.66,20.7,23.556206
5,-1.0,38.5,61.6,79.9,-1.0,-1.0,-1.0,28.6,28.41,27.6,38.136974
6,-1.0,16.91,16.19,38.64,17.78,81.62,11.96,20.62,19.61,11.96,20.409805
7,27.1,5.1,-1.0,22.7,27.3,29.941,24.56,-1.0,26.06,17.4,20.518692
8,-1.0,14.1,20.2,25.5,-1.0,-1.0,21.33,-1.0,10.13,0.0,8.352578
9,-1.0,57.6,59.7,80.7,-1.0,-1.0,17.58,38.6,37.11,37.2,48.74462
10,-1.0,-1.0,79.4,135.0,125.15,102.43,110.5,72.2,85.8,40.6,63.110638
11,-1.0,30.9,38.9,202.2,-1.0,-1.0,73.46,37.0,50.21,34.5,42.802776
12,-1.0,26.5,67.5,131.6,-1.0,-1.0,21.25,42.9,54.73,60.7,39.522324
13,19.09,23.23,30.46,-1.0,-1.0,41.95,21.13,19.86,23.56,19.24,28.77263
14,32.0,-1.0,-1.0,67.6,74.28,45.129,24.2,26.1,24.76,16.9,22.957047
15,59.3,-1.0,-1.0,95.0,104.79,149.68,95.1,52.4,69.27,54.7,50.787483
16,-1.0,22.2,37.7,91.9,40.0,86.175,28.5,-1.0,18.3,19.0,26.396526
17,-1.0,42.2,-1.0,80.8,-1.0,-1.0,39.83,64.4,53.75,44.5,50.59349
18,-1.0,43.7,54.4,67.4,105.96,83.161,-1.0,-1.0,32.3,18.9,46.559486
19,-1.0,29.2,52.9,65.3,-1.0,-1.0,-1.0,39.6,46.03,48.5,41.329422
