,AGU,ATM,LDO,LPIN,OBL,SFE,TLA,VAL,CEN,MIR_med,MIR_pred
0,-1.0,-1.0,-1.0,-1.0,-1.0,24.243,32.8,-1.0,21.06,16.7,26.864578
1,-1.0,68.4,79.0,85.5,57.5,83.387,54.0,-1.0,43.2,120.38,77.87093
2,-1.0,-1.0,64.34,169.31,-1.0,-1.0,-1.0,-1.0,-1.0,38.58,44.69861
3,13.3,13.6,-1.0,-1.0,13.9,23.679,16.31,-1.0,5.34,13.1,19.652395
4,36.8,-1.0,-1.0,106.6,26.6,72.282,47.9,32.1,77.44,56.9,107.6331
5,-1.0,121.3,95.3,521.1,45.9,214.28,66.1,128.0,78.8,122.02,154.01624
6,19.7,-1.0,-1.0,-1.0,11.2,27.925,18.9,30.9,11.3,25.02,32.608234
7,-1.0,41.6,42.1,63.2,35.7,152.14,38.2,-1.0,65.7,58.85,99.56067
8,30.0,39.8,-1.0,82.2,33.7,70.199,36.9,52.6,64.28,75.03,64.719696
9,-1.0,117.4,102.3,143.2,91.8,221.95,132.4,-1.0,85.6,220.01,205.75558
10,71.6,38.5,102.6,200.8,86.4,136.82,100.4,67.4,107.9,173.3,146.44334
11,-1.0,-1.0,10.15,28.2,-1.0,-1.0,-1.0,-1.0,-1.0,42.93,65.95927
12,48.9,-1.0,40.1,53.4,21.8,96.214,38.2,43.1,36.59,63.02,69.31335
13,-1.0,-1.0,26.4,35.1,28.7,88.896,44.6,59.3,44.5,45.95,55.75408
14,-1.0,11.8,17.6,15.2,13.2,34.467,15.5,-1.0,13.4,14.04,16.450891
15,-1.0,46.5,69.4,104.5,-1.0,89.613,-1.0,-1.0,-1.0,90.6,80.1592
16,-1.0,-1.0,-1.0,18.3,27.2,45.214,29.9,36.7,22.7,16.27,30.778955
17,37.6,49.7,-1.0,72.2,60.3,92.465,44.9,38.8,57.97,64.58,72.951935
18,-1.0,-1.0,39.6,62.1,30.4,118.06,29.1,48.6,31.8,49.84,61.774048
19,-1.0,37.7,50.1,90.3,34.8,65.399,35.8,-1.0,31.1,38.79,52.22381
20,25.3,35.1,-1.0,-1.0,18.9,28.468,51.12,-1.0,25.24,33.2,32.503613
21,50.71,39.8,36.35,-1.0,45.96,63.22,41.63,45.13,42.51,55.73,77.05215
22,-1.0,45.0,58.5,156.8,21.1,83.885,49.1,-1.0,33.2,68.87,67.56996
23,-1.0,25.0,-1.0,-1.0,-1.0,22.247,29.06,-1.0,22.36,34.9,27.262959
24,30.1,41.6,-1.0,103.4,23.2,60.744,45.3,24.1,63.56,83.28,81.48411
25,81.0,76.4,-1.0,206.4,69.9,152.97,79.1,41.2,85.88,198.55,157.26886
26,-1.0,59.8,77.7,89.3,62.6,171.95,85.0,-1.0,70.8,76.38,138.46669
27,-1.0,47.3,32.4,58.7,33.5,108.01,49.6,-1.0,68.8,43.68,63.814392
28,106.48,-1.0,61.58,-1.0,78.25,35.87,79.01,76.13,79.05,41.09,54.70565
29,32.6,15.3,-1.0,44.7,15.9,-1.0,20.85,-1.0,21.17,62.1,39.684227
30,-1.0,71.4,130.6,184.1,81.5,258.53,125.6,97.0,112.64,176.26,186.89775
31,-1.0,22.5,48.8,65.9,21.6,51.803,30.5,-1.0,-1.0,40.81,36.04523
32,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.95,-1.0,19.25,23.3,15.643218
33,40.3,21.7,-1.0,51.8,31.8,70.532,41.4,22.4,38.32,42.77,56.71695
34,-1.0,50.1,55.9,70.1,54.3,121.43,53.0,-1.0,31.1,63.8,93.77734
35,11.3,92.7,-1.0,23.6,-1.0,26.381,67.92,-1.0,28.34,18.5,28.08682
