,AGU,ATM,LPIN,MIR,OBL,SFE,TLA,VAL,CEN,LDO_med,LDO_pred
0,-1.0,17.6,32.7,-1.0,-1.0,-1.0,8.92,-1.0,11.6,18.6,23.456528
1,-1.0,-1.0,37.98,-1.0,-1.0,9.72,-1.0,-1.0,-1.0,32.93,32.59764
2,-1.0,-1.0,175.38,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,57.23,51.27829
3,-1.0,-1.0,35.0,-1.0,-1.0,-1.0,25.73,-1.0,18.06,32.9,32.309975
4,-1.0,20.2,39.9,33.02,32.0,79.655,22.3,-1.0,25.3,52.7,31.140503
5,-1.0,29.1,55.3,-1.0,27.8,-1.0,26.88,25.0,25.94,38.0,48.869404
6,54.18,71.05,-1.0,-1.0,59.95,84.41,44.19,69.54,79.66,68.21,59.32926
7,-1.0,128.2,204.6,104.29,28.6,304.44,55.9,97.2,72.59,86.8,59.715126
8,-1.0,48.2,-1.0,-1.0,51.3,-1.0,73.57,71.5,66.5,78.3,100.72951
9,-1.0,24.0,123.6,-1.0,21.5,192.09,27.0,32.1,24.1,42.2,49.557663
10,53.2,42.2,124.6,112.87,54.8,152.8,66.7,50.6,67.07,50.9,65.38516
11,-1.0,-1.0,70.36,52.12,-1.0,51.1,-1.0,-1.0,-1.0,48.45,39.348675
12,-1.0,17.3,202.7,-1.0,26.5,-1.0,56.68,34.4,65.37,32.8,28.356972
13,-1.0,1.3,10.0,-1.0,-1.0,-1.0,2.6,-1.0,6.44,9.8,11.866907
14,-1.0,31.9,59.3,-1.0,43.4,-1.0,-1.0,35.8,50.53,58.5,46.98405
15,-1.0,24.1,34.2,-1.0,-1.0,-1.0,74.43,-1.0,22.29,23.8,37.347935
16,-1.0,7.6,34.7,-1.0,-1.0,-1.0,228.89,-1.0,16.32,30.9,24.89188
17,-1.0,20.1,-1.0,-1.0,21.5,-1.0,-1.0,16.0,31.24,35.0,32.113514
18,23.53,23.53,-1.0,29.26,20.62,76.24,29.27,26.65,20.99,29.35,33.66505
19,-1.0,7.9,51.1,43.11,37.5,56.465,52.2,36.4,38.76,53.8,55.572666
20,-1.0,13.0,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.37,14.5,18.623951
21,-1.0,31.4,191.6,87.95,34.3,103.05,41.8,-1.0,47.6,30.7,47.158886
22,-1.0,-1.0,33.13,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,24.17,22.300682
23,-1.0,13.9,19.5,-1.0,-1.0,-1.0,64.18,-1.0,21.44,13.5,32.19365
24,-1.0,17.2,36.9,-1.0,13.8,44.579,25.8,-1.0,18.7,31.1,29.104687
25,27.91,36.84,-1.0,-1.0,41.74,123.13,22.27,24.36,25.53,32.9,36.44526
26,-1.0,20.0,36.2,23.9,31.0,51.474,16.4,-1.0,6.7,24.0,24.85406
27,-1.0,-1.0,38.16,15.02,-1.0,292.07,-1.0,-1.0,-1.0,54.18,29.620071
28,-1.0,-1.0,15.52,-1.0,-1.0,81.1,-1.0,-1.0,-1.0,11.13,16.037231
29,-1.0,-1.0,20.98,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,33.34,16.436222
30,-1.0,-1.0,18.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.16,15.204867
31,-1.0,30.4,50.4,-1.0,61.5,-1.0,43.93,33.3,100.21,58.3,56.20154
32,-1.0,26.2,28.2,-1.0,-1.0,-1.0,84.62,-1.0,14.3,30.9,32.526535
33,-1.0,48.8,53.3,62.6,50.6,62.69,54.3,-1.0,35.9,40.1,50.70125
34,-1.0,57.7,62.4,78.3,30.9,71.51,57.2,-1.0,-1.0,45.7,50.513664
35,-1.0,30.3,28.3,-1.0,-1.0,-1.0,24.62,-1.0,23.34,27.0,27.156841
36,15.9,9.0,32.0,15.5,22.2,55.879,13.3,16.0,19.82,80.9,20.815092
37,-1.0,9.6,82.4,-1.0,40.7,-1.0,51.38,36.9,43.99,43.8,55.141144
38,-1.0,29.6,83.3,53.7,-1.0,84.672,-1.0,-1.0,-1.0,80.5,48.550697
39,-1.0,-1.0,46.14,-1.0,-1.0,147.52,-1.0,-1.0,-1.0,27.6,33.327763
40,-1.0,22.1,59.4,-1.0,23.2,-1.0,4.47,26.1,-1.0,36.4,38.288227
41,-1.0,51.1,90.7,-1.0,31.0,-1.0,32.23,36.9,38.47,51.8,59.960278
42,-1.0,13.4,43.2,-1.0,24.3,-1.0,47.7,19.4,19.18,37.4,38.63027
43,-1.0,40.3,85.4,115.42,29.2,90.018,56.9,-1.0,53.2,52.1,52.32937
44,-1.0,20.5,43.6,31.8,21.4,60.985,32.0,-1.0,37.3,43.0,32.66345
45,-1.0,53.2,202.4,-1.0,76.8,-1.0,81.5,88.2,80.28,112.3,94.39068
46,-1.0,-1.0,29.9,-1.0,-1.0,-1.0,45.46,-1.0,22.45,32.2,38.762154
47,28.93,23.55,-1.0,-1.0,24.48,52.85,30.9,32.83,25.75,24.76,36.348175
48,-1.0,31.3,38.4,57.53,29.2,57.775,24.7,-1.0,42.4,22.2,34.00786
49,55.97,-1.0,42.92,32.54,25.62,46.24,18.8,36.77,33.19,19.2,24.259392
50,-1.0,-1.0,6.17,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.77,9.552573
51,-1.0,40.2,111.7,84.19,33.8,103.34,48.6,-1.0,36.6,29.3,52.94975
52,-1.0,15.2,126.5,45.0,19.0,69.58,-1.0,-1.0,-1.0,62.9,41.881763
53,33.23,58.56,167.16,-1.0,-1.0,-1.0,56.9,19.42,53.34,33.87,57.60868
54,-1.0,10.9,33.7,-1.0,-1.0,-1.0,-1.0,-1.0,7.21,20.8,17.301155
