,AGU,ATM,LDO,LPIN,OBL,SFE,TLA,VAL,CEN,MIR_med,MIR_pred
0,41.1,89.6,-1.0,65.2,38.5,70.137,88.82,-1.0,43.93,69.1,80.320015
1,-1.0,-1.0,-1.0,143.0,25.1,73.541,42.8,68.6,41.7,121.15,83.275116
2,23.5,-1.0,-1.0,41.5,28.1,59.246,39.5,39.0,31.24,64.37,45.87189
3,-1.0,30.9,34.9,54.7,43.9,76.452,40.3,-1.0,25.2,36.56,52.019676
4,20.6,4.7,-1.0,14.0,-1.0,38.15,35.44,-1.0,14.47,26.0,30.457253
5,-1.0,21.9,9.4,25.1,22.5,14.012,11.7,-1.0,24.1,38.12,24.332157
6,85.93,47.96,40.25,-1.0,50.71,69.2,50.18,82.98,51.11,13.27,52.89156
7,-1.0,175.0,209.6,580.6,106.7,279.79,235.7,65.7,147.86,185.58,235.3452
8,-1.0,-1.0,-1.0,83.0,39.6,79.176,40.2,44.9,43.3,46.35,56.001663
9,19.6,23.4,-1.0,26.8,25.3,59.564,-1.0,19.6,26.11,27.69,39.09598
10,13.4,-1.0,-1.0,23.1,9.0,51.758,9.5,12.8,7.07,10.42,21.679638
11,-1.0,52.3,68.8,74.4,60.5,103.93,58.0,-1.0,61.3,62.99,73.546974
12,26.53,-1.0,-1.0,-1.0,61.74,81.6,27.28,37.34,40.16,103.08,88.93463
13,34.2,-1.0,-1.0,-1.0,31.6,51.59,42.1,37.1,30.7,39.49,51.761097
14,-1.0,18.05,31.02,43.64,22.74,107.46,46.5,24.03,47.23,27.36,41.65057
15,22.8,32.4,-1.0,73.4,19.4,57.25,-1.0,33.6,16.17,33.1,40.2573
16,-1.0,-1.0,-1.0,69.9,41.2,77.218,59.9,63.9,56.9,45.61,49.56031
17,93.1,52.2,76.5,72.4,48.4,164.42,90.3,120.1,81.74,122.94,126.80226
18,82.52,63.49,70.77,-1.0,58.12,20.14,71.69,94.54,63.87,41.2,87.72917
19,-1.0,-1.0,11.5,45.4,29.4,59.972,106.85,-1.0,-1.0,49.7,75.41084
20,-1.0,29.8,31.1,31.3,35.0,116.2,52.1,103.3,42.2,55.42,66.4275
21,-1.0,-1.0,-1.0,39.1,23.6,73.032,24.8,20.8,22.8,43.83,50.278736
22,-1.0,193.6,194.8,209.4,107.2,303.59,235.4,254.3,216.13,266.69,267.11224
23,-1.0,-1.0,71.2,89.1,35.0,223.27,53.4,46.6,53.4,83.28,67.2956
24,-1.0,-1.0,22.48,37.26,-1.0,-1.0,-1.0,-1.0,-1.0,227.12,85.8905
25,-1.0,49.8,100.1,-1.0,-1.0,96.148,96.77,-1.0,-1.0,221.6,149.00897
26,-1.0,-1.0,-1.0,86.2,33.9,92.124,46.1,39.1,49.1,38.02,61.76583
27,37.5,52.9,-1.0,52.0,48.1,-1.0,-1.0,46.3,54.38,67.83,65.566826
28,12.31,34.74,24.21,-1.0,19.69,-1.0,25.79,26.29,23.25,52.23,33.45779
29,68.5,24.7,43.2,66.0,46.0,69.977,49.3,40.6,40.4,89.65,58.153885
30,-1.0,26.7,36.7,103.0,32.0,75.142,34.5,-1.0,14.1,38.5,59.32398
31,-1.0,-1.0,-1.0,-1.0,-1.0,43.685,-1.0,-1.0,21.6,56.8,37.242897
32,-1.0,19.6,23.6,70.5,13.7,85.661,26.7,-1.0,22.8,68.37,49.718525
33,-1.0,30.1,29.0,76.6,27.9,190.85,38.4,-1.0,54.9,53.52,88.22273
34,-1.0,40.2,72.4,94.0,39.3,132.57,51.6,-1.0,38.6,55.42,97.11178
35,37.8,49.5,-1.0,42.3,51.6,65.279,-1.0,47.7,50.11,46.15,51.986233
36,-1.0,43.0,127.7,179.6,59.4,143.16,78.7,-1.0,74.5,245.82,102.232834
37,-1.0,20.7,22.3,42.2,34.3,38.358,35.5,-1.0,39.0,77.85,38.157524
38,-1.0,-1.0,21.2,32.7,32.6,64.696,42.3,58.0,38.3,41.74,39.962536
39,-1.0,13.2,17.3,67.6,14.9,35.241,11.9,-1.0,20.6,39.45,24.861137
40,-1.0,35.6,60.1,72.9,52.5,102.52,-1.0,-1.0,70.2,101.8,42.423706
41,10.0,12.8,-1.0,-1.0,16.1,37.76,23.48,-1.0,20.08,26.2,33.826023
42,-1.0,17.4,24.1,88.1,-1.0,67.655,55.93,-1.0,-1.0,95.4,65.50682
43,-1.0,49.3,60.1,102.2,42.5,90.399,50.8,-1.0,58.4,64.97,85.20576
44,-1.0,43.5,56.8,150.4,39.8,232.78,49.8,-1.0,40.1,70.12,62.13556
45,38.93,55.44,73.71,-1.0,34.13,152.21,59.09,50.07,43.99,131.6,37.896328
46,-1.0,28.5,41.8,-1.0,-1.0,71.88,64.75,-1.0,-1.0,71.7,135.74403
47,-1.0,-1.0,45.2,67.7,28.3,31.132,43.3,47.0,33.4,29.56,52.923145
48,88.3,88.9,58.4,382.1,82.6,185.88,120.2,88.9,102.08,379.74,165.18594
49,-1.0,-1.0,106.1,108.0,45.9,107.41,104.9,77.4,125.3,145.73,180.20204
50,15.2,17.1,-1.0,28.8,27.3,43.936,-1.0,20.9,22.14,22.56,29.531498
51,26.56,66.04,56.65,-1.0,48.79,155.83,45.92,28.06,63.14,30.21,52.17656
52,27.5,17.5,-1.0,29.1,18.2,-1.0,39.58,-1.0,25.47,49.9,49.749363
53,14.1,95.3,-1.0,24.0,27.7,30.132,84.51,-1.0,23.6,25.7,28.672794
54,-1.0,16.5,-1.0,-1.0,-1.0,37.393,44.55,-1.0,15.61,67.3,49.85374
55,-1.0,36.4,66.0,54.5,-1.0,53.589,-1.0,-1.0,-1.0,17.9,37.85365
56,-1.0,3.0,15.5,13.2,14.8,25.736,13.5,-1.0,-1.0,20.5,14.660229
57,53.6,33.2,-1.0,44.9,45.4,79.25,-1.0,54.5,50.24,55.36,66.6223
58,-1.0,-1.0,-1.0,43.3,21.5,28.253,30.9,11.2,13.5,78.24,43.50412
59,-1.0,-1.0,-1.0,12.6,15.7,37.892,18.4,21.0,11.7,23.69,24.076206
60,20.1,-1.0,-1.0,53.6,14.0,57.886,45.4,40.4,36.0,53.91,46.701183
61,-1.0,-1.0,101.3,190.7,46.6,126.61,33.99,-1.0,-1.0,149.1,68.1552
62,-1.0,-1.0,-1.0,13.7,7.3,10.561,11.9,17.0,21.1,14.09,21.024109
63,43.2,-1.0,-1.0,0.0,32.7,59.215,54.1,49.2,40.23,37.49,52.55432
64,36.0,36.7,-1.0,45.5,32.1,48.783,-1.0,31.8,37.88,35.5,47.37448
65,-1.0,43.9,48.1,125.1,53.6,109.62,71.6,84.2,-1.0,80.67,104.04599
66,-1.0,37.9,53.7,48.5,31.8,66.149,47.5,-1.0,34.1,101.56,57.529636
67,53.8,54.4,-1.0,89.7,23.2,90.951,29.9,57.2,40.68,59.19,58.78717
68,15.8,2.4,-1.0,-1.0,11.3,44.613,15.88,-1.0,10.14,25.8,26.196005
69,10.2,3.2,-1.0,8.6,7.1,16.44,9.16,-1.0,2.32,6.7,16.610268
70,-1.0,18.4,25.7,31.7,16.9,49.025,30.7,-1.0,10.0,80.45,38.542015
71,40.0,29.6,37.1,28.9,22.8,63.145,17.8,23.1,31.82,29.57,58.32395
72,-1.0,23.3,25.9,53.7,30.8,71.457,43.7,-1.0,25.8,73.48,50.931664
73,19.7,-1.0,-1.0,-1.0,11.2,27.925,18.9,30.9,11.3,25.02,26.549414
74,-1.0,-1.0,-1.0,49.1,46.2,90.568,81.3,47.3,50.6,72.67,48.12761
75,-1.0,-1.0,24.32,46.46,-1.0,54.86,-1.0,-1.0,-1.0,17.75,34.000248
76,4.3,33.9,-1.0,6.0,-1.0,20.73,-1.0,-1.0,11.06,12.0,8.77013
77,-1.0,65.1,66.6,122.8,89.4,87.605,72.6,-1.0,58.0,73.53,77.25088
78,47.2,175.2,-1.0,32.5,-1.0,38.481,-1.0,-1.0,21.53,48.9,71.085075
79,17.4,49.9,-1.0,64.4,-1.0,57.456,53.2,-1.0,32.45,34.7,65.120865
80,-1.0,-1.0,-1.0,17.8,24.3,56.667,20.6,41.3,31.2,31.8,39.145267
81,-1.0,-1.0,-1.0,13.9,9.8,26.515,13.4,-1.0,14.9,19.72,30.626915
82,-1.0,36.1,78.9,81.2,70.8,104.75,34.7,-1.0,58.6,149.78,76.121956
83,19.13,30.16,14.57,-1.0,33.08,94.67,22.55,19.32,38.22,68.96,49.853348
84,27.4,21.5,-1.0,15.5,-1.0,35.278,26.54,-1.0,21.45,35.5,32.15578
85,-1.0,59.7,67.5,118.7,36.0,94.881,69.7,-1.0,49.0,87.02,89.93413
86,16.11,27.65,22.71,-1.0,33.35,50.02,34.25,18.01,37.69,59.17,52.225204
87,-1.0,39.6,40.1,-1.0,-1.0,45.899,58.14,-1.0,-1.0,24.8,105.84378
88,19.1,15.2,-1.0,29.9,14.6,-1.0,18.7,-1.0,18.66,24.1,42.59809
89,-1.0,26.8,40.6,87.6,30.0,82.441,47.6,-1.0,30.2,122.65,62.731205
90,-1.0,-1.0,-1.0,15.2,16.2,20.873,13.1,11.7,13.2,18.46,15.149641
91,-1.0,-1.0,30.2,72.0,34.1,49.072,27.7,51.1,31.2,51.04,51.5026
92,-1.0,29.9,52.9,75.9,35.0,74.075,-1.0,-1.0,45.9,38.01,44.49997
93,74.3,39.8,49.0,66.4,43.3,106.15,53.3,76.8,53.29,93.22,73.29135
94,41.1,41.3,-1.0,80.6,36.0,-1.0,44.9,30.6,44.28,79.75,72.87902
95,-1.0,31.6,44.2,94.0,51.7,69.139,51.3,44.2,59.0,109.17,87.14867
96,-1.0,-1.0,76.6,146.2,38.0,127.4,-1.0,-1.0,-1.0,89.8,108.52609
97,27.8,19.4,-1.0,58.5,8.7,32.261,27.2,19.9,24.19,53.5,39.804573
98,-1.0,60.4,38.9,34.2,29.9,41.73,42.6,-1.0,40.65,58.05,43.87925
99,-1.0,104.0,148.4,214.3,85.7,224.2,132.6,-1.0,119.1,161.75,260.85788
100,-1.0,-1.0,-1.0,78.5,26.3,80.139,28.8,55.9,32.2,47.24,59.896313
101,56.9,-1.0,-1.0,98.9,63.2,90.812,54.6,61.6,66.13,111.28,70.64002
102,-1.0,83.3,141.1,342.6,56.1,176.8,94.7,99.7,75.9,89.3,110.036674
103,-1.0,209.8,456.4,780.1,224.9,500.41,594.15,-1.0,-1.0,480.4,699.87665
104,-1.0,33.5,47.0,61.8,34.0,67.303,46.5,-1.0,34.8,58.94,55.991524
105,-1.0,37.7,38.7,92.9,27.4,92.981,45.6,-1.0,71.3,101.37,72.06048
106,-1.0,-1.0,-1.0,76.8,24.8,47.934,50.0,35.0,38.6,44.37,48.62184
107,-1.0,-1.0,43.0,34.3,26.7,75.116,24.5,32.1,25.9,64.52,34.050514
108,-1.0,62.1,58.2,77.4,46.6,118.25,66.8,-1.0,57.8,211.85,87.29366
109,51.9,-1.0,-1.0,69.0,65.2,78.85,36.6,42.6,57.42,26.37,63.562553
110,-1.0,-1.0,-1.0,23.1,19.9,81.885,13.1,17.8,16.0,37.11,22.069685
111,26.5,0.9,-1.0,-1.0,19.4,31.569,-1.0,-1.0,21.19,41.6,42.4546
112,56.3,17.8,29.3,41.0,30.3,86.882,28.5,-1.0,29.49,53.81,54.187847
113,-1.0,-1.0,-1.0,-1.0,-1.0,59.004,26.41,-1.0,19.8,35.2,53.218407
114,-1.0,37.8,73.8,238.2,33.2,267.37,79.7,-1.0,57.3,101.51,132.04282
