,ATM,LDO,LPIN,MIR,OBL,SFE,TLA,VAL,CEN,AGU_med,AGU_pred
1499,30.4,-1.0,61.3,22.45,15.9,39.297,-1.0,19.3,19.57,22.8,19.104874
1500,43.92,44.46,-1.0,-1.0,37.18,65.69,48.14,42.72,54.14,39.53,35.60971
1501,36.47,65.95,-1.0,-1.0,35.23,23.66,59.18,26.2,31.46,27.0,21.728983
1502,47.5,-1.0,36.8,75.97,35.6,103.18,-1.0,53.4,72.37,48.8,60.10433
1503,-1.0,-1.0,30.8,-1.0,16.6,53.288,13.3,18.0,11.0,23.4,24.128769
1504,-1.0,35.96,-1.0,-1.0,29.06,110.64,34.42,37.15,28.17,22.8,25.761677
1505,32.76,52.78,52.97,-1.0,32.92,28.91,46.54,37.15,-1.0,33.37,28.345024
1506,-1.0,-1.0,10.7,39.23,38.4,62.106,47.3,37.3,37.4,41.9,41.51384
1507,24.99,82.7,-1.0,-1.0,39.54,43.12,40.06,34.1,35.89,22.78,21.404318
1508,58.46,67.35,-1.0,-1.0,83.61,162.95,68.38,41.77,61.69,54.7,42.50255
1509,56.6,-1.0,113.4,114.23,47.4,112.29,52.4,57.0,48.49,70.1,71.27167
1510,19.8,-1.0,32.4,70.2,-1.0,43.768,35.0,-1.0,22.55,49.2,27.405663
1511,71.7,-1.0,158.5,105.4,59.5,164.8,-1.0,43.1,67.06,43.4,78.02004
1512,41.0,-1.0,-1.0,23.4,20.9,33.544,59.89,-1.0,20.62,10.2,19.433504
1513,-1.0,-1.0,46.8,76.44,64.3,144.23,-1.0,114.7,49.63,20.8,50.687088
1514,10.3,-1.0,-1.0,57.0,16.4,85.773,25.16,-1.0,33.96,34.2,38.283592
1515,-1.0,-1.0,130.9,111.21,43.7,123.8,-1.0,56.1,50.9,66.2,47.434456
1516,8.1,-1.0,26.0,41.8,12.3,31.923,25.84,-1.0,11.23,39.9,23.23221
1517,26.6,-1.0,15.7,20.9,13.8,42.054,35.06,-1.0,13.6,20.8,6.8027477
1518,50.05,89.62,-1.0,-1.0,71.02,68.42,49.08,37.58,39.2,34.53,40.510933
1519,27.4,-1.0,42.4,47.98,24.6,33.06,37.3,27.3,35.53,25.9,31.724697
1520,-1.0,-1.0,23.1,17.36,17.2,36.964,-1.0,19.3,31.66,21.7,24.86455
1521,29.2,-1.0,76.6,78.02,30.6,71.434,-1.0,16.3,43.49,23.9,26.475971
1522,16.3,-1.0,53.6,56.7,28.0,58.931,39.11,-1.0,26.61,41.9,29.419464
1523,22.5,-1.0,-1.0,24.5,13.4,28.603,20.32,-1.0,21.34,24.1,19.896414
1524,38.4,-1.0,43.2,43.26,19.4,41.663,-1.0,30.3,27.37,22.8,27.45756
1525,50.07,56.22,-1.0,-1.0,39.9,44.01,65.17,42.88,132.94,35.83,36.230217
1526,-1.0,-1.0,27.7,25.38,11.7,-1.0,-1.0,31.8,13.0,17.5,21.947186
1527,68.6,154.3,273.2,321.88,99.1,167.2,160.2,67.3,150.77,61.5,47.88833
1528,33.8,-1.0,75.7,47.92,22.0,95.839,30.9,31.1,30.54,35.6,40.130783
1529,1.5,-1.0,20.5,23.7,11.9,-1.0,11.03,-1.0,18.83,27.8,18.104326
1530,-1.0,31.63,-1.0,-1.0,34.24,33.85,28.69,29.83,29.62,25.12,24.985245
1531,-1.0,-1.0,40.5,94.26,30.5,94.599,-1.0,57.2,41.83,55.8,39.050396
1532,10.64,11.72,24.04,-1.0,-1.0,-1.0,13.23,10.96,14.7,16.18,16.187304
1533,47.4,63.45,244.09,-1.0,33.74,-1.0,66.08,23.43,37.37,20.18,21.598448
1534,-1.0,-1.0,80.6,65.94,20.7,45.523,12.8,22.1,21.79,37.9,29.071276
1535,63.8,46.38,-1.0,-1.0,55.49,37.33,37.12,37.61,42.81,29.98,38.399857
1536,44.23,31.87,63.48,-1.0,45.26,45.41,39.73,41.27,-1.0,28.07,35.956306
1537,-1.0,21.6,31.9,27.87,23.5,49.62,27.8,47.1,25.38,24.7,33.52608
1538,20.0,43.7,47.3,39.51,22.7,50.405,38.9,22.9,38.57,19.4,28.56066
1539,19.3,19.2,63.6,126.19,14.5,99.975,25.3,15.8,19.09,19.2,23.968735
1540,26.7,-1.0,37.3,39.09,31.1,63.728,-1.0,39.9,37.07,46.4,37.129738
1541,51.32,29.76,-1.0,-1.0,38.35,77.45,45.22,36.61,58.1,48.27,28.733595
1542,22.4,-1.0,22.5,26.5,15.4,37.979,-1.0,26.8,33.74,27.8,22.23478
1543,53.2,-1.0,134.1,65.72,46.3,99.336,-1.0,56.2,56.3,40.7,54.076004
1544,30.44,35.22,-1.0,173.03,26.31,54.09,21.67,21.18,23.05,18.95,13.595045
1545,18.7,-1.0,-1.0,39.3,11.1,28.28,28.43,-1.0,10.38,18.6,13.937598
1546,72.6,-1.0,62.2,-1.0,38.7,51.876,64.07,-1.0,46.04,33.5,43.404003
1547,41.01,53.33,58.24,-1.0,49.19,65.2,52.35,38.12,-1.0,38.28,38.609608
1548,22.29,28.3,-1.0,-1.0,21.54,26.57,21.4,19.27,23.26,13.87,14.710912
1549,35.3,-1.0,58.5,56.53,42.2,101.84,-1.0,58.5,27.43,56.8,58.87407
1550,-1.0,-1.0,25.7,-1.0,9.1,23.108,16.2,11.5,6.1,6.7,7.2515326
1551,-1.0,-1.0,58.3,57.44,16.7,43.976,37.4,21.0,29.67,50.4,34.117325
1552,14.3,-1.0,24.6,27.09,27.3,38.269,-1.0,17.7,30.54,22.3,18.076712
1553,70.7,141.5,187.2,231.61,80.1,184.18,199.0,69.8,176.09,47.6,55.269054
1554,36.7,-1.0,-1.0,33.0,19.2,30.188,32.59,-1.0,17.44,22.3,17.427135
1555,13.47,10.31,-1.0,79.64,24.96,66.24,8.27,3.86,12.7,4.68,9.482031
1556,20.8,41.1,35.3,27.47,16.1,33.691,45.8,35.2,23.69,34.6,35.61635
1557,45.6,-1.0,73.4,75.25,34.4,-1.0,-1.0,43.8,44.82,32.3,38.929676
1558,20.74,18.78,-1.0,52.7,15.79,20.7,15.55,18.25,17.69,9.72,7.25076
1559,-1.0,-1.0,104.9,182.9,42.9,86.602,30.51,-1.0,45.32,41.1,51.083096
1560,42.4,-1.0,23.7,23.6,15.1,11.049,24.05,-1.0,19.11,13.6,13.822307
1561,45.08,53.82,-1.0,67.75,38.98,58.09,48.77,47.46,46.73,64.82,39.914486
1562,35.58,24.78,-1.0,-1.0,25.54,90.95,29.8,26.58,22.14,28.35,22.17947
1563,68.4,-1.0,-1.0,44.6,41.0,43.179,54.79,-1.0,31.3,22.4,23.957445
1564,-1.0,-1.0,19.7,40.0,-1.0,26.569,6.06,-1.0,11.19,6.8,27.21239
1565,11.5,-1.0,-1.0,25.5,18.9,34.351,14.51,-1.0,19.52,31.6,35.37861
1566,38.93,32.14,47.82,-1.0,-1.0,-1.0,48.64,86.78,-1.0,63.68,19.575056
1567,-1.0,77.4,215.2,86.0,43.0,206.95,75.0,27.5,46.38,56.9,52.993843
1568,33.31,32.32,-1.0,-1.0,38.22,51.5,31.8,39.4,36.15,41.78,34.513233
1569,-1.0,-1.0,-1.0,34.84,31.2,81.798,34.1,25.6,28.67,34.3,29.260489
1570,9.1,8.19,20.23,-1.0,5.55,-1.0,7.58,6.86,9.5,7.86,9.777152
1571,-1.0,-1.0,35.1,-1.0,28.3,46.275,36.9,21.3,24.3,21.5,21.217342
1572,28.7,-1.0,42.9,50.21,25.0,46.443,-1.0,41.8,37.18,37.6,38.27234
1573,24.3,-1.0,47.3,67.66,24.3,57.936,42.8,33.5,56.51,36.1,29.159601
1574,21.04,32.77,-1.0,-1.0,18.4,28.3,21.12,21.43,22.97,12.65,14.896007
1575,31.63,-1.0,-1.0,-1.0,31.66,14.29,37.29,27.42,30.83,28.19,29.07198
1576,32.0,-1.0,43.1,52.9,32.8,45.032,47.14,-1.0,32.89,36.4,49.936256
1577,22.15,26.35,-1.0,-1.0,21.14,91.23,22.02,25.54,21.83,20.05,17.84225
1578,69.06,77.28,-1.0,44.28,65.94,95.62,46.79,60.19,70.11,32.9,52.217915
1579,24.3,-1.0,35.4,39.13,26.9,49.542,38.3,23.5,25.48,35.4,25.599436
1580,36.09,27.92,-1.0,192.46,45.68,285.03,28.37,27.53,50.33,24.8,16.586895
1581,36.84,96.19,221.41,-1.0,144.91,-1.0,145.48,33.44,129.52,38.22,27.547985
1582,95.95,77.51,-1.0,48.87,105.66,53.65,122.62,90.19,120.12,61.47,87.1627
1583,35.64,32.09,38.38,-1.0,38.54,-1.0,28.51,34.59,33.25,20.04,39.767918
1584,65.1,117.6,346.4,213.34,90.0,354.48,135.9,84.7,192.04,97.7,55.125053
1585,8.56,31.55,-1.0,83.98,11.36,30.41,44.27,11.1,18.65,14.96,16.682608
1586,44.4,-1.0,83.8,53.89,29.1,106.7,-1.0,47.0,46.58,51.0,44.75686
1587,17.63,33.36,-1.0,-1.0,17.43,69.89,29.93,20.3,21.99,19.6,16.921688
1588,61.98,56.74,160.24,-1.0,-1.0,-1.0,79.32,49.76,60.18,41.18,51.4153
1589,31.25,30.34,-1.0,43.23,26.21,152.79,26.59,17.78,21.76,17.23,12.276928
1590,45.93,49.7,-1.0,-1.0,34.94,80.71,40.07,36.86,43.87,26.13,35.581314
1591,-1.0,-1.0,159.9,50.48,31.9,211.37,46.3,27.4,36.69,41.5,45.200222
1592,42.31,-1.0,-1.0,74.55,44.43,80.55,38.06,44.97,59.46,30.71,39.322857
1593,12.8,-1.0,71.0,98.37,29.5,74.771,69.0,25.3,37.57,50.3,30.008694
1594,40.52,36.28,-1.0,-1.0,37.19,71.39,36.37,34.69,41.99,35.93,29.772423
1595,13.22,-1.0,-1.0,47.84,6.01,99.06,17.58,14.69,19.0,8.08,17.921974
1596,74.65,-1.0,-1.0,-1.0,84.04,35.9,125.19,76.35,194.32,32.52,44.53414
1597,4.13,-1.0,-1.0,33.38,7.56,11.98,-1.0,6.84,3.93,2.07,2.4183984
1598,-1.0,26.37,-1.0,61.43,24.61,44.9,21.53,25.33,32.3,33.87,30.936275
1599,12.9,-1.0,32.4,40.8,22.1,76.546,28.47,-1.0,33.01,35.7,33.693913
