,ATM,LDO,LPIN,MIR,OBL,SFE,TLA,VAL,CEN,AGU_med,AGU_pred
764,13.18,12.58,-1.0,156.83,12.02,66.77,3.16,5.47,11.89,8.01,9.6753
765,22.3,-1.0,90.9,30.31,23.2,76.742,22.0,19.9,25.74,34.4,20.158678
766,17.56,21.83,-1.0,-1.0,17.17,24.88,18.01,20.53,20.45,20.47,18.75002
767,70.7,-1.0,69.4,116.24,65.9,124.82,-1.0,43.3,52.67,47.0,50.3625
768,7.5,-1.0,24.1,26.5,10.7,27.736,19.6,-1.0,10.43,18.3,11.580957
769,30.1,-1.0,-1.0,65.2,24.0,58.677,37.45,-1.0,26.35,36.5,31.279448
770,26.79,44.17,-1.0,63.63,32.5,36.84,39.62,33.1,57.46,15.15,20.458168
771,-1.0,-1.0,19.2,-1.0,4.1,39.446,55.32,51.6,6.12,11.5,14.054262
772,-1.0,-1.0,19.4,5.73,44.7,32.897,31.8,10.7,15.65,17.6,15.673289
773,23.9,34.6,81.6,83.06,28.4,61.185,55.7,20.1,50.24,21.5,32.83095
774,-1.0,-1.0,49.8,67.83,29.7,87.235,-1.0,63.9,40.77,65.9,32.185684
775,81.9,78.76,166.48,-1.0,102.98,76.68,59.55,54.05,-1.0,90.58,42.823303
776,-1.0,-1.0,40.1,-1.0,21.9,61.004,27.5,25.6,21.12,29.7,17.887356
777,6.3,-1.0,20.0,22.7,16.8,36.219,6.26,-1.0,17.09,20.4,22.382694
778,29.93,33.09,-1.0,33.35,49.16,41.3,36.17,21.02,52.09,17.3,11.39637
779,17.3,-1.0,35.7,42.12,20.2,64.83,-1.0,24.0,25.51,31.9,31.039337
780,-1.0,-1.0,7.0,-1.0,-1.0,20.962,4.6,5.3,7.3,2.5,4.1665463
781,33.43,5.75,32.68,-1.0,-1.0,-1.0,22.92,14.66,21.35,26.23,16.168373
782,69.23,56.15,-1.0,35.11,69.36,124.4,55.92,53.66,72.04,57.3,47.838318
783,37.74,38.6,-1.0,-1.0,54.69,79.68,26.65,32.82,43.21,20.31,22.646526
784,25.16,28.19,-1.0,-1.0,38.09,20.57,13.25,13.06,23.24,13.8,10.828522
785,71.89,33.27,-1.0,-1.0,62.41,83.92,57.78,54.28,48.02,75.8,41.393646
786,61.2,-1.0,133.3,77.51,58.5,121.96,-1.0,93.6,56.56,58.0,54.482864
787,46.2,-1.0,132.5,60.15,57.4,72.349,-1.0,60.8,42.36,54.5,39.835205
788,-1.0,30.43,-1.0,38.55,15.17,33.34,28.79,14.84,16.36,16.58,13.18324
789,-1.0,-1.0,17.2,-1.0,4.8,17.885,14.2,11.9,10.8,6.4,6.0921392
790,34.9,-1.0,44.7,43.13,23.2,60.774,5.3,30.6,31.4,30.4,29.280376
791,42.6,-1.0,34.1,39.6,13.0,46.445,0.66,-1.0,18.54,28.3,21.844688
792,15.01,24.42,-1.0,-1.0,17.97,58.27,16.29,14.77,19.09,11.86,10.744616
793,-1.0,-1.0,98.5,79.06,63.3,116.4,81.4,60.6,88.14,51.6,43.355373
794,18.74,-1.0,-1.0,-1.0,22.14,109.67,31.14,16.86,45.26,17.86,8.480292
795,12.7,-1.0,47.5,53.11,21.6,113.46,-1.0,34.7,21.82,58.9,23.636703
796,26.17,55.46,-1.0,39.09,26.31,90.63,33.07,24.54,26.12,18.09,17.986147
797,38.3,-1.0,54.2,57.85,46.0,-1.0,-1.0,55.5,48.09,46.0,49.117752
798,42.8,-1.0,59.0,38.13,40.5,77.752,31.7,43.1,36.7,25.3,30.537428
799,57.93,61.59,-1.0,112.29,69.08,95.27,69.09,36.76,100.25,49.7,36.397896
800,45.99,57.75,-1.0,33.67,29.32,36.33,49.73,35.03,38.26,29.53,25.864584
801,-1.0,-1.0,20.8,-1.0,12.3,34.823,40.55,16.4,14.12,27.1,10.336706
802,32.4,-1.0,-1.0,79.46,34.24,75.77,35.42,37.98,45.14,56.09,40.206833
803,18.61,21.4,32.49,-1.0,17.86,-1.0,24.65,18.34,22.98,23.37,25.577162
804,34.6,-1.0,202.3,168.87,23.2,170.0,90.9,39.4,75.81,41.1,40.51337
805,18.64,31.91,-1.0,39.82,17.73,30.51,30.43,22.65,20.45,11.59,17.231411
806,22.9,-1.0,78.7,93.75,13.1,58.975,25.4,8.4,18.57,13.7,18.60581
807,4.6,-1.0,6.1,4.3,-1.0,18.612,22.06,-1.0,8.28,5.3,7.8996696
808,30.2,-1.0,-1.0,41.2,17.1,29.256,53.34,-1.0,19.1,16.3,20.39415
