,AGU,LDO,LPIN,MIR,OBL,SFE,TLA,VAL,CEN,ATM_med,ATM_pred
62,-1.0,54.8,-1.0,24.7,-1.0,50.484,-1.0,-1.0,15.34,36.8,16.885809
63,-1.0,20.9,42.2,56.68,28.1,105.21,30.3,95.8,25.5,35.6,33.781525
64,-1.0,69.5,93.6,-1.0,-1.0,-1.0,-1.0,63.5,56.31,72.8,57.285454
65,-1.0,25.8,43.0,-1.0,24.1,-1.0,18.37,11.8,-1.0,2.3,19.213923
66,32.8,-1.0,23.8,41.9,16.5,46.564,39.05,-1.0,8.77,38.0,50.59979
67,21.5,51.95,63.57,-1.0,-1.0,-1.0,35.61,18.0,31.55,31.33,28.871317
68,-1.0,81.3,217.7,-1.0,67.5,229.56,88.1,98.1,102.4,74.3,75.56773
69,-1.0,55.7,140.4,143.3,64.2,69.759,56.3,-1.0,73.0,52.2,43.194817
70,-1.0,70.3,123.4,114.1,40.3,97.675,50.99,-1.0,-1.0,20.9,25.834532
71,-1.0,29.0,103.6,126.4,14.2,58.976,39.54,-1.0,-1.0,16.2,21.125954
72,-1.0,70.3,104.0,-1.0,50.8,-1.0,62.19,19.8,66.43,35.4,33.62951
73,-1.0,6.7,5.9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.7,21.968714
74,-1.0,69.6,-1.0,161.1,-1.0,145.97,-1.0,-1.0,-1.0,58.4,33.94065
75,28.0,32.84,-1.0,-1.0,47.34,29.88,48.27,35.89,60.99,36.9,43.963387
76,-1.0,47.5,62.7,-1.0,42.8,-1.0,40.99,56.8,45.78,28.2,32.451164
77,59.68,48.84,95.15,-1.0,36.63,36.26,45.2,44.2,-1.0,44.2,42.87971
78,-1.0,27.0,57.6,29.47,21.7,52.176,25.0,-1.0,24.3,17.8,21.541094
79,-1.0,15.0,41.5,70.8,5.3,43.258,20.6,-1.0,2.9,11.6,23.895393
80,-1.0,91.1,156.0,-1.0,40.2,-1.0,176.98,37.2,56.59,61.8,42.65347
81,-1.0,-1.0,-1.0,2.1,-1.0,-1.0,24.36,-1.0,14.47,16.4,23.025146
82,-1.0,21.5,52.2,-1.0,12.0,-1.0,46.23,19.3,12.85,34.6,15.943607
83,81.87,47.61,-1.0,30.91,66.55,49.54,75.02,101.26,88.2,113.55,100.91787
84,-1.0,29.2,34.9,-1.0,-1.0,-1.0,25.17,-1.0,23.29,18.3,22.859037
85,33.37,25.28,-1.0,-1.0,18.39,49.8,27.48,30.57,30.44,21.89,24.804285
86,-1.0,33.0,65.8,-1.0,-1.0,-1.0,-1.0,37.3,36.12,35.3,29.1918
87,-1.0,-1.0,-1.0,31.1,-1.0,43.752,18.34,-1.0,14.36,6.2,14.685715
88,11.2,-1.0,19.4,16.8,-1.0,15.909,17.06,-1.0,10.52,9.4,14.43547
89,-1.0,30.9,33.2,21.9,-1.0,36.586,-1.0,-1.0,-1.0,53.9,19.14034
90,-1.0,53.6,143.6,43.13,56.4,79.886,48.4,68.7,48.9,66.9,60.375675
91,14.3,-1.0,23.1,25.3,7.7,40.097,24.65,-1.0,12.36,3.0,12.385524
92,-1.0,17.9,8.1,-1.0,0.0,-1.0,11.18,-1.0,8.17,9.6,11.437813
93,-1.0,24.4,44.1,-1.0,-1.0,-1.0,-1.0,-1.0,30.22,20.1,23.919432
94,19.1,-1.0,55.1,47.01,19.4,60.365,-1.0,22.7,25.69,22.5,25.398745
95,-1.0,36.5,-1.0,-1.0,45.3,-1.0,-1.0,-1.0,34.35,31.1,34.673847
96,57.5,-1.0,94.2,54.3,29.7,68.648,37.2,34.9,26.54,37.7,35.42947
97,-1.0,21.2,50.9,31.68,19.7,115.09,32.9,32.8,21.2,24.9,23.683926
98,-1.0,98.4,41.8,-1.0,17.1,-1.0,-1.0,-1.0,25.42,25.1,30.96355
99,-1.0,19.4,28.6,-1.0,-1.0,-1.0,81.34,-1.0,11.0,9.9,13.261028
100,-1.0,110.0,-1.0,-1.0,82.9,-1.0,76.75,67.2,84.6,61.1,77.37557
101,-1.0,25.5,26.0,-1.0,15.2,-1.0,-1.0,16.1,31.02,14.7,13.460705
102,21.6,-1.0,83.9,-1.0,19.3,54.243,39.03,-1.0,29.46,15.1,27.949228
