,AGU,ATM,LPIN,MIR,OBL,SFE,TLA,VAL,CEN,LDO_med,LDO_pred
61,-1.0,28.5,141.1,96.4,-1.0,89.224,-1.0,-1.0,-1.0,48.1,64.67865
62,-1.0,57.4,198.8,-1.0,59.1,-1.0,203.56,41.8,85.4,124.1,91.023285
63,-1.0,-1.0,-1.0,-1.0,-1.0,167.87,-1.0,-1.0,-1.0,44.18,28.302069
64,-1.0,39.1,66.9,76.63,32.8,42.219,60.9,35.3,43.68,58.0,50.9972
65,41.55,40.68,-1.0,59.99,36.45,33.71,49.52,49.62,52.15,47.93,59.41938
66,-1.0,90.8,139.3,-1.0,65.6,223.71,69.0,-1.0,77.3,105.5,93.78631
67,-1.0,-1.0,158.52,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47.1,55.84095
68,-1.0,11.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41.3,22.31146
69,-1.0,53.9,33.2,21.9,-1.0,36.586,-1.0,-1.0,-1.0,30.9,23.795225
70,-1.0,51.1,-1.0,-1.0,34.6,-1.0,-1.0,-1.0,25.09,20.6,39.52248
71,-1.0,23.8,20.2,-1.0,-1.0,-1.0,-1.0,-1.0,26.44,27.6,33.052456
72,-1.0,19.8,53.2,-1.0,20.0,-1.0,-1.0,19.1,22.63,36.4,39.230404
73,-1.0,-1.0,53.62,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31.55,34.52396
74,-1.0,62.7,127.6,147.22,85.7,120.88,63.6,-1.0,65.6,93.2,70.508354
75,9.3,9.11,-1.0,-1.0,13.23,37.71,14.2,13.04,15.71,12.47,12.575591
76,-1.0,49.6,55.3,73.91,59.2,84.392,59.3,-1.0,51.2,43.2,45.57777
77,-1.0,27.6,66.6,-1.0,23.4,-1.0,23.13,19.0,42.16,43.8,41.198395
78,-1.0,29.8,42.5,-1.0,15.3,-1.0,-1.0,-1.0,25.23,26.4,38.66278
79,-1.0,-1.0,15.28,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.15,17.099043
80,-1.0,-1.0,26.5,33.11,29.2,26.928,49.0,49.9,35.7,16.9,41.449024
81,-1.0,21.3,18.9,-1.0,-1.0,-1.0,-1.0,-1.0,11.05,16.7,19.828035
82,-1.0,-1.0,115.52,23.5,-1.0,123.34,-1.0,-1.0,-1.0,56.08,57.005135
83,-1.0,16.9,40.8,63.25,40.5,61.754,58.0,113.8,60.22,66.3,28.486242
84,22.69,13.5,17.96,-1.0,14.55,-1.0,8.25,10.07,14.46,13.11,14.211209
85,-1.0,15.7,29.3,22.55,10.0,45.467,22.6,24.7,15.79,37.0,29.045237
86,-1.0,29.9,102.6,-1.0,35.2,-1.0,-1.0,31.7,30.7,65.9,55.355602
87,-1.0,-1.0,59.89,-1.0,-1.0,62.92,-1.0,-1.0,-1.0,17.02,38.21981
88,40.8,-1.0,47.1,45.76,30.3,92.92,41.5,28.8,25.75,24.7,43.850857
89,-1.0,21.8,79.8,144.31,82.9,89.715,117.5,-1.0,-1.0,73.4,68.983055
90,-1.0,52.8,93.8,104.9,-1.0,93.002,-1.0,-1.0,-1.0,72.5,78.66733
91,-1.0,21.4,29.9,-1.0,-1.0,-1.0,34.77,-1.0,-1.0,15.5,24.520685
92,97.6,88.9,104.6,114.35,53.9,198.14,61.8,79.5,70.08,65.5,62.52752
93,-1.0,42.1,36.2,62.64,47.3,74.273,52.8,-1.0,26.3,49.3,50.277584
94,47.9,18.9,116.0,58.36,30.5,47.783,30.3,20.8,21.39,35.7,34.28543
95,-1.0,18.6,30.3,-1.0,-1.0,-1.0,38.51,-1.0,27.55,39.8,33.530388
96,-1.0,11.3,72.4,26.0,12.6,63.877,31.4,23.8,19.23,32.3,23.792744
97,-1.0,-1.0,58.36,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,35.21,34.555172
98,-1.0,61.7,203.7,47.35,57.3,110.71,83.0,70.0,78.8,99.6,95.78328
99,-1.0,-1.0,126.5,34.18,36.1,170.29,81.7,58.7,37.3,157.5,108.704796
100,-1.0,40.9,42.8,-1.0,55.8,63.211,34.7,-1.0,37.9,55.0,38.486603
101,37.49,63.0,-1.0,78.35,58.54,28.22,42.07,63.66,42.54,44.92,49.95482
102,24.23,31.64,-1.0,40.07,37.86,154.21,25.23,18.29,41.25,35.24,42.902733
103,-1.0,48.8,-1.0,-1.0,46.0,-1.0,-1.0,-1.0,34.56,45.3,45.291492
104,-1.0,-1.0,40.2,-1.0,-1.0,-1.0,62.71,-1.0,30.04,33.5,43.50056
105,-1.0,32.7,37.1,-1.0,16.8,-1.0,39.94,-1.0,17.37,46.8,39.744892
106,-1.0,-1.0,24.4,35.85,18.1,44.619,14.2,34.0,21.5,29.9,24.328077
