,AGU,LDO,LPIN,MIR,OBL,SFE,TLA,VAL,CEN,ATM_med,ATM_pred
0,-1.0,42.7,20.7,-1.0,-1.0,-1.0,-1.0,-1.0,13.66,11.1,15.885674
1,-1.0,13.5,4.9,-1.0,-1.0,-1.0,16.12,-1.0,15.44,7.1,18.321123
2,10.79,28.85,-1.0,-1.0,37.98,84.36,14.92,21.41,21.1,28.56,33.164436
3,-1.0,20.2,5.7,-1.0,-1.0,-1.0,23.84,-1.0,14.7,8.3,16.748732
4,70.6,-1.0,209.2,-1.0,23.2,96.962,68.0,53.3,72.03,65.3,66.96166
5,-1.0,35.2,70.2,-1.0,32.8,-1.0,52.53,64.1,41.31,27.3,29.179674
6,-1.0,37.1,37.7,43.78,89.5,32.084,47.4,-1.0,47.0,31.9,50.858177
7,-1.0,33.3,-1.0,-1.0,32.5,-1.0,-1.0,-1.0,31.38,5.0,30.689533
8,-1.0,92.0,213.1,97.4,71.7,116.56,78.3,37.5,75.44,77.6,79.43721
9,-1.0,27.1,37.2,26.76,23.2,43.03,26.5,-1.0,31.1,26.2,24.351547
10,-1.0,58.1,69.4,165.0,36.1,71.958,57.1,-1.0,42.2,35.8,44.555107
11,-1.0,36.9,-1.0,77.7,-1.0,73.826,68.56,-1.0,-1.0,45.9,36.21578
12,-1.0,47.5,210.4,-1.0,69.0,-1.0,-1.0,68.8,40.34,36.4,55.038174
13,7.7,-1.0,36.5,16.4,-1.0,25.911,45.49,-1.0,18.75,22.5,31.13505
14,11.91,27.26,-1.0,22.6,14.99,102.87,27.8,24.9,24.78,20.41,27.620754
15,-1.0,37.1,97.8,46.07,41.5,93.344,42.6,-1.0,41.8,35.9,42.07122
16,9.2,-1.0,15.6,21.0,-1.0,22.466,22.46,-1.0,26.93,22.1,26.14017
17,39.2,-1.0,58.2,38.83,25.5,56.014,41.6,24.1,34.55,18.1,27.978613
18,-1.0,47.3,41.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.74,23.5,18.751553
19,-1.0,35.1,-1.0,-1.0,35.8,-1.0,-1.0,-1.0,37.72,40.1,31.939405
20,-1.0,20.4,57.9,17.92,19.0,46.01,22.1,-1.0,19.4,20.6,21.492525
21,-1.0,24.6,27.6,-1.0,-1.0,-1.0,25.99,-1.0,19.58,34.9,21.05522
22,-1.0,157.6,352.8,282.41,128.4,196.38,214.3,166.0,204.21,128.6,103.18645
23,46.14,-1.0,-1.0,49.91,8.95,164.71,36.52,21.08,34.02,23.12,29.070908
24,36.01,51.05,-1.0,126.71,35.05,61.26,32.75,38.3,47.55,40.78,49.341366
25,-1.0,34.2,51.1,-1.0,18.8,-1.0,-1.0,-1.0,24.81,33.0,22.870964
26,-1.0,32.0,86.9,-1.0,-1.0,-1.0,71.36,-1.0,33.91,26.1,36.40837
27,35.3,-1.0,38.1,57.1,19.9,-1.0,48.07,-1.0,33.61,27.4,30.726364
