,AGU,ATM,LDO,LPIN,MIR,OBL,TLA,VAL,CEN,SFE_med,SFE_pred
0,-1.0,-1.0,-1.0,16.9,21.99,15.5,6.1,26.6,8.9,22.747,34.74966
1,29.5,-1.0,-1.0,-1.0,38.5,16.4,47.31,-1.0,26.62,41.312,40.190376
2,-1.0,28.6,44.3,70.0,-1.0,31.2,43.2,38.9,36.6,55.288,79.54713
3,-1.0,35.4,51.9,77.5,-1.0,39.6,69.0,72.2,-1.0,103.48,70.28446
4,8.2,40.4,-1.0,-1.0,19.9,7.0,22.66,-1.0,10.42,14.662,23.926714
5,-1.0,55.5,55.3,47.9,94.11,41.8,70.2,-1.0,40.6,71.498,95.57903
6,-1.0,28.2,32.7,103.3,81.66,45.1,44.8,-1.0,39.2,89.477,91.528145
7,31.17,43.04,36.95,-1.0,43.44,52.31,64.79,32.54,100.32,60.09,58.880795
8,20.1,28.5,-1.0,-1.0,30.5,11.5,25.11,-1.0,14.14,27.428,37.516533
9,18.69,31.48,40.01,-1.0,130.69,36.98,30.54,20.98,28.65,53.96,54.7072
10,30.98,53.02,-1.0,-1.0,-1.0,28.65,48.35,41.67,44.79,82.81,55.393227
11,-1.0,-1.0,-1.0,34.0,40.1,24.8,23.7,5.9,16.2,49.773,48.685104
12,71.8,52.3,-1.0,132.3,97.87,53.3,-1.0,71.6,73.54,101.55,128.30295
13,41.7,16.8,-1.0,49.8,44.66,17.4,-1.0,28.2,32.48,62.914,72.436516
14,-1.0,32.7,-1.0,-1.0,29.5,-1.0,24.43,-1.0,18.34,82.026,33.490185
15,-1.0,26.0,-1.0,-1.0,22.2,-1.0,24.79,-1.0,7.74,21.031,23.58105
16,-1.0,-1.0,-1.0,106.8,-1.0,40.0,43.2,34.4,31.3,90.812,76.37228
17,-1.0,24.4,42.8,72.0,73.4,21.0,49.44,-1.0,-1.0,84.23,63.455116
18,-1.0,-1.0,49.71,38.1,-1.0,-1.0,-1.0,-1.0,-1.0,33.76,99.8021
19,37.5,48.3,-1.0,59.1,49.13,22.7,-1.0,38.1,46.29,68.312,77.66646
20,-1.0,90.8,61.3,179.9,152.2,71.2,70.3,124.2,93.6,211.97,183.01057
21,-1.0,21.74,-1.0,6.24,-1.0,22.28,9.08,22.06,14.81,17.65,49.878803
22,-1.0,42.0,52.8,54.2,86.06,119.8,34.0,-1.0,21.6,90.269,82.17822
23,-1.0,90.87,72.03,49.87,-1.0,-1.0,92.28,53.62,60.79,35.58,172.888
24,19.7,19.9,-1.0,62.2,31.28,26.0,-1.0,24.5,34.89,86.731,65.558624
25,-1.0,-1.0,42.35,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,26.58,164.35143
26,-1.0,-1.0,24.74,53.94,-1.0,-1.0,-1.0,-1.0,-1.0,59.68,76.7588
27,33.12,53.99,41.02,-1.0,-1.0,58.09,42.07,38.67,69.38,106.99,67.03521
28,24.43,34.94,21.38,-1.0,-1.0,31.89,24.4,22.95,29.97,68.28,51.36235
29,-1.0,23.2,20.6,-1.0,24.3,-1.0,-1.0,-1.0,16.99,44.442,39.88197
30,-1.0,-1.0,10.86,25.85,55.5,-1.0,-1.0,-1.0,-1.0,19.59,49.724586
31,8.16,21.26,13.62,-1.0,32.83,7.82,10.11,15.91,11.05,23.11,83.09402
32,12.52,27.31,42.85,-1.0,-1.0,35.21,20.13,22.12,26.18,35.64,57.611355
33,-1.0,-1.0,-1.0,35.5,28.68,27.4,33.9,41.7,31.5,93.222,49.076557
34,27.7,10.8,-1.0,34.0,23.46,20.9,30.4,15.7,22.73,44.03,53.458088
35,-1.0,42.7,47.1,58.2,45.31,42.1,-1.0,-1.0,42.4,53.165,77.031136
36,-1.0,11.8,31.3,17.9,15.08,14.2,13.4,76.7,15.4,54.46,62.26539
37,-1.0,25.7,23.5,103.0,51.9,24.4,34.2,-1.0,27.2,50.71,85.08231
38,47.02,-1.0,145.6,-1.0,218.37,116.03,71.35,94.9,72.01,44.56,130.64949
39,-1.0,26.7,58.3,-1.0,45.7,-1.0,12.07,-1.0,26.18,75.169,55.652775
40,-1.0,-1.0,-1.0,34.1,30.39,17.3,13.3,13.2,16.8,72.351,46.217335
41,-1.0,34.8,37.7,35.2,34.92,24.6,43.9,-1.0,53.2,51.383,58.467518
42,34.5,34.7,-1.0,30.0,47.99,30.0,-1.0,10.3,34.72,56.875,65.67605
43,-1.0,-1.0,-1.0,29.8,33.25,19.8,10.0,7.8,18.0,59.529,45.86623
44,-1.0,-1.0,2.6,29.18,10.71,-1.0,-1.0,-1.0,-1.0,313.93,43.431393
45,-1.0,-1.0,53.54,104.18,-1.0,-1.0,-1.0,-1.0,-1.0,19.12,73.963425
46,-1.0,-1.0,18.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,96.65,123.283066
47,-1.0,59.7,85.6,185.0,265.61,73.4,91.3,171.7,94.9,214.76,211.81287
48,-1.0,22.1,19.5,-1.0,33.5,-1.0,35.01,-1.0,19.06,42.856,39.70223
49,-1.0,-1.0,5.0,19.7,26.43,19.5,15.0,26.1,15.1,50.088,43.81884
50,19.5,18.9,36.2,138.3,126.11,46.1,60.1,32.2,71.0,85.546,107.94784
51,20.38,24.92,18.43,-1.0,-1.0,18.26,19.82,21.21,21.86,56.56,48.462635
52,-1.0,-1.0,-1.0,20.8,18.85,35.4,32.7,29.5,43.9,89.218,54.972324
53,-1.0,19.1,16.9,20.5,26.82,20.2,28.0,20.8,-1.0,42.796,39.2709
54,-1.0,101.1,83.0,300.2,99.85,71.7,-1.0,-1.0,36.3,135.88,180.97887
55,-1.0,-1.0,29.71,117.21,-1.0,-1.0,-1.0,-1.0,-1.0,212.26,85.06065
56,-1.0,64.4,44.1,222.7,226.48,52.9,82.7,-1.0,97.6,220.39,178.41551
57,-1.0,37.2,78.2,197.5,140.6,44.3,99.04,-1.0,-1.0,147.32,120.96651
58,17.2,-1.0,-1.0,-1.0,19.7,16.7,32.78,-1.0,19.2,24.98,32.43896
59,-1.0,26.9,49.8,44.3,28.6,24.2,47.5,-1.0,38.1,34.511,53.58673
60,21.8,23.7,-1.0,80.9,28.94,23.2,19.6,24.2,23.76,88.112,64.02568
61,-1.0,81.3,42.9,186.7,219.79,79.1,86.0,-1.0,79.3,267.57,185.74995
62,-1.0,12.2,-1.0,-1.0,96.1,-1.0,60.98,-1.0,52.36,88.698,70.08714
63,-1.0,-1.0,-1.0,44.8,39.19,23.6,35.4,46.0,24.3,43.75,62.48253
64,-1.0,-1.0,-1.0,21.4,16.54,26.8,22.1,31.3,23.2,35.456,35.25391
65,9.92,28.81,35.67,-1.0,-1.0,19.59,25.34,26.17,14.05,105.49,58.579716
66,120.6,69.7,-1.0,162.0,102.47,68.4,-1.0,119.7,77.0,101.14,156.81693
67,-1.0,44.7,60.9,81.2,114.49,61.7,60.7,-1.0,94.7,221.46,131.15079
68,-1.0,70.0,101.7,193.8,71.05,49.1,87.7,43.6,79.29,203.47,152.1462
69,-1.0,42.7,42.7,71.3,38.03,22.4,37.4,-1.0,42.5,67.222,78.083244
70,-1.0,39.2,52.3,191.6,75.04,25.9,46.4,-1.0,34.0,208.32,116.65987
71,70.6,65.3,-1.0,209.2,-1.0,23.2,68.0,53.3,72.03,96.962,122.630745
72,-1.0,-1.0,42.79,41.56,-1.0,-1.0,-1.0,-1.0,-1.0,101.79,79.77534
73,11.8,13.3,-1.0,10.4,24.0,6.9,15.28,-1.0,1.53,23.063,23.153383
74,-1.0,-1.0,31.45,46.51,-1.0,-1.0,-1.0,-1.0,-1.0,101.55,74.43007
75,53.0,58.22,-1.0,-1.0,-1.0,31.12,42.35,56.45,45.52,148.53,118.64455
76,-1.0,-1.0,-1.0,20.8,12.02,0.1,17.1,15.9,13.6,31.353,33.30496
77,-1.0,-1.0,-1.0,19.5,10.57,3.2,12.7,18.4,12.5,39.862,31.798737
78,33.6,37.3,-1.0,114.7,53.68,28.0,53.6,49.6,29.31,61.493,83.62758
79,-1.0,43.2,31.9,253.3,264.71,34.0,148.8,88.6,182.49,173.99,208.77829
80,25.4,65.6,-1.0,44.1,29.6,-1.0,31.7,-1.0,20.58,71.867,42.104805
81,-1.0,23.2,-1.0,53.4,51.0,31.3,47.7,38.2,38.05,67.199,74.64209
82,32.2,114.6,-1.0,41.6,57.7,28.4,121.17,-1.0,46.19,79.412,36.55716
83,-1.0,-1.0,-1.0,-1.0,7.1,-1.0,23.49,-1.0,5.85,19.324,15.213045
84,27.0,29.8,-1.0,-1.0,37.4,38.7,-1.0,-1.0,46.73,68.141,75.63697
85,27.68,103.72,-1.0,-1.0,36.13,96.88,83.05,56.26,96.59,100.29,78.30178
86,26.78,60.53,61.37,-1.0,23.63,62.2,90.53,60.4,119.15,50.96,78.05878
87,-1.0,-1.0,-1.0,8.7,10.26,4.9,18.3,15.8,8.3,22.158,22.866003
88,-1.0,29.2,35.6,210.2,230.99,60.0,60.2,-1.0,69.0,188.63,139.04515
89,17.97,33.34,35.22,69.45,-1.0,30.51,17.32,19.21,31.29,35.52,57.999233
90,56.3,17.8,29.3,41.0,53.81,30.3,28.5,-1.0,29.49,86.882,70.69642
91,-1.0,52.8,63.5,74.4,61.66,47.5,60.2,63.1,58.6,64.099,92.96334
92,22.55,-1.0,26.19,28.07,32.32,12.96,28.17,21.51,20.59,36.89,51.089134
93,-1.0,-1.0,72.4,109.1,75.31,34.7,64.9,37.0,47.7,66.239,96.024376
94,70.6,-1.0,-1.0,133.5,-1.0,65.7,76.9,93.9,-1.0,158.04,147.24622
95,-1.0,-1.0,16.9,26.5,33.11,29.2,49.0,49.9,35.7,26.928,53.4649
96,-1.0,-1.0,59.8,188.4,223.8,26.0,77.81,-1.0,-1.0,118.27,117.52702
97,-1.0,-1.0,-1.0,104.7,77.54,29.5,43.3,53.2,37.4,117.27,93.123825
98,16.05,18.5,19.05,-1.0,150.49,17.65,10.51,23.94,24.07,109.18,51.550663
99,35.0,26.8,-1.0,45.2,41.6,17.2,36.6,-1.0,27.0,36.505,48.18069
100,-1.0,-1.0,-1.0,13.1,11.01,11.2,18.8,12.9,7.1,24.452,22.995653
101,98.26,-1.0,-1.0,-1.0,75.21,94.61,112.28,85.73,76.44,15.1,154.69948
102,-1.0,24.1,47.4,44.7,-1.0,24.7,45.4,28.5,46.3,49.299,64.95452
