,AGU,ATM,LPIN,MIR,OBL,SFE,TLA,VAL,CEN,LDO_med,LDO_pred
0,-1.0,-1.0,27.09,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,26.62,24.81701
1,-1.0,20.1,51.4,-1.0,18.2,-1.0,-1.0,17.9,23.88,25.3,37.061283
2,-1.0,117.1,188.3,-1.0,118.9,247.14,93.2,-1.0,154.1,63.7,98.82357
3,-1.0,-1.0,9.26,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.68,11.932144
4,-1.0,24.2,58.6,53.01,70.7,91.925,26.9,-1.0,28.3,26.8,29.628046
5,-1.0,36.2,52.6,-1.0,26.8,-1.0,-1.0,28.5,28.94,35.4,49.357407
6,-1.0,78.1,-1.0,-1.0,65.2,-1.0,-1.0,95.1,56.24,62.1,61.04385
7,-1.0,21.7,169.3,-1.0,-1.0,-1.0,-1.0,2.4,31.96,46.2,45.86191
8,29.95,23.62,-1.0,-1.0,20.24,38.83,18.14,21.34,22.19,23.87,31.048985
9,-1.0,23.8,39.0,-1.0,-1.0,-1.0,0.03,-1.0,7.44,28.0,28.954456
10,-1.0,25.6,122.6,70.2,39.4,96.894,40.3,-1.0,29.0,32.4,33.32312
11,15.94,25.89,-1.0,-1.0,19.88,-1.0,31.03,21.5,29.92,41.98,39.365116
12,-1.0,10.3,16.5,-1.0,-1.0,-1.0,-1.0,6.1,8.17,16.7,9.730158
13,-1.0,14.1,24.8,-1.0,-1.0,-1.0,-1.0,3.2,10.56,25.9,20.059263
14,-1.0,10.9,104.5,73.1,-1.0,101.82,-1.0,-1.0,-1.0,128.1,90.75997
15,-1.0,-1.0,19.61,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,24.2,19.25911
16,-1.0,38.4,42.4,55.8,35.3,47.709,52.57,-1.0,-1.0,56.4,51.86583
17,-1.0,-1.0,20.67,80.84,-1.0,-1.0,-1.0,-1.0,-1.0,6.36,16.191977
18,66.67,136.43,-1.0,-1.0,47.97,78.55,53.02,59.28,51.37,68.48,40.37898
19,-1.0,8.5,4.4,-1.0,-1.0,-1.0,19.51,-1.0,5.97,27.5,14.203791
20,25.9,71.01,277.89,-1.0,58.37,-1.0,67.38,6.72,38.42,82.07,74.71933
21,-1.0,17.5,64.1,-1.0,13.9,-1.0,62.27,10.8,12.93,22.5,38.73541
22,-1.0,2.9,-1.0,7.9,-1.0,86.54,-1.0,-1.0,4.4,9.6,30.657253
23,-1.0,-1.0,26.51,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28.03,24.4209
24,-1.0,51.1,396.9,136.79,73.1,329.09,45.1,93.3,56.87,57.2,165.84659
25,-1.0,46.6,54.1,-1.0,52.5,-1.0,77.24,88.1,60.95,63.2,80.42038
26,-1.0,-1.0,-1.0,-1.0,9.3,-1.0,-1.0,-1.0,21.56,61.0,52.486744
27,-1.0,15.4,16.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.64,20.6,18.09777
28,-1.0,19.9,27.4,-1.0,-1.0,-1.0,12.3,-1.0,14.74,15.0,19.732185
29,38.15,29.22,37.98,-1.0,23.59,-1.0,24.23,24.67,30.46,25.38,23.745066
30,-1.0,-1.0,43.3,50.99,25.9,91.648,20.3,38.5,2.8,31.5,25.209743
31,-1.0,19.3,30.0,43.3,22.1,59.734,32.2,-1.0,26.9,29.1,40.58721
32,-1.0,-1.0,48.6,46.07,29.1,145.26,43.7,74.6,28.6,47.8,34.559498
33,-1.0,28.8,59.0,-1.0,-1.0,-1.0,36.8,-1.0,29.09,50.1,46.605915
34,18.36,29.79,-1.0,26.88,22.47,44.17,31.41,27.59,28.88,33.48,37.089645
35,-1.0,-1.0,29.12,66.03,-1.0,116.67,-1.0,-1.0,-1.0,29.96,50.68137
36,-1.0,39.8,67.2,-1.0,35.8,-1.0,-1.0,36.5,32.53,62.8,56.633724
37,-1.0,53.2,68.2,42.5,45.2,90.847,61.69,-1.0,-1.0,86.5,63.120815
38,-1.0,27.9,9.7,27.29,22.7,85.127,25.1,23.3,28.22,18.8,29.607641
39,17.3,27.1,45.2,19.61,19.6,46.309,40.1,30.7,28.09,39.0,39.455696
40,-1.0,-1.0,127.1,-1.0,-1.0,-1.0,20.65,-1.0,41.73,36.2,56.790775
41,21.27,26.81,-1.0,143.19,24.3,67.82,20.1,21.8,25.95,30.76,33.78936
42,-1.0,5.3,9.2,-1.0,-1.0,-1.0,5.66,-1.0,7.93,8.5,10.694761
43,-1.0,28.7,103.2,42.11,24.4,65.656,42.6,-1.0,39.79,54.5,43.026875
44,-1.0,6.2,38.8,-1.0,-1.0,-1.0,15.9,-1.0,8.03,45.0,22.746334
45,-1.0,7.2,20.4,-1.0,-1.0,-1.0,27.15,-1.0,14.89,22.6,25.5382
46,-1.0,24.5,-1.0,-1.0,41.3,-1.0,-1.0,-1.0,39.09,34.7,42.49675
47,-1.0,27.5,42.1,-1.0,-1.0,-1.0,36.88,-1.0,-1.0,48.8,40.213383
48,-1.0,-1.0,38.5,26.8,23.8,61.772,39.0,21.8,31.3,16.4,39.44183
49,-1.0,-1.0,174.47,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,46.41,66.09885
50,-1.0,24.5,63.6,44.2,21.6,54.867,38.0,-1.0,23.2,39.5,40.97324
51,-1.0,37.3,39.7,64.6,50.4,55.791,20.28,-1.0,-1.0,42.7,40.04045
52,-1.0,35.3,48.2,85.26,38.6,80.999,46.3,-1.0,44.2,42.4,40.532795
53,-1.0,11.2,12.7,-1.0,-1.0,-1.0,17.67,-1.0,14.84,7.5,18.929731
54,-1.0,14.9,20.8,-1.0,-1.0,-1.0,13.64,-1.0,14.53,14.8,17.069334
55,-1.0,2.9,7.7,-1.0,-1.0,-1.0,-1.0,-1.0,4.14,1.4,10.663927
56,-1.0,31.9,70.0,27.55,27.4,119.58,29.2,-1.0,25.7,36.1,37.52312
57,-1.0,42.2,75.7,-1.0,-1.0,-1.0,-1.0,36.1,43.87,51.5,49.04369
58,24.88,20.86,-1.0,-1.0,12.39,51.25,22.19,15.91,19.2,17.45,29.523685
59,60.5,73.73,-1.0,-1.0,73.27,84.94,54.33,48.78,63.48,53.23,55.158474
60,-1.0,23.3,26.4,31.31,14.8,-1.0,23.4,-1.0,22.8,20.9,27.234575
61,-1.0,28.5,141.1,96.4,-1.0,89.224,-1.0,-1.0,-1.0,48.1,79.04484
62,-1.0,57.4,198.8,-1.0,59.1,-1.0,203.56,41.8,85.4,124.1,84.61628
63,-1.0,-1.0,-1.0,-1.0,-1.0,167.87,-1.0,-1.0,-1.0,44.18,25.623304
64,-1.0,39.1,66.9,76.63,32.8,42.219,60.9,35.3,43.68,58.0,59.60114
65,41.55,40.68,-1.0,59.99,36.45,33.71,49.52,49.62,52.15,47.93,52.47064
66,-1.0,90.8,139.3,-1.0,65.6,223.71,69.0,-1.0,77.3,105.5,77.47364
67,-1.0,-1.0,158.52,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47.1,63.03995
68,-1.0,11.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41.3,22.683258
69,-1.0,53.9,33.2,21.9,-1.0,36.586,-1.0,-1.0,-1.0,30.9,28.594215
70,-1.0,51.1,-1.0,-1.0,34.6,-1.0,-1.0,-1.0,25.09,20.6,42.496994
71,-1.0,23.8,20.2,-1.0,-1.0,-1.0,-1.0,-1.0,26.44,27.6,30.411581
72,-1.0,19.8,53.2,-1.0,20.0,-1.0,-1.0,19.1,22.63,36.4,39.218063
73,-1.0,-1.0,53.62,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31.55,36.48511
74,-1.0,62.7,127.6,147.22,85.7,120.88,63.6,-1.0,65.6,93.2,72.04755
75,9.3,9.11,-1.0,-1.0,13.23,37.71,14.2,13.04,15.71,12.47,16.442709
76,-1.0,49.6,55.3,73.91,59.2,84.392,59.3,-1.0,51.2,43.2,55.088306
77,-1.0,27.6,66.6,-1.0,23.4,-1.0,23.13,19.0,42.16,43.8,40.68336
78,-1.0,29.8,42.5,-1.0,15.3,-1.0,-1.0,-1.0,25.23,26.4,39.396206
79,-1.0,-1.0,15.28,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.15,18.133501
80,-1.0,-1.0,26.5,33.11,29.2,26.928,49.0,49.9,35.7,16.9,20.117083
81,-1.0,21.3,18.9,-1.0,-1.0,-1.0,-1.0,-1.0,11.05,16.7,20.483501
82,-1.0,-1.0,115.52,23.5,-1.0,123.34,-1.0,-1.0,-1.0,56.08,61.21179
83,-1.0,16.9,40.8,63.25,40.5,61.754,58.0,113.8,60.22,66.3,43.43863
84,22.69,13.5,17.96,-1.0,14.55,-1.0,8.25,10.07,14.46,13.11,12.829596
85,-1.0,15.7,29.3,22.55,10.0,45.467,22.6,24.7,15.79,37.0,20.817276
86,-1.0,29.9,102.6,-1.0,35.2,-1.0,-1.0,31.7,30.7,65.9,62.25498
87,-1.0,-1.0,59.89,-1.0,-1.0,62.92,-1.0,-1.0,-1.0,17.02,43.441357
88,40.8,-1.0,47.1,45.76,30.3,92.92,41.5,28.8,25.75,24.7,36.442398
89,-1.0,21.8,79.8,144.31,82.9,89.715,117.5,-1.0,-1.0,73.4,86.18012
90,-1.0,52.8,93.8,104.9,-1.0,93.002,-1.0,-1.0,-1.0,72.5,84.56298
91,-1.0,21.4,29.9,-1.0,-1.0,-1.0,34.77,-1.0,-1.0,15.5,40.337727
92,97.6,88.9,104.6,114.35,53.9,198.14,61.8,79.5,70.08,65.5,64.70028
93,-1.0,42.1,36.2,62.64,47.3,74.273,52.8,-1.0,26.3,49.3,43.786602
94,47.9,18.9,116.0,58.36,30.5,47.783,30.3,20.8,21.39,35.7,40.765785
95,-1.0,18.6,30.3,-1.0,-1.0,-1.0,38.51,-1.0,27.55,39.8,34.929962
96,-1.0,11.3,72.4,26.0,12.6,63.877,31.4,23.8,19.23,32.3,40.302124
97,-1.0,-1.0,58.36,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,35.21,38.158504
98,-1.0,61.7,203.7,47.35,57.3,110.71,83.0,70.0,78.8,99.6,90.35615
99,-1.0,-1.0,126.5,34.18,36.1,170.29,81.7,58.7,37.3,157.5,152.22363
100,-1.0,40.9,42.8,-1.0,55.8,63.211,34.7,-1.0,37.9,55.0,43.536446
101,37.49,63.0,-1.0,78.35,58.54,28.22,42.07,63.66,42.54,44.92,46.362637
102,24.23,31.64,-1.0,40.07,37.86,154.21,25.23,18.29,41.25,35.24,47.562885
103,-1.0,48.8,-1.0,-1.0,46.0,-1.0,-1.0,-1.0,34.56,45.3,45.827732
104,-1.0,-1.0,40.2,-1.0,-1.0,-1.0,62.71,-1.0,30.04,33.5,51.862827
105,-1.0,32.7,37.1,-1.0,16.8,-1.0,39.94,-1.0,17.37,46.8,37.355495
106,-1.0,-1.0,24.4,35.85,18.1,44.619,14.2,34.0,21.5,29.9,22.020638
107,-1.0,49.1,-1.0,269.6,-1.0,78.297,153.45,-1.0,-1.0,92.5,72.184425
108,-1.0,-1.0,3.87,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.02,8.212069
109,-1.0,117.4,143.2,220.01,91.8,221.95,132.4,-1.0,85.6,102.3,136.53595
110,-1.0,6.3,30.8,-1.0,16.0,-1.0,18.33,-1.0,16.71,19.7,15.750196
111,-1.0,21.7,44.9,25.42,18.9,50.015,22.8,-1.0,22.0,24.0,30.833382
112,-1.0,36.1,67.4,44.65,33.7,68.655,47.5,-1.0,34.5,37.0,49.55202
113,-1.0,59.6,148.8,-1.0,49.7,-1.0,47.43,28.7,37.34,92.6,73.34875
114,-1.0,-1.0,32.49,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.17,28.366531
115,-1.0,-1.0,48.6,59.71,33.8,157.7,21.0,65.7,35.0,35.1,35.951836
116,22.01,-1.0,-1.0,67.7,23.94,37.54,31.46,22.68,19.82,41.48,30.72334
117,-1.0,37.0,93.6,51.23,48.7,59.691,46.2,-1.0,40.8,46.5,49.490192
118,-1.0,-1.0,54.8,-1.0,-1.0,-1.0,49.88,-1.0,27.81,47.6,54.12106
119,-1.0,27.4,63.5,-1.0,29.7,-1.0,-1.0,32.0,30.29,46.1,50.583485
120,68.18,38.73,-1.0,60.07,43.47,49.49,37.87,43.95,41.99,78.88,55.63546
121,-1.0,33.9,74.2,-1.0,30.6,-1.0,25.81,18.8,18.07,52.5,42.23617
122,-1.0,38.2,53.3,-1.0,44.2,-1.0,-1.0,29.0,30.43,52.1,53.337643
123,-1.0,40.8,53.7,68.87,30.1,78.972,30.4,-1.0,36.3,33.8,34.552547
124,-1.0,67.3,91.1,70.81,47.7,107.68,89.1,-1.0,84.2,60.6,72.35381
125,-1.0,-1.0,28.05,-1.0,-1.0,158.91,-1.0,-1.0,-1.0,24.2,34.14043
126,-1.0,-1.0,34.11,23.09,-1.0,43.83,-1.0,-1.0,-1.0,39.02,30.401207
127,-1.0,19.49,17.25,-1.0,16.94,92.19,13.4,12.32,11.01,14.89,17.16333
128,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.21,12.0,14.0487175
129,45.89,64.21,-1.0,71.73,52.63,111.5,63.78,28.42,43.84,90.35,54.750423
130,-1.0,1.8,22.8,-1.0,-1.0,-1.0,29.94,-1.0,17.65,36.5,33.72803
131,-1.0,-1.0,16.16,-1.0,-1.0,49.27,-1.0,-1.0,-1.0,42.85,13.344122
132,-1.0,20.0,33.7,37.17,17.9,57.881,22.8,-1.0,39.8,24.6,20.541233
133,-1.0,22.8,10.7,-1.0,-1.0,-1.0,-1.0,-1.0,15.62,35.7,34.8296
134,-1.0,-1.0,58.95,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,27.11,38.433132
135,57.3,76.3,-1.0,142.42,54.4,193.07,68.0,43.0,90.13,72.2,57.057396
136,-1.0,23.0,46.4,-1.0,19.2,-1.0,-1.0,20.6,24.6,41.6,42.082035
137,-1.0,-1.0,91.59,-1.0,-1.0,37.47,-1.0,-1.0,-1.0,53.26,53.007618
138,-1.0,40.9,105.5,-1.0,63.3,108.65,53.2,46.8,49.7,77.1,58.57439
139,-1.0,61.3,50.0,56.2,67.3,82.684,66.4,53.1,113.35,64.6,62.230255
140,-1.0,30.4,44.9,-1.0,23.4,-1.0,32.9,28.3,40.87,43.9,47.254932
141,29.27,42.72,-1.0,-1.0,36.69,117.37,42.73,28.95,33.68,40.77,59.039528
142,51.39,75.89,-1.0,-1.0,74.75,20.48,87.19,-1.0,73.54,62.08,77.69279
143,-1.0,10.4,16.0,-1.0,-1.0,-1.0,-1.0,9.5,6.75,24.7,13.237707
144,-1.0,32.7,52.6,48.05,42.7,73.684,25.9,-1.0,27.0,33.4,38.839943
145,-1.0,-1.0,35.29,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,24.26,29.241032
146,104.4,65.2,147.2,137.38,-1.0,-1.0,89.0,89.5,103.51,153.1,90.630714
147,-1.0,29.9,64.1,37.31,46.3,75.983,34.7,-1.0,38.1,28.7,43.833065
148,-1.0,-1.0,70.42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,83.62,42.758915
149,-1.0,-1.0,44.14,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,26.52,33.132942
150,-1.0,48.9,73.1,62.64,32.6,151.54,45.8,-1.0,41.3,53.4,40.33604
151,-1.0,20.4,30.9,-1.0,21.6,-1.0,-1.0,31.6,23.99,21.2,34.109776
152,-1.0,50.9,165.4,186.4,43.7,159.96,69.51,-1.0,-1.0,85.3,59.833828
153,-1.0,66.4,54.0,-1.0,-1.0,-1.0,-1.0,-1.0,48.86,56.5,51.993935
154,-1.0,18.9,72.1,-1.0,17.7,-1.0,1.78,24.0,13.41,47.9,28.335182
155,-1.0,38.8,39.9,29.43,31.2,56.998,54.2,-1.0,53.4,49.6,36.97817
156,27.68,-1.0,18.01,-1.0,37.25,27.31,34.42,31.66,14.12,47.93,38.838196
157,-1.0,-1.0,24.8,33.97,20.3,64.037,19.1,20.9,14.9,1.3,23.996372
158,-1.0,29.2,34.6,-1.0,-1.0,-1.0,-1.0,-1.0,12.02,106.6,30.256205
159,-1.0,-1.0,60.3,73.31,29.7,82.405,43.2,84.5,41.1,22.0,43.708664
160,17.08,-1.0,24.05,-1.0,15.34,51.94,12.65,11.95,19.38,3.46,13.377092
161,-1.0,26.9,61.2,-1.0,29.7,69.541,39.2,-1.0,25.2,37.6,42.43929
162,-1.0,17.6,12.8,-1.0,-1.0,-1.0,22.86,-1.0,5.49,19.4,20.602785
163,-1.0,87.5,450.7,151.24,52.0,247.07,109.7,120.2,132.5,143.8,76.02916
164,48.52,-1.0,-1.0,-1.0,58.54,81.97,54.4,62.38,69.49,43.95,53.10577
165,7.31,13.18,15.93,-1.0,13.23,-1.0,9.75,10.04,10.09,15.15,10.3442
166,-1.0,28.3,21.6,-1.0,-1.0,-1.0,-1.0,-1.0,15.05,22.0,30.878157
167,-1.0,30.7,52.9,38.48,29.8,64.693,40.6,-1.0,27.6,38.0,39.35572
168,-1.0,47.0,32.2,65.56,40.8,133.9,49.4,-1.0,63.5,40.2,51.691982
169,71.1,79.6,153.5,91.43,44.1,110.74,86.1,47.5,54.23,88.0,93.88946
170,-1.0,-1.0,11.54,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.28,16.156643
171,-1.0,-1.0,32.01,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31.3,28.199703
172,-1.0,34.1,43.1,-1.0,31.3,-1.0,25.91,28.2,28.84,51.8,36.193203
173,-1.0,70.8,-1.0,-1.0,72.7,-1.0,112.33,77.7,81.61,185.4,113.465706
174,-1.0,33.1,65.4,-1.0,22.0,-1.0,-1.0,24.8,40.81,30.2,52.281322
175,-1.0,-1.0,63.6,62.73,38.3,93.144,39.2,62.8,37.1,17.1,73.318184
176,-1.0,-1.0,85.3,159.58,24.7,119.9,42.0,68.2,45.7,24.5,52.06176
177,21.77,34.11,-1.0,-1.0,45.62,54.9,25.98,28.96,39.63,33.22,34.31499
178,-1.0,65.0,112.4,-1.0,57.6,-1.0,81.16,62.5,62.75,118.8,87.66575
179,-1.0,7.6,68.5,-1.0,13.5,-1.0,38.95,10.6,13.83,21.5,33.44204
180,-1.0,-1.0,121.7,85.1,43.6,106.13,33.54,-1.0,-1.0,80.4,50.107044
181,-1.0,-1.0,26.4,37.76,34.6,77.618,19.3,57.3,30.6,30.3,32.77749
182,-1.0,-1.0,51.2,-1.0,-1.0,-1.0,85.98,-1.0,13.27,10.4,44.097527
183,-1.0,29.8,-1.0,89.2,-1.0,90.546,-1.0,-1.0,44.95,45.4,48.555283
184,-1.0,-1.0,97.62,-1.0,-1.0,122.51,-1.0,-1.0,-1.0,53.27,56.821846
185,-1.0,53.8,52.0,-1.0,72.7,58.177,47.3,58.6,61.9,73.2,42.48475
186,-1.0,40.4,150.2,195.66,55.3,122.37,65.6,64.0,69.24,62.4,54.197746
187,-1.0,-1.0,189.7,158.3,54.6,176.04,122.56,-1.0,-1.0,104.7,106.3086
188,-1.0,45.2,155.4,147.63,56.6,133.2,63.4,72.1,86.91,76.5,53.440887
189,-1.0,18.2,-1.0,60.2,-1.0,30.041,108.26,-1.0,-1.0,42.8,38.834976
190,92.79,43.19,52.47,-1.0,-1.0,-1.0,69.33,52.0,-1.0,49.84,25.828512
191,-1.0,42.6,-1.0,93.4,-1.0,78.747,-1.0,-1.0,-1.0,49.8,54.690807
192,-1.0,-1.0,44.08,-1.0,-1.0,15.76,-1.0,-1.0,-1.0,55.48,35.968906
193,-1.0,-1.0,57.14,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,42.17,37.59373
194,55.39,74.38,-1.0,41.28,45.08,21.29,72.96,52.14,60.36,37.45,60.17177
195,-1.0,17.3,-1.0,79.9,-1.0,77.841,64.51,-1.0,29.62,69.3,55.203613
196,-1.0,17.7,38.6,43.08,28.3,48.041,31.4,-1.0,25.3,29.8,33.230774
197,-1.0,11.5,41.7,-1.0,-1.0,-1.0,38.91,-1.0,20.75,31.8,41.272568
198,28.32,39.58,-1.0,-1.0,28.9,59.52,18.27,19.25,19.63,37.13,29.451134
199,-1.0,0.9,35.1,-1.0,-1.0,-1.0,23.71,-1.0,18.61,21.7,30.75298
200,-1.0,-1.0,58.25,101.52,-1.0,144.51,-1.0,-1.0,-1.0,35.99,58.395443
201,-1.0,-1.0,32.37,14.42,-1.0,32.37,-1.0,-1.0,-1.0,27.14,28.739206
202,11.38,28.61,-1.0,-1.0,32.59,32.84,48.57,13.08,37.1,21.13,47.23002
203,-1.0,18.1,57.1,-1.0,-1.0,-1.0,44.1,-1.0,-1.0,33.1,41.890553
204,-1.0,94.7,229.6,-1.0,-1.0,-1.0,112.8,86.8,115.91,114.4,101.680534
205,-1.0,29.6,28.2,-1.0,-1.0,-1.0,9.49,-1.0,12.85,30.2,18.230732
206,-1.0,19.8,-1.0,-1.0,19.2,-1.0,-1.0,17.0,24.87,27.5,44.405804
207,-1.0,22.4,5.8,-1.0,-1.0,-1.0,-1.0,-1.0,15.74,16.6,30.786062
208,-1.0,-1.0,35.42,-1.0,-1.0,48.86,-1.0,-1.0,-1.0,19.07,32.599228
209,-1.0,35.1,46.5,-1.0,-1.0,-1.0,93.27,41.8,32.3,43.7,34.040447
210,-1.0,-1.0,163.7,45.44,-1.0,-1.0,-1.0,-1.0,-1.0,105.06,53.78083
211,-1.0,38.6,47.2,-1.0,37.3,-1.0,-1.0,-1.0,35.65,45.7,43.94737
212,-1.0,44.9,85.9,35.2,-1.0,43.559,-1.0,-1.0,-1.0,101.9,71.758316
213,-1.0,36.0,75.9,69.33,63.8,66.866,78.6,-1.0,79.5,62.1,72.53454
214,-1.0,12.5,11.8,-1.0,-1.0,-1.0,17.61,-1.0,11.91,15.9,15.688635
215,-1.0,19.4,38.8,-1.0,19.0,-1.0,68.94,15.9,19.78,35.2,40.743946
216,-1.0,-1.0,25.89,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,25.51,23.751568
217,-1.0,-1.0,108.96,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45.34,53.66597
218,28.3,29.13,-1.0,-1.0,27.72,85.32,26.5,37.69,30.47,30.78,34.51891
