,AGU,ATM,LDO,LPIN,MIR,OBL,SFE,VAL,CEN,TLA_med,TLA_pred
0,11.3,-1.0,-1.0,43.3,16.29,9.9,39.678,16.2,19.63,27.3,22.683624
1,7.8,34.99,23.81,53.07,50.37,30.93,-1.0,15.92,25.88,27.0,28.299747
2,-1.0,-1.0,-1.0,8.0,5.91,14.4,22.16,12.6,20.1,31.4,17.569647
3,-1.0,13.1,94.8,50.7,-1.0,50.9,-1.0,36.6,20.43,19.35,48.85657
4,-1.0,-1.0,-1.0,45.2,34.75,29.4,42.595,56.0,41.6,39.4,39.884464
5,-1.0,-1.0,-1.0,-1.0,22.0,-1.0,19.539,-1.0,6.93,10.11,16.211529
6,-1.0,29.9,63.0,102.2,56.61,34.8,74.284,-1.0,25.0,41.9,41.65487
7,-1.0,15.4,19.4,41.8,-1.0,-1.0,-1.0,-1.0,16.62,32.39,22.411238
8,-1.0,43.3,50.4,54.0,-1.0,-1.0,-1.0,-1.0,39.44,43.44,47.511158
9,13.08,39.42,37.07,40.43,-1.0,-1.0,-1.0,15.95,25.18,22.47,39.285908
10,-1.0,33.6,-1.0,119.3,-1.0,48.8,-1.0,48.6,53.72,63.48,58.34167
11,17.24,46.37,33.26,-1.0,82.1,44.32,17.55,14.55,36.19,28.2,33.739185
12,18.9,14.7,-1.0,-1.0,15.1,6.7,24.694,-1.0,13.58,39.76,20.626913
13,-1.0,17.0,2.6,4.8,-1.0,-1.0,-1.0,-1.0,-1.0,19.02,55.77785
14,-1.0,27.7,21.8,27.7,-1.0,-1.0,-1.0,-1.0,24.26,26.16,31.986044
15,-1.0,-1.0,33.5,31.7,41.5,-1.0,-1.0,-1.0,-1.0,46.12,22.205492
16,-1.0,-1.0,-1.0,14.4,34.27,19.5,29.54,21.0,15.7,21.5,19.210958
17,-1.0,59.5,-1.0,135.1,80.98,71.3,94.961,-1.0,101.1,65.7,68.6487
18,30.3,41.0,-1.0,51.5,52.0,19.4,63.236,-1.0,29.2,69.47,40.364803
19,14.82,20.7,35.22,-1.0,-1.0,28.15,31.25,18.76,28.66,26.71,29.894077
20,39.9,114.2,-1.0,26.1,44.6,-1.0,34.698,-1.0,22.82,9.31,38.81145
21,-1.0,42.8,90.3,-1.0,135.6,-1.0,82.944,-1.0,50.48,78.45,65.79721
22,49.5,-1.0,-1.0,-1.0,59.6,13.0,45.981,-1.0,17.84,32.55,32.944588
23,-1.0,41.7,55.5,36.1,-1.0,13.9,-1.0,13.2,-1.0,38.12,35.095356
24,-1.0,-1.0,40.1,57.6,47.5,29.1,108.8,-1.0,-1.0,30.77,45.985558
25,-1.0,44.4,51.1,155.6,-1.0,55.3,-1.0,30.8,55.06,69.28,62.210255
26,-1.0,69.5,59.6,162.8,59.14,34.4,107.27,89.4,43.9,45.0,59.17949
27,-1.0,-1.0,32.3,43.5,26.42,33.6,49.169,33.0,29.2,27.8,30.081867
28,-1.0,39.1,56.8,64.1,97.83,25.7,81.414,-1.0,23.1,39.5,43.994328
29,-1.0,59.9,72.2,56.1,-1.0,-1.0,-1.0,-1.0,-1.0,5.95,58.77818
30,-1.0,56.1,59.2,67.9,-1.0,52.5,-1.0,38.3,46.12,40.46,43.471367
31,-1.0,-1.0,18.0,14.5,18.47,26.2,40.92,12.1,-1.0,19.9,11.299975
32,45.52,-1.0,77.99,-1.0,32.64,52.85,108.03,36.94,64.93,62.89,66.524086
33,9.8,-1.0,-1.0,38.5,-1.0,10.6,45.397,17.9,13.1,17.5,19.814478
34,-1.0,69.9,54.5,82.3,-1.0,70.4,68.53,79.0,72.5,72.7,63.245358
35,-1.0,26.6,25.6,38.5,72.74,34.5,63.687,-1.0,26.2,34.6,34.590992
36,-1.0,-1.0,13.7,6.8,30.53,20.3,31.722,29.0,29.9,17.3,23.15214
37,-1.0,21.3,21.0,52.3,-1.0,-1.0,-1.0,-1.0,16.91,26.6,27.89644
38,-1.0,40.5,53.3,53.8,66.11,44.8,76.533,-1.0,47.1,52.1,50.222515
39,-1.0,20.7,10.0,44.6,-1.0,27.1,-1.0,53.5,25.19,10.46,32.998463
40,37.5,-1.0,-1.0,41.7,25.04,24.9,41.759,23.9,26.57,36.2,28.676107
41,52.33,80.24,71.17,-1.0,-1.0,50.99,66.45,137.93,60.98,53.26,48.810116
42,-1.0,76.0,87.9,107.6,65.96,82.4,95.377,-1.0,64.5,96.0,68.904465
43,71.36,-1.0,104.55,-1.0,-1.0,85.78,139.91,87.53,99.69,106.44,82.623695
44,11.44,25.46,24.22,-1.0,85.75,15.92,38.91,14.47,13.7,14.46,18.417772
45,-1.0,3.6,41.7,26.2,-1.0,-1.0,-1.0,-1.0,23.08,29.11,31.9797
46,48.94,75.13,128.95,-1.0,79.74,72.11,30.48,73.45,72.17,67.97,81.970505
47,-1.0,38.6,45.4,107.5,136.5,47.9,117.61,-1.0,45.8,72.0,56.43778
48,30.15,36.42,28.55,-1.0,133.71,28.04,20.95,28.75,36.5,22.35,33.263683
49,71.1,79.6,88.0,153.5,91.43,44.1,110.74,47.5,54.23,86.1,63.65958
50,-1.0,15.7,20.9,20.5,-1.0,-1.0,-1.0,-1.0,14.15,17.39,24.119257
51,-1.0,59.7,81.5,182.2,100.36,51.7,110.87,-1.0,46.8,64.5,66.38616
52,-1.0,90.9,65.8,-1.0,-1.0,102.3,328.07,-1.0,91.6,93.2,75.96347
53,-1.0,50.3,55.3,61.3,72.23,46.1,125.86,71.9,59.2,60.7,51.22469
54,-1.0,10.2,27.0,17.1,42.73,22.0,49.934,25.5,-1.0,28.3,29.173494
55,23.2,19.1,-1.0,62.6,32.35,35.2,-1.0,18.0,28.47,27.7,30.707365
56,36.1,24.3,-1.0,47.3,67.66,24.3,57.936,33.5,56.51,42.8,46.45451
57,37.0,-1.0,-1.0,47.9,44.8,45.9,62.487,49.0,55.13,41.0,50.348663
58,-1.0,64.1,32.6,164.2,197.2,31.9,193.09,70.3,36.1,55.1,40.33148
59,19.94,30.18,25.19,-1.0,-1.0,28.55,58.6,22.53,26.08,13.89,24.928917
60,-1.0,10.8,35.0,68.3,76.74,28.7,50.141,-1.0,35.4,17.0,37.105038
61,-1.0,65.9,49.7,241.2,159.88,46.4,222.48,93.7,89.7,68.3,66.91599
62,-1.0,44.4,47.6,94.8,63.18,30.3,130.42,-1.0,54.4,46.9,54.165485
63,-1.0,80.4,105.4,194.3,84.16,66.4,212.32,73.8,67.79,73.2,81.969864
64,17.24,26.06,48.36,-1.0,-1.0,39.32,149.6,27.9,36.66,33.38,32.665546
65,-1.0,29.1,30.6,24.8,-1.0,-1.0,-1.0,-1.0,18.64,39.62,28.414484
66,6.0,-1.0,-1.0,18.2,-1.0,4.7,37.383,2.0,17.3,17.0,15.437003
67,7.7,18.6,-1.0,-1.0,21.8,11.6,18.883,-1.0,13.89,23.43,29.754644
68,-1.0,17.5,25.9,27.5,-1.0,-1.0,-1.0,-1.0,45.56,38.33,37.364666
69,-1.0,23.9,23.6,6.2,-1.0,-1.0,-1.0,-1.0,13.16,30.76,21.752804
70,-1.0,73.7,77.5,54.0,92.53,56.2,65.59,78.3,63.84,55.0,67.88948
71,-1.0,19.3,24.4,42.7,-1.0,15.8,-1.0,12.4,15.97,25.36,44.619427
72,-1.0,47.4,69.1,177.3,154.1,28.6,132.85,-1.0,-1.0,52.71,76.46257
73,37.04,41.86,33.22,-1.0,-1.0,34.88,103.32,46.02,41.97,48.42,30.697731
74,-1.0,26.7,-1.0,-1.0,40.8,-1.0,48.675,-1.0,17.43,21.75,32.251698
75,-1.0,28.1,54.8,-1.0,-1.0,36.4,-1.0,31.4,55.82,73.73,68.576256
76,-1.0,13.0,26.6,137.3,104.0,28.2,51.839,-1.0,-1.0,34.57,42.973278
77,15.3,32.6,-1.0,40.6,58.7,18.8,47.132,-1.0,28.43,2.81,47.93871
78,-1.0,26.3,42.9,108.2,51.45,34.5,141.8,-1.0,29.7,32.0,41.554764
79,-1.0,12.0,-1.0,-1.0,66.4,-1.0,33.288,-1.0,25.45,43.21,38.506435
80,-1.0,8.47,17.03,39.46,-1.0,11.19,-1.0,10.4,9.58,7.03,18.129745
81,-1.0,38.0,27.3,23.1,-1.0,57.6,-1.0,31.5,30.9,16.66,46.428974
82,21.5,35.3,-1.0,45.5,-1.0,8.9,64.909,35.6,15.73,23.02,27.374945
83,94.6,82.3,151.0,353.9,100.95,68.8,199.78,-1.0,79.43,94.0,107.83672
84,-1.0,-1.0,51.4,109.4,52.39,37.8,112.94,57.9,32.8,48.3,40.899796
85,-1.0,12.4,22.8,33.5,-1.0,-1.0,-1.0,-1.0,4.12,16.04,23.584057
86,-1.0,20.02,41.66,34.0,-1.0,5.32,110.71,24.18,14.4,28.37,23.955816
87,52.31,100.75,107.51,-1.0,42.18,113.61,168.74,103.42,126.5,120.06,107.16029
88,14.79,26.86,18.9,-1.0,-1.0,23.5,25.79,21.69,21.83,17.08,20.234297
89,-1.0,-1.0,38.49,31.77,-1.0,35.69,165.84,54.23,24.18,39.11,25.50968
90,67.5,-1.0,-1.0,164.3,120.34,48.8,99.492,42.1,59.93,72.7,66.48513
91,31.0,9.4,33.2,30.2,37.36,16.3,69.245,25.7,21.43,21.4,25.696867
92,-1.0,56.4,47.6,250.5,314.19,37.7,213.26,141.8,79.8,65.4,87.81427
93,12.9,36.2,-1.0,29.4,34.5,-1.0,42.446,-1.0,23.68,62.9,40.606625
94,-1.0,-1.0,67.0,232.5,111.03,37.2,152.34,148.0,54.8,91.3,77.24991
95,-1.0,21.0,47.9,-1.0,-1.0,30.2,-1.0,50.9,40.79,52.4,42.77507
96,-1.0,46.3,77.3,67.1,-1.0,38.5,-1.0,37.6,54.9,61.23,58.805637
97,-1.0,33.6,43.6,63.8,59.24,44.7,83.415,-1.0,46.4,34.7,47.058163
98,-1.0,20.4,62.4,-1.0,156.6,-1.0,126.79,-1.0,28.83,58.45,67.34894
99,18.79,27.03,42.41,-1.0,-1.0,29.38,46.2,24.15,20.24,35.35,26.295181
100,-1.0,5.57,5.27,5.58,-1.0,6.87,-1.0,7.56,8.37,10.25,8.672216
101,-1.0,30.1,43.4,68.0,-1.0,32.2,75.106,57.7,54.0,45.5,46.247257
102,-1.0,74.2,-1.0,140.0,167.62,69.9,154.38,56.8,83.88,65.1,73.03888
103,14.09,40.6,58.62,115.54,-1.0,49.83,-1.0,29.46,30.67,30.97,47.473778
104,21.3,26.21,-1.0,-1.0,-1.0,49.75,71.67,33.95,51.34,29.92,38.55345
105,-1.0,51.1,36.0,150.1,86.97,72.2,143.62,-1.0,18.9,44.2,49.889317
106,67.99,-1.0,51.04,-1.0,60.84,71.09,87.59,163.78,73.26,86.58,65.254845
107,-1.0,-1.0,-1.0,49.4,18.95,17.9,57.866,31.6,29.0,36.3,29.998436
108,34.3,-1.0,-1.0,72.0,-1.0,12.2,30.995,24.9,11.4,23.1,29.655212
109,37.4,-1.0,-1.0,72.1,96.48,36.1,70.657,29.0,37.06,39.6,40.4847
110,21.49,21.55,24.96,41.05,-1.0,20.68,-1.0,16.21,22.21,25.12,25.047266
111,-1.0,19.0,42.6,34.1,26.9,-1.0,44.176,-1.0,-1.0,21.07,27.549643
112,26.5,20.7,-1.0,24.3,-1.0,14.1,19.535,11.6,14.64,20.26,20.734726
113,-1.0,7.1,15.6,19.4,-1.0,-1.0,-1.0,-1.0,14.69,24.36,24.088354
114,-1.0,24.3,10.1,2.6,-1.0,-1.0,-1.0,-1.0,10.98,10.6,16.742035
115,35.58,97.38,91.79,-1.0,-1.0,71.25,309.03,56.22,101.11,105.92,68.220665
116,-1.0,19.5,23.0,26.3,-1.0,-1.0,-1.0,-1.0,17.6,26.74,30.781164
117,-1.0,39.8,65.3,70.3,54.52,51.4,83.36,-1.0,61.4,52.9,55.740105
118,-1.0,44.7,19.1,214.9,-1.0,-1.0,-1.0,19.7,35.99,88.42,60.85586
119,67.2,47.2,-1.0,130.7,85.21,68.0,96.919,52.2,89.28,95.8,71.33903
120,43.3,-1.0,-1.0,51.7,55.9,26.8,56.331,38.0,43.18,31.4,40.037388
121,85.2,40.5,-1.0,109.8,89.5,49.5,115.01,78.6,57.18,82.1,61.61012
122,-1.0,38.7,38.7,40.8,34.3,30.6,39.441,-1.0,36.8,30.4,36.39507
123,73.1,46.3,49.7,99.7,122.36,48.2,128.5,91.1,44.47,68.0,59.484173
124,41.9,28.0,66.8,137.2,38.89,45.8,67.141,35.1,40.73,35.0,47.222324
125,-1.0,-1.0,55.14,16.28,-1.0,32.91,108.97,54.73,23.97,52.48,33.715557
126,-1.0,34.8,51.2,-1.0,179.9,-1.0,96.313,-1.0,-1.0,64.42,61.671764
127,24.23,31.64,35.24,-1.0,40.07,37.86,154.21,18.29,41.25,25.23,33.44521
128,26.8,24.6,-1.0,28.9,29.6,14.6,39.756,-1.0,16.92,6.22,28.000896
129,-1.0,27.7,31.8,79.4,-1.0,25.0,60.04,34.0,32.2,33.2,32.446827
130,-1.0,26.7,-1.0,-1.0,26.0,-1.0,44.703,-1.0,26.19,54.94,35.78143
131,-1.0,47.8,82.8,215.7,61.26,48.7,81.71,-1.0,-1.0,58.0,66.556305
132,25.02,19.03,18.81,51.23,-1.0,-1.0,-1.0,18.8,14.88,19.69,25.966059
133,38.98,33.08,45.98,-1.0,-1.0,40.56,37.18,43.86,31.5,50.59,36.782764
134,-1.0,25.3,36.5,112.5,102.42,46.4,82.389,-1.0,49.1,64.7,50.785336
135,-1.0,26.2,37.8,52.3,46.91,61.4,87.162,-1.0,30.9,37.2,40.99162
136,-1.0,53.5,30.3,223.4,122.69,24.7,207.79,54.3,171.48,73.4,98.788666
137,-1.0,-1.0,35.7,-1.0,-1.0,24.8,-1.0,18.8,29.48,177.71,36.30243
138,27.9,22.9,-1.0,68.7,79.49,19.7,61.29,17.1,21.22,34.8,30.038527
139,22.72,41.75,29.5,-1.0,35.3,39.01,42.74,29.77,41.01,28.5,34.4569
140,-1.0,-1.0,-1.0,32.7,37.58,14.3,38.392,17.7,12.6,18.9,18.90471
141,-1.0,-1.0,-1.0,13.5,28.01,17.0,24.054,10.4,13.6,30.9,17.020645
142,-1.0,9.6,20.9,18.1,-1.0,-1.0,-1.0,-1.0,9.12,26.02,18.704548
143,-1.0,9.5,9.3,-1.0,9.7,-1.0,22.954,-1.0,10.36,27.87,20.299711
