,AGU,ATM,LDO,LPIN,MIR,OBL,TLA,VAL,CEN,SFE_med,SFE_pred
0,-1.0,0.17,18.44,63.83,-1.0,3.03,20.51,5.01,29.25,70.59,84.82807
1,-1.0,24.6,46.3,63.8,45.66,36.1,49.6,-1.0,31.2,78.292,74.56237
2,-1.0,102.7,-1.0,184.6,240.82,66.7,200.2,-1.0,79.5,282.61,126.704544
3,22.17,33.26,26.2,-1.0,170.21,31.87,27.36,33.94,27.77,49.38,39.018642
4,25.6,61.8,-1.0,53.5,44.4,40.4,-1.0,-1.0,57.44,64.61,59.675964
5,-1.0,-1.0,66.2,40.9,66.99,44.9,37.0,37.8,47.3,71.59,54.653515
6,62.91,-1.0,80.45,-1.0,-1.0,55.58,60.41,42.76,39.5,40.77,60.950783
7,-1.0,-1.0,-1.0,-1.0,23.5,-1.0,30.15,-1.0,17.37,35.706,37.281445
8,-1.0,-1.0,-1.0,22.9,26.93,18.0,18.0,31.1,19.4,35.899,48.314907
9,-1.0,25.2,-1.0,30.7,26.5,-1.0,-1.0,-1.0,-1.0,52.987,46.857742
10,-1.0,63.5,39.0,43.3,70.65,61.0,54.0,-1.0,44.7,196.08,80.07383
11,-1.0,150.0,137.5,594.1,347.0,57.5,201.96,-1.0,-1.0,435.79,466.1736
12,-1.0,-1.0,-1.0,48.5,27.86,25.7,68.9,50.6,42.5,128.47,59.719288
13,-1.0,17.2,31.1,36.9,-1.0,13.8,25.8,-1.0,18.7,44.579,38.19017
14,-1.0,-1.0,-1.0,17.5,15.67,18.6,14.6,14.6,18.0,30.844,28.050539
15,-1.0,59.8,77.7,89.3,76.38,62.6,85.0,-1.0,70.8,171.95,90.11943
16,28.9,-1.0,-1.0,38.7,-1.0,16.2,26.7,-1.0,47.1,52.264,33.662193
17,42.0,-1.0,-1.0,131.2,53.3,27.5,49.1,25.6,35.86,105.53,106.36237
18,-1.0,60.5,70.1,189.0,149.11,74.0,79.1,64.7,80.6,119.95,119.75359
19,-1.0,-1.0,7.82,23.52,-1.0,-1.0,-1.0,-1.0,-1.0,30.0,77.77949
20,-1.0,33.1,82.0,141.7,59.73,20.8,65.9,29.1,41.25,153.31,121.59966
21,-1.0,5.5,17.6,-1.0,20.6,-1.0,17.81,-1.0,14.21,80.898,43.372932
22,21.7,-1.0,-1.0,23.1,17.36,17.2,-1.0,19.3,31.66,36.964,40.334534
23,43.6,35.4,40.8,124.4,115.15,66.3,56.2,30.3,87.76,194.64,160.0109
24,-1.0,7.8,-1.0,-1.0,24.5,-1.0,24.16,-1.0,10.76,27.14,32.8516
25,62.8,47.2,-1.0,104.3,65.06,49.3,61.6,61.6,51.08,87.019,94.986885
26,-1.0,-1.0,12.1,8.1,14.75,6.9,12.5,5.4,18.4,22.393,30.557545
27,17.61,19.15,28.48,-1.0,26.77,28.16,19.47,17.32,23.52,63.3,36.83111
28,-1.0,28.0,76.9,109.5,50.92,13.4,60.7,-1.0,14.3,120.18,83.88923
29,27.9,44.4,-1.0,31.1,53.95,35.3,-1.0,39.1,33.76,69.838,55.82969
30,-1.0,52.4,43.8,91.6,90.57,39.0,45.7,51.1,63.72,216.5,111.55891
31,4.2,11.2,-1.0,80.9,39.9,-1.0,2.54,-1.0,10.62,44.72,32.148838
32,-1.0,7.5,-1.0,-1.0,36.3,-1.0,14.1,-1.0,10.21,27.45,30.890766
33,-1.0,-1.0,59.91,48.88,-1.0,-1.0,-1.0,-1.0,-1.0,86.54,72.7329
34,-1.0,24.6,31.3,37.6,24.8,17.8,21.3,28.6,29.6,53.64,49.409195
35,12.4,29.3,-1.0,-1.0,18.8,14.5,31.41,-1.0,15.46,29.142,30.677437
36,24.0,25.0,-1.0,47.3,38.3,33.2,-1.0,19.0,28.5,63.486,51.978706
37,12.0,30.4,-1.0,-1.0,28.0,4.8,7.59,-1.0,6.58,11.027,32.95648
38,-1.0,41.6,37.6,121.3,83.85,30.8,37.7,-1.0,29.6,50.938,116.97503
39,-1.0,-1.0,67.19,31.97,-1.0,-1.0,-1.0,-1.0,-1.0,227.85,68.80908
40,-1.0,101.8,88.5,295.9,149.16,101.0,93.1,-1.0,64.2,132.04,215.31866
41,-1.0,-1.0,-1.0,71.02,-1.0,-1.0,-1.0,-1.0,-1.0,45.41,69.57343
42,25.5,-1.0,-1.0,-1.0,42.92,7.1,36.6,24.5,48.6,55.675,50.749912
43,46.63,36.5,52.47,-1.0,81.42,25.58,41.01,39.23,34.62,71.31,59.1397
