,AGU,ATM,LDO,LPIN,OBL,SFE,TLA,VAL,CEN,MIR_med,MIR_pred
63,-1.0,39.9,42.4,80.5,46.4,78.799,30.1,-1.0,35.5,50.01,57.57355
64,48.8,60.1,-1.0,62.5,-1.0,41.295,66.04,-1.0,36.94,53.2,67.73148
65,-1.0,66.5,150.3,96.2,78.2,68.813,53.23,-1.0,-1.0,48.6,56.237988
66,8.0,26.7,-1.0,-1.0,-1.0,27.467,17.81,-1.0,11.85,14.9,22.421787
67,34.2,-1.0,-1.0,-1.0,31.6,51.59,42.1,37.1,30.7,39.49,40.943707
68,-1.0,26.4,29.6,57.6,16.6,43.768,28.33,-1.0,-1.0,208.0,38.86101
69,25.4,19.6,-1.0,46.3,18.6,162.32,36.6,11.4,23.16,73.79,70.867744
70,-1.0,-1.0,-1.0,15.4,22.8,12.154,21.5,8.6,16.5,22.27,19.44976
71,75.1,-1.0,-1.0,166.7,56.4,133.62,71.4,80.4,65.93,58.81,104.25036
72,145.0,116.1,50.6,336.3,71.5,206.03,51.1,-1.0,64.72,121.04,261.10028
73,73.35,-1.0,45.68,-1.0,54.27,43.98,60.7,38.81,57.17,62.68,52.72655
74,-1.0,30.5,37.8,-1.0,-1.0,66.426,20.77,-1.0,-1.0,87.6,65.022736
75,-1.0,-1.0,-1.0,51.7,40.1,77.278,41.0,42.2,31.3,49.36,48.783123
76,-1.0,77.2,77.3,149.4,68.8,96.811,70.3,-1.0,52.6,68.72,94.43016
77,31.25,-1.0,32.21,-1.0,30.25,-1.0,28.65,42.3,31.2,68.94,151.25752
78,-1.0,14.2,12.0,-1.0,-1.0,13.743,34.1,-1.0,11.23,13.9,25.135239
79,22.5,-1.0,-1.0,21.9,27.9,41.785,38.1,50.1,37.48,30.62,35.999607
80,-1.0,40.1,51.9,57.5,52.1,117.68,50.8,-1.0,35.2,54.26,89.98824
81,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48.42,-1.0,14.61,34.3,35.874344
82,-1.0,-1.0,21.31,33.12,-1.0,-1.0,-1.0,-1.0,-1.0,34.04,77.4651
83,24.1,35.7,-1.0,27.3,12.0,-1.0,30.4,32.0,22.92,29.9,42.62998
84,3.8,12.33,17.14,-1.0,23.64,61.8,19.15,13.97,24.74,34.45,80.93384
85,-1.0,-1.0,-1.0,90.7,24.2,99.992,39.5,67.1,35.8,55.27,66.96099
86,-1.0,46.9,59.2,46.2,45.5,77.07,62.7,45.0,66.24,46.85,54.957264
87,-1.0,120.2,112.5,128.0,146.7,173.76,89.8,-1.0,88.9,165.6,139.1989
88,-1.0,-1.0,-1.0,31.5,24.0,27.251,33.4,13.6,20.5,36.3,45.94054
89,28.6,36.7,70.7,63.6,33.3,70.119,33.2,36.0,35.31,41.8,53.32659
