,AGU,ATM,LDO,MIR,OBL,SFE,TLA,VAL,CEN,LPIN_med,LPIN_pred
1287,-1.0,-1.0,13.32,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.53,23.784456
1288,-1.0,42.2,66.0,-1.0,84.9,-1.0,68.2,39.5,70.24,114.6,131.11665
1289,-1.0,39.8,60.2,-1.0,31.6,99.371,47.7,52.2,56.5,89.3,86.62678
1290,-1.0,28.3,70.1,-1.0,21.0,73.733,75.0,-1.0,38.1,66.9,70.7263
1291,-1.0,49.1,50.7,112.02,61.8,107.24,81.5,-1.0,45.6,84.7,88.90622
1292,-1.0,30.0,31.4,50.17,45.2,54.302,40.1,-1.0,32.0,35.5,41.55548
1293,-1.0,37.5,29.4,51.12,40.8,78.62,49.5,-1.0,44.6,21.7,40.56452
1294,71.8,52.3,-1.0,97.87,53.3,101.55,-1.0,71.6,73.54,132.3,79.95403
1295,-1.0,-1.0,19.72,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,32.95,39.70344
1296,-1.0,-1.0,66.95,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,114.06,134.18091
1297,-1.0,-1.0,40.5,-1.0,26.5,-1.0,22.53,29.9,26.77,31.4,52.226173
1298,-1.0,14.3,26.9,-1.0,-1.0,-1.0,20.78,-1.0,21.0,7.6,27.204834
1299,-1.0,17.9,40.7,-1.0,18.3,33.348,43.5,17.7,25.0,28.9,50.019524
1300,39.1,27.2,-1.0,127.24,12.9,78.093,46.4,41.1,38.62,85.7,95.16944
1301,-1.0,-1.0,32.9,101.48,41.3,124.0,78.7,69.9,100.2,147.1,85.25746
1302,-1.0,21.6,54.3,-1.0,31.4,-1.0,58.33,23.1,27.1,46.9,66.489845
1303,-1.0,-1.0,41.3,39.96,-1.0,116.98,-1.0,-1.0,-1.0,121.38,38.561928
1304,-1.0,31.0,34.3,-1.0,-1.0,-1.0,-1.0,23.8,14.46,17.1,45.160355
1305,-1.0,53.9,43.5,-1.0,-1.0,-1.0,32.38,-1.0,41.75,50.0,33.459457
1306,21.7,6.5,-1.0,46.3,-1.0,32.578,-1.0,-1.0,27.6,48.8,22.964048
1307,-1.0,53.0,62.3,-1.0,56.6,130.09,53.4,62.8,57.1,86.4,106.83177
1308,-1.0,17.7,50.4,-1.0,34.2,-1.0,-1.0,-1.0,36.2,44.8,74.12047
1309,23.4,10.2,37.1,25.87,19.8,64.224,28.3,18.6,11.38,37.8,36.200756
1310,-1.0,-1.0,22.3,36.5,27.3,50.508,32.8,-1.0,-1.0,30.4,45.895226
1311,-1.0,-1.0,22.75,-1.0,-1.0,143.25,-1.0,-1.0,-1.0,31.44,32.553947
1312,-1.0,6.0,-1.0,-1.0,65.6,-1.0,-1.0,18.3,13.75,31.4,35.71464
1313,-1.0,23.1,26.6,20.32,16.8,38.315,24.4,-1.0,28.6,26.5,30.876678
1314,24.1,-1.0,-1.0,25.5,-1.0,18.226,38.09,-1.0,24.57,30.1,18.28347
1315,74.3,71.6,141.0,144.32,78.7,-1.0,194.2,84.0,217.26,464.7,229.20335
1316,-1.0,32.2,32.8,39.49,28.2,40.556,32.0,-1.0,29.8,55.5,42.294395
1317,-1.0,-1.0,12.08,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.84,22.781715
1318,-1.0,49.0,55.1,22.3,19.3,-1.0,45.9,-1.0,-1.0,57.3,42.03047
1319,-1.0,20.0,38.5,22.26,25.9,77.739,43.3,-1.0,23.2,50.0,56.66418
1320,21.9,23.8,-1.0,-1.0,23.2,38.4,46.6,-1.0,30.27,37.1,43.964344
1321,67.46,65.37,79.56,-1.0,61.27,-1.0,74.01,46.48,52.15,81.6,109.662834
1322,-1.0,25.0,54.9,-1.0,21.7,-1.0,-1.0,35.6,34.15,58.8,58.0583
1323,-1.0,41.1,33.4,177.09,35.5,115.59,48.1,-1.0,33.4,54.4,59.847828
1324,-1.0,43.6,81.4,-1.0,-1.0,-1.0,57.07,-1.0,14.44,33.7,24.33037
1325,-1.0,24.7,38.5,43.88,33.5,49.935,29.7,-1.0,39.6,30.9,39.58851
1326,29.9,23.6,-1.0,50.31,3.2,49.584,20.1,23.9,16.87,44.4,44.60313
1327,-1.0,121.6,95.1,-1.0,63.7,-1.0,335.02,60.3,-1.0,465.4,220.17554
1328,14.3,15.6,-1.0,48.94,13.4,36.004,19.9,10.8,22.81,89.1,25.425236
1329,-1.0,-1.0,-1.0,62.48,41.6,57.52,62.8,59.6,71.4,60.6,46.000122
1330,-1.0,31.9,54.6,-1.0,-1.0,-1.0,127.19,-1.0,16.76,107.9,15.190488
1331,-1.0,-1.0,42.61,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,123.15,76.85876
1332,-1.0,9.5,12.5,19.67,11.2,27.682,10.8,-1.0,10.5,14.9,21.517159
1333,32.13,-1.0,60.75,11.36,-1.0,81.6,-1.0,39.62,40.42,42.99,57.728428
1334,67.5,35.9,71.1,277.95,76.6,253.19,71.0,55.8,108.37,122.7,262.95572
1335,-1.0,-1.0,54.66,80.43,-1.0,45.9,-1.0,-1.0,-1.0,61.45,110.71239
1336,-1.0,-1.0,-1.0,-1.0,-1.0,37.61,-1.0,-1.0,-1.0,364.67,54.22017
1337,-1.0,-1.0,-1.0,29.32,16.0,33.184,21.1,31.3,17.9,19.6,22.682756
1338,-1.0,40.4,32.5,-1.0,22.4,-1.0,29.09,-1.0,16.22,33.4,29.289986
1339,31.3,-1.0,-1.0,36.86,35.3,43.588,43.8,37.0,33.1,83.5,32.457603
1340,-1.0,-1.0,-1.0,18.77,22.2,34.77,24.4,71.6,19.1,17.0,26.649618
1341,-1.0,-1.0,42.77,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,42.06,77.22776
1342,-1.0,22.9,35.4,28.64,27.4,49.565,26.9,-1.0,27.0,45.1,35.160637
1343,-1.0,-1.0,-1.0,17.73,22.7,31.952,11.2,34.4,23.0,16.5,23.198217
1344,-1.0,-1.0,-1.0,78.89,53.2,189.38,54.8,84.2,45.0,72.5,65.39725
1345,-1.0,-1.0,-1.0,14.7,10.9,15.498,26.4,24.3,9.0,6.0,21.581575
1346,-1.0,-1.0,33.0,73.81,43.6,96.548,51.9,44.3,80.3,60.2,87.48907
1347,14.5,-1.0,-1.0,16.2,-1.0,45.913,29.5,-1.0,20.26,36.9,30.488241
1348,-1.0,26.0,23.6,-1.0,-1.0,-1.0,-1.0,-1.0,24.04,12.6,23.946306
1349,-1.0,-1.0,41.74,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,143.64,74.73609
1350,-1.0,29.9,43.9,-1.0,40.6,67.545,49.8,46.4,45.1,79.6,67.32012
1351,36.5,12.5,-1.0,22.4,-1.0,26.951,34.51,-1.0,31.31,29.4,31.69603
1352,-1.0,23.6,25.6,-1.0,-1.0,-1.0,27.01,-1.0,33.23,31.6,40.5058
1353,-1.0,15.7,32.7,42.53,38.6,82.916,32.2,-1.0,34.1,52.8,60.040344
1354,-1.0,9.01,8.97,32.88,4.25,91.8,10.37,12.32,15.38,18.17,12.21939
1355,34.91,38.93,50.72,-1.0,36.33,-1.0,41.32,10.65,24.66,143.36,99.62527
1356,-1.0,-1.0,115.0,71.75,26.7,175.18,41.1,34.8,23.5,113.8,116.950745
1357,29.1,-1.0,-1.0,36.35,34.5,84.667,27.9,38.5,-1.0,51.4,39.153206
1358,-1.0,121.9,116.3,141.04,129.2,209.62,142.8,116.6,132.5,224.3,165.13107
1359,-1.0,41.3,63.5,60.93,37.9,101.72,49.8,-1.0,50.3,64.3,101.7634
1360,-1.0,42.9,38.8,-1.0,-1.0,-1.0,59.0,-1.0,56.47,61.9,59.745552
1361,-1.0,17.3,36.9,-1.0,-1.0,-1.0,-1.0,-1.0,13.93,28.7,29.502272
1362,-1.0,18.7,26.7,50.43,10.1,55.218,22.6,-1.0,13.0,53.2,51.62465
1363,-1.0,-1.0,-1.0,37.77,-1.0,26.84,-1.0,-1.0,-1.0,20.8,25.448719
1364,-1.0,4.3,37.7,-1.0,-1.0,-1.0,6.02,-1.0,12.64,71.3,28.904863
1365,-1.0,-1.0,41.43,-1.0,-1.0,6.41,-1.0,-1.0,-1.0,244.47,66.88964
1366,-1.0,-1.0,37.95,-1.0,-1.0,34.26,-1.0,-1.0,-1.0,29.72,62.657333
1367,-1.0,29.7,53.9,-1.0,-1.0,-1.0,33.78,26.7,36.12,75.3,49.75277
1368,-1.0,64.4,101.3,-1.0,60.8,-1.0,81.6,65.3,74.46,201.8,157.12444
1369,-1.0,-1.0,25.42,-1.0,-1.0,109.13,-1.0,-1.0,-1.0,43.64,30.80421
1370,-1.0,79.9,72.0,192.14,119.2,206.45,95.6,-1.0,55.1,265.2,237.60587
1371,-1.0,6.8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.93,11.8,6.856212
1372,-1.0,46.7,-1.0,-1.0,60.7,-1.0,-1.0,62.7,50.33,52.7,115.74992
1373,47.9,49.5,-1.0,44.08,54.2,72.649,-1.0,45.4,39.21,84.9,104.44375
1374,-1.0,19.5,67.1,-1.0,42.1,-1.0,132.28,41.7,79.7,77.2,182.6078
1375,28.5,29.3,-1.0,41.48,40.4,80.766,-1.0,33.0,44.77,76.3,60.244614
1376,-1.0,208.0,447.1,508.8,248.6,573.31,400.17,-1.0,-1.0,715.1,928.8398
1377,-1.0,21.9,29.6,36.51,23.1,95.462,31.4,25.4,24.92,63.1,34.59216
1378,9.3,-1.0,-1.0,-1.0,12.2,36.972,21.6,24.6,10.86,11.4,23.550762
1379,10.1,0.4,-1.0,18.8,-1.0,14.245,3.03,-1.0,8.99,14.3,25.679296
1380,-1.0,19.5,50.2,-1.0,24.0,-1.0,184.92,23.6,27.55,70.4,46.507126
1381,-1.0,44.5,63.1,-1.0,41.8,-1.0,12.76,87.3,-1.0,170.2,92.529724
1382,-1.0,42.9,-1.0,48.75,33.5,66.866,30.4,-1.0,19.8,77.5,48.78711
1383,-1.0,-1.0,-1.0,19.06,23.3,52.032,18.8,20.7,25.5,31.3,35.67533
1384,-1.0,-1.0,-1.0,18.07,8.1,24.624,11.1,19.5,14.3,16.2,10.163259
1385,-1.0,3.9,58.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,21.0,34.91042
1386,-1.0,-1.0,48.3,-1.0,-1.0,21.73,-1.0,-1.0,-1.0,58.58,62.319492
1387,-1.0,-1.0,29.49,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,105.72,52.686245
1388,-1.0,26.8,56.4,-1.0,39.5,-1.0,-1.0,21.1,27.58,49.1,56.88515
1389,-1.0,79.3,112.0,187.11,58.1,133.26,74.2,-1.0,45.7,224.6,170.54205
1390,-1.0,-1.0,22.5,-1.0,-1.0,-1.0,-1.0,-1.0,8.44,15.0,25.238653
1391,-1.0,75.1,34.5,82.57,44.6,221.37,52.4,-1.0,55.7,246.9,63.3343
1392,-1.0,17.2,9.5,-1.0,-1.0,-1.0,24.71,-1.0,17.09,8.4,9.779793
1393,-1.0,22.8,35.7,-1.0,-1.0,-1.0,-1.0,-1.0,15.62,10.7,42.249954
1394,-1.0,31.0,61.1,-1.0,61.5,-1.0,43.81,50.4,53.34,106.9,82.404
1395,28.0,-1.0,-1.0,28.51,34.0,65.927,37.3,36.0,41.17,42.0,48.05458
1396,-1.0,31.3,55.8,-1.0,28.2,-1.0,-1.0,26.6,28.62,58.5,60.551403
1397,-1.0,-1.0,-1.0,-1.0,-1.0,71.03,-1.0,-1.0,-1.0,54.85,60.99232
1398,-1.0,60.9,40.8,-1.0,-1.0,-1.0,2.79,-1.0,31.18,25.6,33.328575
1399,-1.0,38.1,79.9,-1.0,26.3,-1.0,50.53,31.3,39.12,65.7,106.3264
1400,-1.0,7.3,20.7,-1.0,-1.0,-1.0,18.35,-1.0,19.8,19.5,28.322115
1401,-1.0,-1.0,14.1,20.7,27.9,37.366,27.6,18.6,16.4,18.6,17.7209
1402,-1.0,15.6,13.8,18.2,-1.0,23.699,-1.0,-1.0,-1.0,12.7,7.760799
1403,-1.0,10.1,27.0,23.06,13.2,70.306,24.1,-1.0,16.4,26.7,37.786987
1404,-1.0,35.1,62.2,-1.0,52.9,92.645,48.7,42.8,43.5,74.1,91.81646
1405,-1.0,-1.0,30.5,32.6,21.2,66.865,31.6,29.9,23.5,37.9,46.384033
1406,-1.0,51.2,21.1,126.26,41.9,168.26,48.3,-1.0,42.8,92.4,90.174324
1407,-1.0,30.9,35.7,-1.0,-1.0,-1.0,62.01,-1.0,21.11,42.1,37.90349
1408,-1.0,-1.0,9.39,-1.0,-1.0,85.22,-1.0,-1.0,-1.0,32.26,19.803741
1409,79.2,95.2,-1.0,53.64,66.2,-1.0,-1.0,85.3,65.52,24.1,135.92354
1410,-1.0,54.4,87.5,-1.0,40.8,242.16,117.0,-1.0,89.9,179.3,135.61147
1411,-1.0,66.6,77.0,74.65,71.5,85.978,34.7,-1.0,73.7,60.0,76.088264
1412,-1.0,-1.0,13.14,-1.0,-1.0,71.99,-1.0,-1.0,-1.0,77.34,26.373217
1413,-1.0,-1.0,76.07,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,160.89,150.02711
1414,9.2,-1.0,-1.0,25.26,21.6,-1.0,-1.0,65.1,24.4,33.6,38.122726
1415,-1.0,15.5,37.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.36,10.6,32.79967
1416,-1.0,28.9,17.2,27.0,-1.0,15.683,-1.0,-1.0,-1.0,17.1,24.590704
1417,-1.0,95.6,62.4,-1.0,-1.0,-1.0,123.74,74.9,94.44,258.5,91.780075
1418,-1.0,39.7,58.3,56.49,43.2,82.546,55.9,-1.0,46.6,75.1,80.59644
1419,-1.0,-1.0,8.56,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.28,18.811323
1420,-1.0,9.1,44.0,-1.0,-1.0,-1.0,46.79,-1.0,-1.0,65.8,44.47133
1421,-1.0,26.4,21.0,47.59,23.2,79.773,22.8,27.3,25.24,29.6,36.702858
1422,30.3,31.2,-1.0,26.1,23.0,83.968,-1.0,25.1,37.64,74.6,68.71495
1423,-1.0,53.1,74.5,104.02,55.4,46.594,63.2,-1.0,41.5,89.4,62.980274
1424,-1.0,-1.0,32.9,49.88,23.2,44.568,25.7,35.9,25.7,32.1,34.254745
1425,73.1,46.3,49.7,122.36,48.2,128.5,68.0,91.1,44.47,99.7,59.168533
1426,-1.0,-1.0,6.49,-1.0,-1.0,70.25,-1.0,-1.0,-1.0,24.3,19.020796
1427,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,24.18,62.23495
1428,-1.0,-1.0,7.69,21.02,-1.0,-1.0,-1.0,-1.0,-1.0,21.21,13.874678
1429,22.5,16.2,-1.0,25.8,17.2,33.087,13.73,-1.0,15.06,24.5,18.000086
1430,-1.0,-1.0,-1.0,41.66,26.3,59.013,21.0,18.9,23.7,35.6,23.5075
1431,-1.0,-1.0,39.3,23.52,24.0,41.973,32.9,38.8,26.1,39.6,40.503544
1432,-1.0,42.9,59.8,51.64,41.6,56.309,49.2,38.7,-1.0,36.1,57.532402
1433,-1.0,35.0,28.3,-1.0,-1.0,-1.0,-1.0,-1.0,20.05,39.8,30.342983
1434,32.32,92.3,80.16,-1.0,89.03,-1.0,167.97,40.1,124.54,151.52,154.0496
1435,-1.0,12.5,46.0,-1.0,41.5,-1.0,37.76,46.7,36.77,90.9,47.74831
1436,-1.0,24.4,51.0,36.8,24.9,68.185,35.0,-1.0,32.5,43.8,53.58778
1437,-1.0,-1.0,-1.0,13.14,13.5,31.917,12.2,20.3,15.6,18.2,9.277192
1438,-1.0,29.7,28.1,-1.0,-1.0,-1.0,-1.0,-1.0,14.39,26.8,22.54058
1439,-1.0,-1.0,31.3,-1.0,-1.0,-1.0,-1.0,-1.0,31.63,24.2,31.311953
1440,-1.0,87.5,83.6,-1.0,42.0,-1.0,-1.0,35.3,45.05,149.3,108.9944
1441,-1.0,13.4,36.8,30.26,93.5,44.133,28.9,-1.0,13.7,55.1,37.072258
1442,-1.0,30.8,44.7,-1.0,32.7,116.15,42.3,33.4,35.9,69.9,68.19864
