,AGU,ATM,LDO,LPIN,MIR,SFE,TLA,VAL,CEN,OBL_med,OBL_pred
63,67.0,-1.0,-1.0,33.3,85.92,175.33,-1.0,90.2,56.77,68.5,53.81792
64,40.8,45.6,-1.0,107.4,34.14,116.05,-1.0,30.5,56.22,54.0,45.952007
65,42.7,-1.0,-1.0,56.7,50.79,76.824,53.4,39.3,43.42,44.5,33.58655
66,-1.0,-1.0,-1.0,30.9,56.89,45.461,36.5,39.0,71.8,29.3,17.663279
67,24.11,32.81,33.6,-1.0,-1.0,45.22,31.06,32.29,35.35,27.57,34.94903
68,-1.0,24.3,56.8,26.9,-1.0,-1.0,-1.0,30.0,35.48,38.8,37.813187
69,22.9,23.1,-1.0,55.6,93.51,41.671,40.5,23.2,33.41,17.2,25.099396
70,-1.0,40.2,38.5,81.1,-1.0,-1.0,22.09,51.9,52.87,42.9,42.056046
71,-1.0,29.3,16.4,55.4,36.54,60.551,22.1,-1.0,33.3,18.1,27.869719
72,-1.0,21.7,21.9,66.1,-1.0,-1.0,68.88,16.9,19.87,23.1,21.117968
73,-1.0,37.4,24.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,21.761158
74,-1.0,29.4,37.8,32.8,-1.0,-1.0,-1.0,39.5,32.76,31.4,32.50254
75,52.2,46.5,-1.0,45.7,43.96,-1.0,-1.0,54.8,51.38,43.0,39.50027
76,-1.0,154.5,110.9,-1.0,98.24,97.992,137.6,65.8,102.36,100.3,86.41969
77,-1.0,38.5,63.4,104.4,-1.0,-1.0,-1.0,-1.0,32.1,22.9,34.164047
78,-1.0,35.1,53.2,56.1,-1.0,-1.0,-1.0,62.5,49.76,33.9,40.604977
79,21.41,27.65,23.57,-1.0,-1.0,61.77,17.35,27.28,25.08,31.73,27.216183
80,49.45,62.82,81.74,-1.0,74.33,35.28,46.98,72.58,53.54,67.83,46.50956
81,17.98,22.66,21.61,-1.0,-1.0,27.63,24.92,21.05,24.35,21.08,21.007568
82,-1.0,20.9,40.8,43.7,28.51,67.664,23.5,-1.0,25.2,46.9,27.104527
83,69.09,49.21,43.17,-1.0,-1.0,63.95,42.7,66.49,45.91,40.09,51.462036
84,65.0,79.6,-1.0,92.6,115.06,79.773,99.0,98.5,86.24,78.9,69.79899
85,49.1,-1.0,-1.0,115.5,-1.0,105.73,29.2,31.1,59.26,49.2,39.63945
86,-1.0,31.6,27.6,32.2,-1.0,81.658,25.3,-1.0,26.2,21.6,30.571125
87,-1.0,34.2,44.4,45.0,-1.0,-1.0,-1.0,25.4,37.06,45.6,34.73235
88,-1.0,44.7,38.6,-1.0,-1.0,-1.0,-1.0,-1.0,24.53,39.2,28.77029
89,-1.0,21.6,40.2,68.1,36.52,62.188,52.1,-1.0,32.8,26.4,26.700294
90,25.49,75.75,-1.0,-1.0,86.68,90.82,47.04,34.79,67.63,55.84,58.3357
91,-1.0,16.7,29.6,65.5,-1.0,-1.0,-1.0,10.0,12.25,15.7,14.222964
92,-1.0,66.1,-1.0,63.3,63.6,61.086,73.7,-1.0,74.2,87.7,60.14734
93,27.1,-1.0,-1.0,-1.0,35.41,66.981,36.5,33.0,26.66,24.0,21.731953
94,19.09,37.29,30.58,-1.0,172.56,50.99,24.49,33.33,30.45,30.33,31.141851
95,-1.0,-1.0,105.7,141.2,150.84,95.38,105.5,91.1,94.5,51.6,71.47603
96,-1.0,-1.0,-1.0,12.7,22.91,13.933,25.2,22.6,14.3,13.6,17.610632
97,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,22.4,66.64,52.4,44.3043
98,-1.0,64.0,85.8,-1.0,-1.0,-1.0,-1.0,86.4,93.71,90.0,67.73485
99,13.37,52.19,84.17,-1.0,-1.0,53.98,41.29,14.14,29.45,52.5,27.192787
100,-1.0,-1.0,-1.0,11.1,12.21,16.032,7.0,21.9,9.1,5.4,9.666513
101,-1.0,-1.0,50.8,39.3,30.55,42.904,25.3,15.8,13.8,12.7,12.158741
102,-1.0,17.4,26.5,37.3,-1.0,-1.0,23.91,-1.0,18.23,0.0,19.397673
103,-1.0,9.5,63.4,135.3,-1.0,-1.0,57.68,44.8,40.84,35.4,41.761448
104,-1.0,45.6,61.0,76.8,-1.0,-1.0,65.16,50.6,51.71,42.7,46.656303
105,-1.0,-1.0,43.7,46.2,23.14,26.86,42.3,30.0,35.3,26.8,26.96704
106,-1.0,48.3,43.0,65.3,-1.0,-1.0,-1.0,25.0,24.55,38.0,31.07574
107,16.84,21.92,20.96,-1.0,-1.0,32.03,18.45,32.83,25.58,24.03,20.745138
108,-1.0,26.5,46.3,119.9,-1.0,-1.0,55.76,75.2,45.54,44.7,54.317055
109,26.7,11.2,-1.0,-1.0,29.3,34.664,40.77,-1.0,22.61,17.8,15.786682
110,-1.0,17.2,15.4,23.3,-1.0,-1.0,26.5,-1.0,31.27,0.0,19.048346
111,-1.0,25.2,37.6,30.3,-1.0,-1.0,152.61,44.1,34.15,34.3,34.165073
112,55.5,-1.0,-1.0,72.5,48.35,131.3,35.5,38.6,55.1,47.3,37.829914
113,-1.0,10.7,24.1,23.9,-1.0,-1.0,-1.0,-1.0,13.29,16.5,2.3383102
114,-1.0,42.3,33.8,49.2,38.5,77.551,11.4,53.3,33.4,25.3,30.645128
115,11.82,18.93,6.08,-1.0,-1.0,28.47,11.29,10.21,15.64,16.12,20.43742
116,-1.0,55.6,56.2,147.7,68.41,104.41,91.9,-1.0,70.7,71.4,63.426876
117,-1.0,-1.0,19.9,25.6,-1.0,-1.0,20.72,27.2,20.97,18.0,17.482737
118,47.84,75.75,60.68,-1.0,64.54,77.5,61.6,61.27,69.89,54.48,57.413563
119,-1.0,-1.0,-1.0,-1.0,15.73,51.603,27.7,31.4,31.0,28.0,17.350515
