,AGU,ATM,LDO,LPIN,MIR,OBL,TLA,VAL,CEN,SFE_med,SFE_pred
62,38.42,45.88,54.31,-1.0,-1.0,34.15,36.47,44.61,43.06,70.01,78.32969
63,-1.0,-1.0,12.2,-1.0,15.1,-1.0,-1.0,-1.0,5.08,18.726,36.516083
64,10.1,10.9,-1.0,27.7,15.4,9.6,30.74,-1.0,14.31,28.022,27.583712
65,19.29,22.42,33.33,32.63,-1.0,27.5,52.78,24.95,22.88,22.83,65.106155
66,-1.0,-1.0,-1.0,45.9,58.94,17.5,28.2,25.5,25.5,48.644,64.11572
67,-1.0,6.6,-1.0,-1.0,30.3,-1.0,4.89,-1.0,21.18,54.446,41.605377
68,-1.0,69.4,57.3,313.5,191.8,51.3,85.4,-1.0,100.2,198.32,208.91367
69,12.1,-1.0,-1.0,-1.0,-1.0,13.4,12.0,4.5,9.9,51.946,38.593197
70,-1.0,-1.0,-1.0,16.6,30.08,17.3,24.0,20.5,33.3,27.279,37.822903
71,46.1,61.7,-1.0,72.0,63.98,35.8,-1.0,46.1,44.95,74.369,88.51917
72,-1.0,90.1,78.0,191.5,190.76,102.8,104.2,104.7,171.1,266.18,221.95245
73,60.5,17.9,-1.0,39.1,66.19,28.0,-1.0,30.9,26.24,75.69,67.12357
74,6.3,15.2,-1.0,15.2,42.0,-1.0,-1.0,-1.0,14.43,15.19,40.180687
75,44.08,43.93,42.43,-1.0,-1.0,39.56,44.16,34.12,53.19,37.15,75.08714
76,-1.0,53.7,52.6,105.0,-1.0,51.5,48.4,-1.0,37.3,113.04,105.1008
77,-1.0,22.8,22.3,29.5,29.16,28.4,20.4,-1.0,17.1,74.715,48.48682
78,-1.0,18.5,56.5,19.6,32.57,24.9,23.2,-1.0,20.9,42.822,52.70038
79,-1.0,-1.0,-1.0,-1.0,2.4,-1.0,-1.0,-1.0,3.87,13.256,16.695929
80,-1.0,32.4,44.2,45.8,57.92,31.7,41.8,84.8,31.1,105.17,91.422585
81,31.5,-1.0,-1.0,36.8,45.95,17.5,28.6,40.6,22.11,63.801,56.933388
82,93.1,75.9,80.1,243.8,81.49,-1.0,59.7,64.7,65.21,171.55,147.41707
83,15.4,-1.0,-1.0,36.5,35.38,10.8,10.1,22.7,25.05,37.431,53.566223
84,8.16,47.35,42.34,-1.0,36.86,32.67,29.63,29.95,28.03,76.27,89.85247
85,-1.0,-1.0,27.6,41.5,26.0,-1.0,-1.0,-1.0,-1.0,40.721,91.04726
86,-1.0,50.0,62.2,186.5,49.45,68.4,31.1,-1.0,33.2,95.058,103.878784
87,-1.0,-1.0,-1.0,-1.0,20.5,-1.0,3.49,-1.0,14.74,37.73,33.80431
88,16.8,19.08,17.83,-1.0,254.8,36.3,38.16,18.21,45.22,158.91,97.247025
89,-1.0,52.9,59.4,65.2,42.96,56.9,48.3,-1.0,49.4,83.385,72.564514
90,-1.0,-1.0,14.2,20.8,18.0,20.2,25.5,28.7,20.8,31.104,36.927578
91,21.6,27.6,-1.0,64.9,39.15,22.8,-1.0,27.7,24.65,50.39,61.094105
92,34.05,30.61,37.83,-1.0,235.52,33.47,35.24,32.69,33.48,26.4,53.11993
93,75.4,72.5,106.9,211.3,306.67,-1.0,121.8,89.8,130.29,217.54,219.90105
94,37.17,-1.0,35.51,49.77,-1.0,38.36,36.27,20.16,20.68,32.44,86.18555
95,-1.0,-1.0,-1.0,16.3,26.38,3.8,33.1,23.8,11.7,27.663,36.74673
96,-1.0,-1.0,42.28,69.87,88.73,-1.0,-1.0,-1.0,-1.0,57.21,52.956543
97,-1.0,65.5,78.1,232.6,195.96,43.9,52.3,59.8,69.06,166.45,177.98225
