,AGU,ATM,LDO,LPIN,MIR,OBL,SFE,TLA,VAL,CEN_med,CEN_pred
0,-1.0,81.1,80.9,-1.0,-1.0,73.9,-1.0,60.13,57.7,68.12,44.83273
1,-1.0,58.3,78.4,85.0,-1.0,41.3,-1.0,-1.0,45.6,43.78,43.4077
2,18.8,45.7,-1.0,10.5,26.2,11.4,47.223,3.61,-1.0,5.82,22.833715
3,-1.0,14.0,38.3,30.6,-1.0,43.3,-1.0,-1.0,-1.0,21.32,25.769255
4,51.24,73.3,83.65,-1.0,160.3,97.94,117.6,114.74,38.74,60.75,114.282104
5,-1.0,37.2,33.7,66.1,44.14,31.8,94.397,56.1,-1.0,29.0,43.309654
6,-1.0,28.1,65.0,131.3,73.9,39.9,55.134,43.8,-1.0,28.8,44.069668
7,-1.0,-1.0,-1.0,11.3,14.38,7.8,22.242,10.2,28.2,12.6,14.448758
8,26.23,33.43,5.75,32.68,-1.0,-1.0,-1.0,22.92,14.66,21.35,23.322447
9,39.0,-1.0,-1.0,35.5,49.2,25.1,42.411,38.09,-1.0,30.61,30.09978
10,12.1,-1.0,-1.0,-1.0,-1.0,13.4,51.946,12.0,4.5,9.9,12.115862
11,-1.0,50.6,46.5,63.8,-1.0,27.8,-1.0,-1.0,33.5,30.13,30.142076
12,-1.0,15.9,32.7,56.3,34.22,30.2,49.316,20.5,-1.0,15.3,21.676683
13,-1.0,-1.0,8.7,34.6,25.57,16.1,16.397,15.6,17.1,14.0,22.625322
14,36.8,-1.0,-1.0,27.0,33.51,18.6,56.043,-1.0,28.5,16.76,24.746283
15,-1.0,30.6,52.4,46.1,87.89,38.4,74.477,49.7,-1.0,54.9,38.719223
16,24.69,60.34,-1.0,-1.0,82.44,33.6,56.5,30.52,36.18,41.21,39.75976
17,20.61,30.84,24.04,-1.0,-1.0,29.58,70.56,27.76,26.05,22.33,30.950302
18,-1.0,29.6,24.4,32.2,27.17,26.8,45.87,37.5,47.1,31.4,32.487312
19,-1.0,84.0,76.0,78.5,81.2,60.9,75.396,66.6,81.3,68.26,74.470024
20,-1.0,9.6,31.2,38.2,-1.0,21.0,-1.0,22.95,20.9,33.94,21.854876
21,-1.0,21.7,31.3,25.6,-1.0,21.6,-1.0,-1.0,33.5,29.97,29.681082
