,AGU,ATM,LDO,LPIN,MIR,OBL,SFE,VAL,CEN,TLA_med,TLA_pred
0,25.72,28.56,-1.0,-1.0,-1.0,31.18,37.66,22.35,23.83,23.57,24.605547
1,21.5,-1.0,-1.0,47.5,62.15,19.3,113.27,21.4,28.6,28.4,31.844843
2,-1.0,22.7,46.2,45.9,33.59,35.6,56.473,-1.0,23.8,20.2,32.489853
3,-1.0,30.5,38.9,64.3,49.68,25.5,57.229,-1.0,-1.0,42.1,34.80504
4,31.13,30.26,39.41,-1.0,-1.0,27.21,33.02,17.48,20.44,23.35,25.24806
5,-1.0,-1.0,-1.0,73.5,62.02,27.3,81.246,47.1,30.7,38.8,36.799076
6,-1.0,-1.0,-1.0,-1.0,16.5,-1.0,42.241,-1.0,14.07,5.42,19.880701
7,-1.0,-1.0,38.4,41.1,-1.0,-1.0,-1.0,-1.0,15.82,30.71,31.397453
8,50.1,34.2,76.9,69.5,125.53,32.2,102.38,22.3,51.18,43.8,56.20128
9,-1.0,17.0,21.8,35.5,18.31,40.9,164.91,114.1,25.7,37.8,36.21082
10,-1.0,-1.0,-1.0,46.9,19.5,12.9,38.407,1.1,14.9,21.5,20.249651
11,-1.0,-1.0,41.7,49.5,33.04,16.8,46.124,26.0,25.4,23.6,29.56888
12,-1.0,41.7,46.4,85.2,-1.0,39.1,-1.0,51.5,42.94,36.61,46.8194
13,-1.0,11.4,41.5,42.5,-1.0,-1.0,-1.0,-1.0,26.05,48.89,35.877876
14,23.02,56.77,67.97,-1.0,-1.0,48.99,40.04,56.67,32.97,35.95,44.229084
15,25.1,-1.0,-1.0,38.0,39.22,5.7,37.779,15.4,10.79,21.5,18.574
16,7.34,19.33,28.46,-1.0,38.1,20.24,101.11,10.42,16.5,11.52,20.596909
17,23.65,47.44,41.19,71.81,-1.0,31.93,-1.0,13.59,23.7,28.59,30.582253
18,-1.0,55.6,43.8,93.4,51.37,37.6,84.134,-1.0,57.2,54.3,47.196396
19,-1.0,-1.0,8.7,34.6,25.57,16.1,16.397,17.1,14.0,15.6,16.835335
20,-1.0,20.8,20.1,19.6,-1.0,-1.0,-1.0,-1.0,10.6,14.66,22.516922
21,31.93,29.81,36.67,-1.0,-1.0,29.71,45.83,32.84,35.04,31.32,31.898617
22,-1.0,4.2,58.5,27.2,-1.0,-1.0,-1.0,-1.0,16.23,16.87,33.09551
23,-1.0,-1.0,-1.0,76.7,44.67,33.2,59.491,50.5,23.8,29.0,34.512783
24,-1.0,41.3,34.0,25.4,-1.0,-1.0,-1.0,-1.0,45.32,43.37,37.790207
25,70.5,79.63,62.31,-1.0,-1.0,70.99,90.52,72.78,67.72,64.1,61.275673
26,-1.0,36.2,35.8,47.6,-1.0,38.8,-1.0,50.2,-1.0,51.14,49.371307
27,-1.0,28.4,16.4,21.8,-1.0,-1.0,-1.0,-1.0,22.05,31.04,23.17334
28,-1.0,47.54,23.01,39.14,-1.0,26.55,-1.0,25.3,28.29,32.97,29.368925
29,70.96,41.93,53.0,-1.0,-1.0,40.17,111.88,58.54,50.67,43.8,47.068794
30,-1.0,34.7,31.9,47.5,67.09,26.3,42.294,-1.0,31.0,23.3,33.62131
31,33.22,46.93,37.07,-1.0,110.87,29.9,148.74,26.36,30.33,29.24,24.074688
32,-1.0,-1.0,-1.0,51.7,49.36,40.1,77.278,42.2,31.3,41.0,35.9266
33,-1.0,7.6,30.9,34.7,-1.0,-1.0,-1.0,-1.0,16.32,228.89,26.581017
34,33.03,22.44,-1.0,-1.0,26.92,26.32,55.17,27.17,25.91,23.76,29.569595
35,-1.0,30.8,11.9,26.6,-1.0,2.7,-1.0,-1.0,21.67,19.71,24.271559
36,39.6,27.6,-1.0,37.7,34.05,32.5,71.132,32.7,33.92,44.4,37.584766
37,33.8,-1.0,-1.0,49.4,47.38,38.4,63.309,-1.0,34.88,33.3,42.428898
38,-1.0,45.2,-1.0,78.7,70.55,39.7,77.967,48.5,43.81,65.2,49.641052
39,14.8,44.5,-1.0,52.7,-1.0,8.4,55.132,-1.0,7.53,22.13,40.300236
40,-1.0,34.8,20.5,26.9,23.45,34.8,29.222,61.7,38.55,29.6,34.92542
41,-1.0,15.3,35.2,54.8,34.01,61.7,54.931,-1.0,15.4,31.4,30.18424
42,-1.0,47.3,69.4,87.7,-1.0,35.3,-1.0,38.2,46.01,64.46,56.710453
43,-1.0,14.1,36.8,-1.0,125.8,-1.0,96.202,-1.0,-1.0,75.82,52.215183
44,-1.0,35.8,26.3,22.4,-1.0,30.4,-1.0,-1.0,28.76,19.18,30.038086
45,-1.0,-1.0,25.4,169.9,117.68,34.6,150.33,142.6,36.0,57.0,52.556896
46,64.63,107.42,93.57,189.14,-1.0,73.5,64.01,65.44,-1.0,69.78,81.86966
47,-1.0,39.7,103.8,89.4,67.12,40.8,70.543,-1.0,43.9,58.8,50.428413
48,-1.0,-1.0,-1.0,-1.0,39.7,-1.0,32.282,-1.0,24.04,59.03,38.73468
49,54.5,-1.0,-1.0,95.2,95.85,51.0,48.563,56.2,57.85,74.9,60.87555
50,-1.0,13.5,42.0,58.0,-1.0,17.5,-1.0,29.8,23.71,24.03,40.76751
51,23.0,29.9,35.9,32.5,27.87,22.7,51.736,26.4,24.23,28.3,27.662052
52,-1.0,21.4,18.6,31.2,-1.0,-1.0,-1.0,-1.0,23.22,33.22,25.387577
53,-1.0,64.9,59.8,56.8,-1.0,40.6,66.375,75.5,62.1,59.5,56.164745
54,-1.0,-1.0,32.4,65.4,50.81,29.2,94.631,75.5,40.8,32.4,38.92403
55,-1.0,-1.0,-1.0,7.9,4.74,14.5,29.279,22.1,15.4,47.2,18.153238
56,-1.0,-1.0,-1.0,33.3,27.53,18.2,36.485,13.9,11.2,21.2,16.7084
57,-1.0,44.7,29.7,110.5,185.98,52.7,106.69,-1.0,50.5,58.7,49.920918
58,49.7,-1.0,-1.0,111.2,59.58,34.6,128.17,44.2,37.22,31.4,45.051395
59,-1.0,27.5,63.1,80.3,-1.0,50.6,-1.0,67.0,60.25,106.54,61.91554
60,-1.0,58.2,88.3,80.2,-1.0,51.1,-1.0,49.7,54.37,65.01,65.02462
61,-1.0,26.7,34.6,86.1,99.46,18.9,115.76,-1.0,29.6,32.2,36.476166
62,-1.0,27.2,32.1,44.1,61.36,23.2,90.126,-1.0,27.7,31.8,32.285843
63,-1.0,39.2,54.7,-1.0,-1.0,32.9,-1.0,18.3,39.05,135.56,44.712795
64,21.61,22.82,24.43,56.59,-1.0,22.79,-1.0,19.39,20.59,20.49,25.536793
65,-1.0,-1.0,-1.0,20.5,13.75,15.3,31.93,8.6,10.4,12.9,13.958259
66,-1.0,57.2,40.8,86.2,88.34,32.4,57.373,-1.0,37.5,45.5,42.6149
67,23.35,21.8,30.64,-1.0,-1.0,18.59,24.98,20.52,23.38,18.65,23.251465
68,13.86,20.83,20.26,-1.0,-1.0,21.93,38.51,16.46,20.7,21.72,20.188425
69,18.7,-1.0,-1.0,21.8,15.93,16.2,38.637,23.3,28.13,30.4,29.717237
70,-1.0,7.9,53.7,32.4,-1.0,-1.0,-1.0,-1.0,30.17,28.87,38.809177
71,-1.0,41.9,26.0,21.2,-1.0,-1.0,-1.0,-1.0,21.66,36.76,30.583675
72,11.01,21.89,23.48,-1.0,-1.0,30.95,29.7,32.84,30.76,22.52,27.654726
73,47.4,-1.0,-1.0,55.0,46.32,48.9,59.74,52.2,48.4,50.4,52.817223
74,49.6,44.3,-1.0,93.6,83.11,-1.0,107.37,42.8,49.92,76.6,53.893494
75,24.26,33.74,-1.0,-1.0,45.81,34.5,-1.0,24.52,39.85,27.53,33.910686
76,-1.0,59.8,57.3,134.1,65.08,44.6,88.544,-1.0,61.4,69.7,55.015034
77,-1.0,46.4,106.8,81.1,-1.0,51.6,54.45,-1.0,37.2,113.1,47.08418
78,32.06,34.87,16.96,-1.0,-1.0,24.42,31.15,0.06,34.63,24.78,27.060734
79,-1.0,9.2,19.9,-1.0,-1.0,-1.0,-1.0,-1.0,8.69,81.53,16.38909
80,26.7,11.0,-1.0,14.7,23.1,-1.0,31.901,-1.0,21.84,29.32,23.594185
