,AGU,ATM,LDO,MIR,OBL,SFE,TLA,VAL,CEN,LPIN_med,LPIN_pred
61,-1.0,-1.0,98.2,-1.0,68.7,-1.0,2.56,78.3,56.43,125.4,126.90554
62,-1.0,55.8,55.2,207.34,38.3,216.32,97.0,69.9,70.4,337.4,213.37392
63,19.2,-1.0,-1.0,33.77,17.6,63.514,8.8,28.9,24.06,32.3,52.647594
64,24.5,23.9,29.7,85.94,30.3,49.105,39.8,37.7,67.82,67.3,83.85021
65,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,55.93,-1.0,-1.0,88.4,26.443733
66,-1.0,74.1,67.1,105.53,58.1,86.011,70.4,-1.0,23.8,111.9,84.902145
67,-1.0,49.2,61.5,74.2,-1.0,35.137,-1.0,-1.0,-1.0,84.5,62.230156
68,-1.0,-1.0,31.26,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,58.85,63.068043
69,-1.0,28.1,66.0,124.05,49.5,49.305,69.7,-1.0,51.9,89.3,99.59131
70,-1.0,41.5,35.3,28.87,28.2,60.681,36.7,-1.0,31.8,96.0,57.309105
71,-1.0,26.9,61.5,-1.0,41.2,-1.0,-1.0,37.9,43.65,187.3,64.4887
72,-1.0,12.3,15.5,17.6,-1.0,28.318,-1.0,-1.0,-1.0,6.6,23.210342
73,34.0,15.6,-1.0,39.89,23.8,58.954,33.7,31.3,29.79,32.7,55.5001
74,-1.0,64.5,93.5,-1.0,55.1,-1.0,56.31,37.6,57.43,168.2,110.54739
75,-1.0,21.9,69.6,70.1,41.4,100.32,65.0,49.4,53.65,58.7,111.07122
76,-1.0,12.3,16.8,-1.0,-1.0,-1.0,20.51,-1.0,9.04,30.3,18.588388
77,19.6,17.5,-1.0,35.01,12.3,39.25,19.4,16.3,18.75,26.3,39.988174
78,-1.0,-1.0,8.9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.45,22.286444
79,-1.0,37.3,64.1,-1.0,40.7,108.99,82.2,-1.0,52.6,73.0,119.44521
80,-1.0,-1.0,-1.0,26.11,37.8,58.226,36.4,37.4,34.8,51.3,35.98772
81,-1.0,42.5,47.0,42.33,28.5,61.713,49.5,-1.0,50.3,53.9,62.815506
82,-1.0,-1.0,28.34,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36.71,56.912334
83,33.8,24.4,-1.0,35.16,29.1,78.056,29.3,25.0,23.44,102.0,67.484924
84,-1.0,55.3,87.2,-1.0,42.9,-1.0,-1.0,31.1,78.14,145.3,136.68091
85,-1.0,47.7,73.5,-1.0,32.5,-1.0,52.27,42.1,43.55,96.5,80.8183
86,-1.0,28.4,29.2,-1.0,15.9,-1.0,15.87,13.7,11.81,33.4,38.204258
87,-1.0,-1.0,18.6,-1.0,-1.0,-1.0,19.61,-1.0,6.17,19.3,9.489455
88,-1.0,31.4,23.2,52.16,22.0,53.163,33.7,-1.0,11.8,43.6,50.519577
