,ATM,LDO,LPIN,MIR,OBL,SFE,TLA,VAL,CEN,AGU_med,AGU_pred
0,51.39,117.75,-1.0,-1.0,46.83,59.53,47.08,37.44,59.13,32.2,36.289604
1,-1.0,-1.0,233.6,120.09,68.5,121.16,74.5,47.8,93.01,68.6,65.213776
2,62.88,38.21,-1.0,-1.0,59.03,38.09,61.0,38.05,78.52,33.63,44.110344
3,12.11,13.57,-1.0,158.68,9.02,65.05,6.34,6.85,10.59,9.29,9.413147
4,31.8,-1.0,40.9,35.82,19.3,61.749,-1.0,32.5,22.8,23.2,26.808033
5,52.2,76.5,72.4,122.94,48.4,164.42,90.3,120.1,81.74,93.1,91.652954
6,-1.0,-1.0,48.7,-1.0,10.2,53.338,29.4,20.8,19.7,24.9,20.110376
7,8.0,-1.0,-1.0,21.4,10.6,24.849,31.37,-1.0,16.82,11.7,15.563426
8,14.37,37.46,-1.0,56.66,22.44,74.19,23.73,23.67,23.55,15.02,18.421219
9,-1.0,-1.0,44.6,47.35,47.2,60.318,-1.0,52.1,54.12,43.8,42.449425
10,82.46,67.47,-1.0,47.07,83.32,139.6,82.31,133.47,70.92,100.42,80.56879
11,-1.0,-1.0,79.0,28.91,16.5,59.536,-1.0,30.7,25.62,14.8,27.409874
12,81.77,96.61,-1.0,75.58,67.22,14.73,90.56,81.57,70.81,70.33,74.251724
13,-1.0,-1.0,31.0,-1.0,18.4,26.788,31.1,13.4,19.8,18.6,16.2777
14,32.43,23.05,-1.0,74.35,17.17,101.28,21.06,27.7,22.36,24.29,23.482077
15,18.75,32.8,-1.0,41.05,18.77,28.47,22.5,22.45,21.57,11.62,18.835102
16,21.47,21.96,-1.0,-1.0,21.96,54.3,19.32,22.22,18.5,14.33,16.770046
17,19.15,28.48,-1.0,26.77,28.16,63.3,19.47,17.32,23.52,17.61,14.554208
18,24.4,-1.0,62.3,42.34,25.2,64.609,30.2,26.6,28.12,27.8,30.295683
19,-1.0,-1.0,-1.0,51.0,20.9,58.4,39.94,-1.0,31.02,30.0,34.39569
20,51.5,42.7,60.2,56.91,41.2,99.789,47.5,66.8,44.65,58.9,59.434326
21,-1.0,-1.0,22.7,18.74,17.0,-1.0,-1.0,49.2,29.6,9.1,18.13642
22,75.7,-1.0,88.9,168.41,50.0,149.67,113.9,41.3,95.17,48.0,50.015675
23,39.0,38.7,56.2,49.93,31.2,60.577,50.9,44.4,45.44,45.3,46.436108
24,24.31,31.67,-1.0,-1.0,25.75,26.48,30.45,29.28,25.34,15.39,20.811264
25,28.0,-1.0,36.0,54.14,44.2,104.1,-1.0,31.6,41.38,43.8,36.97439
26,29.45,21.34,-1.0,-1.0,26.16,29.04,24.81,24.55,26.8,16.78,23.146185
27,6.5,-1.0,21.8,30.3,-1.0,25.137,26.85,-1.0,17.52,22.8,30.800726
28,-1.0,-1.0,62.1,84.42,31.3,60.36,39.7,31.2,51.47,30.3,34.619118
29,61.54,64.53,-1.0,-1.0,46.34,45.21,80.56,57.44,80.67,31.86,46.48806
30,24.4,-1.0,26.2,27.18,23.2,30.872,17.2,11.0,-1.0,13.2,18.448116
31,15.7,-1.0,-1.0,32.6,9.9,17.615,33.6,-1.0,21.88,19.7,20.01307
32,24.7,-1.0,77.4,78.94,66.3,81.985,-1.0,34.5,62.58,54.0,46.545895
33,17.03,12.2,-1.0,-1.0,12.42,54.63,9.22,10.79,11.56,1.17,10.57391
34,-1.0,-1.0,32.7,25.35,15.7,49.448,19.9,17.8,13.75,9.9,21.080238
35,83.2,115.25,-1.0,35.2,61.66,168.06,94.49,45.6,78.94,49.46,46.108677
36,46.5,-1.0,45.7,43.96,43.0,-1.0,-1.0,54.8,51.38,52.2,39.295513
37,-1.0,30.63,-1.0,271.34,25.3,27.05,25.18,26.09,27.22,18.54,22.483912
38,6.75,4.69,8.27,-1.0,8.21,-1.0,4.73,6.25,5.31,13.7,10.290134
39,34.3,-1.0,45.4,32.69,16.2,29.825,-1.0,30.2,13.85,22.9,20.603464
40,27.82,-1.0,-1.0,33.45,24.56,334.64,20.66,21.63,21.92,17.07,20.002258
41,46.8,60.2,130.4,50.06,35.6,141.19,44.5,36.9,48.49,37.4,49.42024
42,34.9,-1.0,-1.0,18.8,5.6,19.651,21.44,-1.0,29.06,17.1,14.366845
43,90.3,-1.0,77.6,72.1,54.1,140.19,-1.0,83.0,68.29,56.1,53.899498
44,18.14,12.09,20.11,-1.0,12.13,-1.0,5.62,25.22,17.86,33.09,19.077364
45,18.7,-1.0,17.8,17.6,-1.0,18.459,19.78,-1.0,11.24,7.4,9.800839
46,36.67,26.13,-1.0,-1.0,42.49,34.89,38.1,28.84,45.36,22.21,34.199883
47,28.67,32.84,-1.0,-1.0,22.46,33.2,40.85,30.65,34.07,25.87,24.59677
48,-1.0,-1.0,-1.0,51.84,39.7,69.177,67.0,49.4,48.9,33.5,47.799244
49,25.92,21.12,-1.0,55.87,17.14,112.71,26.53,28.12,27.88,15.72,23.243849
50,70.3,-1.0,53.8,-1.0,41.9,45.645,63.12,-1.0,46.65,42.6,32.62659
51,-1.0,59.15,-1.0,33.06,86.03,100.78,74.94,55.02,90.59,72.66,58.561954
52,26.17,33.12,-1.0,43.09,20.93,98.24,24.01,27.2,26.88,9.88,19.61018
53,21.4,-1.0,84.7,66.5,16.4,68.804,-1.0,20.6,17.93,39.0,24.023647
54,28.46,32.89,-1.0,35.94,24.03,-1.0,34.71,20.94,30.19,16.31,22.709742
55,28.81,31.67,-1.0,-1.0,31.75,-1.0,30.73,29.29,36.59,23.97,28.84512
56,42.8,-1.0,121.7,-1.0,23.2,124.96,40.1,34.7,47.55,51.6,42.27682
57,33.16,26.84,-1.0,-1.0,35.86,79.61,41.37,38.43,38.65,32.86,38.34036
58,-1.0,-1.0,222.4,46.88,35.1,156.56,56.1,34.0,51.9,63.1,43.06377
59,22.0,-1.0,48.9,62.44,23.2,72.216,31.4,20.8,23.22,28.5,28.306803
60,24.02,77.39,-1.0,-1.0,21.12,214.56,72.01,29.13,30.57,27.91,18.482548
61,-1.0,-1.0,-1.0,43.9,14.7,50.628,30.53,-1.0,15.05,53.1,29.298906
62,81.59,38.29,103.21,-1.0,131.4,-1.0,62.6,38.92,83.46,35.93,42.570026
63,-1.0,-1.0,27.9,26.14,9.1,36.177,9.1,14.1,8.16,12.8,17.968319
64,27.8,-1.0,-1.0,22.9,17.5,25.773,52.61,-1.0,18.33,18.3,12.811922
