,year,month,day,day,AGU,AGU,ATM,ATM,CEN,CEN,LDO,LDO,LPIN,LPIN,MIR,MIR,OBL,OBL,SFE,SFE,TLA,TLA,VAL,VAL,date
,,,,,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,max,
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,
0,2016,1,16.0,9.092121131323903,61.670645161290324,17.851428875673392,94.5083870967742,25.41633242579454,125.25129032258064,60.126687903788365,101.6604347826087,45.62536958537839,,,202.92357142857145,95.97198265897451,80.72774193548386,31.216508528840674,263.3477419354839,81.9100714893953,94.41129032258064,34.79155584735426,74.43451612903225,29.759368590827513,2016-01-01 00:01:00
1,2016,2,15.0,8.514693182963201,80.08310344827586,18.675674037070692,109.88740740740741,24.164760673438472,123.47724137931036,42.39064316370432,102.5803448275862,37.002030396294145,,,181.42727272727274,56.96036526616916,90.23275862068965,25.408016155838876,176.95172413793105,52.55513601848236,111.33827586206897,43.064205891483006,98.96310344827586,34.25435864898366,2016-02-01 00:00:00
2,2016,3,16.0,9.092121131323903,55.99225806451613,18.137895634954898,74.65677419354839,22.688286461975157,65.98064516129033,23.01019584669426,73.51290322580645,32.801259141842756,,,209.23666666666668,68.74426247920279,72.02903225806452,43.43779762333249,129.90275862068964,28.035486428116144,62.54032258064516,21.256703018714038,60.25774193548387,28.138537122562884,2016-03-01 00:00:00
3,2016,4,15.5,8.803408430829505,75.53,27.53531337680072,81.48458333333333,21.33110628802488,81.30933333333334,22.00845761149067,78.87033333333333,24.172314383270756,,,130.28875,66.32284683651629,80.19533333333334,25.353932937560177,108.59285714285714,25.90675356781085,76.80566666666667,19.700170782269247,66.924,36.326648392719584,2016-04-01 00:00:00
4,2016,5,16.0,9.092121131323903,80.73833333333333,13.112467985343821,86.64166666666667,16.97295898382679,62.95666666666667,16.96174617583146,92.67842105263158,23.982674362769536,192.86322580645162,69.49844546880631,85.262,21.794837003290482,81.89,19.717451153736885,106.22548387096774,32.5886549623955,76.09166666666667,8.715846296640773,60.098333333333336,7.319831737592514,2016-05-01 00:00:00
5,2016,6,15.5,8.803408430829505,59.075,26.37093412578831,84.675,46.06732106385175,43.41,18.75930346965651,64.41533333333334,27.774845445838757,118.38566666666667,53.78909796496923,77.62583333333333,28.853821696876686,72.56666666666668,40.30381255745747,154.51611111111112,67.99931826119236,56.306,24.80760931649803,61.47666666666667,23.138067911272685,2016-06-01 00:00:00
6,2016,7,16.0,9.092121131323903,52.834,12.914144570973331,40.27,11.421177697593187,35.855000000000004,13.065792852220751,75.10967741935484,15.968779014871693,83.22166666666666,37.45185544718421,67.86428571428571,29.04110928617274,53.36333333333334,19.341612824856846,191.21,53.99194888895553,55.526666666666664,19.21890909148245,50.1325,24.440688410926562,2016-07-01 00:00:00
7,2016,8,16.0,9.092121131323903,,,83.918,40.72302690125084,35.87833333333333,14.192091342246451,63.200322580645164,22.297006597877804,79.79034482758621,31.23538269366496,76.43333333333334,13.135444669544558,55.327999999999996,16.90242941118229,261.64870967741933,78.98333928713217,62.75333333333334,18.46960060928949,55.84833333333333,18.992250437130053,2016-08-01 00:00:00
8,2016,9,15.5,8.803408430829505,37.51875,12.666837960934506,42.47125,14.809436603058202,37.402857142857144,9.916749659516663,49.175333333333334,18.81054834914183,89.40366666666667,31.094382848235533,138.6157142857143,95.31357963010706,39.55571428571428,10.762666734508471,188.96,,40.90625,9.953102800491054,32.5075,9.234014372339443,2016-09-01 00:00:00
9,2016,10,16.0,9.092121131323903,27.659999999999997,17.271794926990072,43.9225,14.223964227082877,38.675,14.110727597588061,71.90631578947368,27.039423935868637,137.4715789473684,64.72930714076874,202.64000000000001,56.01602592115938,39.230000000000004,15.021586689383607,,,44.55,11.865633850185446,35.4625,7.753293386254214,2016-10-01 00:00:00
10,2016,11,15.5,8.803408430829505,61.76,19.16660324627189,88.81,33.79255953608723,92.88666666666667,38.07318881662878,80.78931034482758,34.542190654642546,190.58428571428573,92.69839898048387,247.53,99.16466507783912,84.8375,36.14226369501501,,,92.05833333333334,45.11844962614149,54.550000000000004,22.295361849496864,2016-11-01 00:00:00
11,2016,12,16.0,9.092121131323903,76.87,11.775347128641268,88.99166666666667,16.14416726457784,121.005,30.636650437017426,114.97322580645161,36.57898598805028,286.3674193548387,101.27362015739807,,,104.62,36.51056285515193,,,122.73666666666668,23.516666997401366,75.375,22.9787299474971,2016-12-01 00:00:00
12,2017,1,16.0,9.092121131323903,,,100.13870967741936,23.958779565736855,101.14838709677419,32.31353556398868,119.62258064516129,30.663993104588968,297.90645161290325,87.43662442204972,261.12290322580645,85.77259660262705,103.46129032258065,30.120432460588997,261.74709677419355,68.3609776696983,118.45161290322581,36.7456652406579,,,2017-01-01 00:00:00
13,2017,2,14.5,8.225975119502044,,,88.98571428571428,37.79617572547386,80.99285714285715,39.11829096254957,106.35,59.67424843201568,246.325,102.69839201381015,197.77107142857145,63.323899024763264,93.76428571428572,35.303113012307975,219.72121428571427,83.43177303879395,103.89642857142857,48.305451591297164,,,2017-02-01 00:00:00
14,2017,3,16.0,9.092121131323903,,,76.24193548387096,18.29728165955348,65.14137931034483,17.728820709337732,95.80967741935484,30.46779014892842,205.85806451612905,67.24747714818527,142.2425,60.930551914281445,77.14193548387097,26.875016579139672,208.6673870967742,58.17348411127841,84.35161290322581,23.716827654188798,,,2017-03-01 00:00:00
