,AGU,ATM,LDO,LPIN,MIR,OBL,SFE,TLA,VAL,CEN_med,CEN_pred
63,-1.0,16.0,51.5,8.2,-1.0,-1.0,-1.0,30.83,-1.0,20.46,22.875345
64,26.8,67.1,-1.0,46.6,35.02,22.4,72.334,-1.0,61.5,33.6,37.400906
65,-1.0,19.1,77.5,90.0,-1.0,28.1,-1.0,38.04,22.0,36.18,29.333254
66,-1.0,37.6,38.8,87.4,51.46,33.8,84.365,59.4,-1.0,39.2,42.144516
67,39.0,46.5,43.6,49.1,55.17,35.4,69.454,44.1,49.1,53.53,43.232048
68,21.6,63.0,-1.0,52.9,39.9,30.3,77.748,52.4,-1.0,33.15,37.78283
69,-1.0,31.2,51.0,117.0,-1.0,22.6,68.821,50.6,23.4,33.2,33.88355
70,13.4,25.7,-1.0,76.0,33.3,23.8,45.845,-1.0,25.1,15.96,24.6574
71,-1.0,30.5,20.1,31.4,40.5,23.2,45.363,62.2,-1.0,32.7,26.660868
72,-1.0,27.0,22.2,14.7,-1.0,34.9,-1.0,7.71,-1.0,21.23,27.984867
73,25.4,-1.0,-1.0,53.5,29.85,20.2,54.836,14.1,9.4,16.43,20.489841
74,5.0,5.4,-1.0,17.8,13.2,-1.0,13.019,7.56,-1.0,7.53,5.769525
75,-1.0,-1.0,-1.0,7.2,21.87,12.3,26.272,16.2,27.4,12.8,18.093748
76,25.17,39.69,37.31,-1.0,36.02,43.5,77.17,30.62,25.44,40.39,40.907112
77,-1.0,-1.0,-1.0,44.4,56.55,32.6,77.557,31.2,36.0,37.3,38.251495
78,-1.0,-1.0,-1.0,-1.0,18.0,-1.0,12.448,22.12,-1.0,15.99,12.530585
79,-1.0,36.6,61.3,64.4,-1.0,-1.0,-1.0,62.84,-1.0,29.64,38.77184
80,34.8,16.6,-1.0,69.7,29.52,23.7,54.34,-1.0,29.5,26.44,29.194658
81,-1.0,17.4,47.5,57.6,-1.0,34.6,-1.0,32.35,13.9,26.77,29.474125
82,110.3,83.4,-1.0,207.6,117.28,83.0,173.93,-1.0,67.0,63.53,89.04049
83,-1.0,19.6,25.9,32.2,31.78,19.5,57.563,30.6,-1.0,21.2,25.14459
84,21.22,41.76,31.67,34.99,-1.0,-1.0,-1.0,42.86,30.97,25.73,33.297287
85,-1.0,12.5,19.0,-1.0,-1.0,7.1,-1.0,-1.0,-1.0,30.41,16.046217
86,-1.0,39.2,-1.0,70.0,41.37,27.0,48.283,38.3,-1.0,24.4,34.34955
87,12.56,45.17,21.79,150.39,-1.0,-1.0,-1.0,38.6,23.91,42.81,45.60922
88,-1.0,73.2,99.5,262.1,-1.0,-1.0,-1.0,105.15,53.8,103.51,84.62826
89,31.8,12.4,90.1,51.4,48.3,41.5,82.486,22.4,43.4,42.95,44.908234
90,-1.0,42.5,23.3,124.0,121.15,59.9,108.96,29.1,-1.0,26.5,48.733788
91,18.11,21.71,14.87,-1.0,-1.0,-1.0,36.87,14.09,19.83,21.32,25.091602
92,28.5,19.1,-1.0,45.5,26.07,18.3,44.376,-1.0,20.8,27.39,23.829247
93,-1.0,-1.0,55.9,122.3,-1.0,53.6,84.025,64.7,84.9,58.4,61.414837
94,-1.0,35.7,17.9,31.9,53.55,27.0,128.84,25.8,29.4,31.58,27.785646
95,-1.0,16.9,82.0,14.4,-1.0,-1.0,-1.0,28.56,-1.0,21.51,23.032047
96,49.9,34.1,-1.0,43.0,63.54,37.5,55.527,-1.0,34.9,42.11,42.28502
97,12.3,10.1,-1.0,21.3,26.9,13.6,18.693,14.16,-1.0,12.84,15.4452305
98,18.4,31.7,-1.0,10.4,-1.0,14.8,40.298,6.52,-1.0,16.27,13.029958
99,-1.0,13.5,42.5,77.7,-1.0,37.4,-1.0,56.04,22.2,32.57,43.890305
100,-1.0,-1.0,-1.0,14.6,27.64,14.7,36.987,16.8,25.6,16.0,19.501972
101,-1.0,35.0,39.2,60.2,33.96,34.6,45.168,38.2,-1.0,31.2,36.642094
102,-1.0,-1.0,6.6,15.0,37.09,14.6,26.219,13.1,36.1,17.8,22.136219
103,-1.0,51.1,51.8,90.7,-1.0,31.0,-1.0,32.23,36.9,38.47,35.982365
104,-1.0,52.5,73.3,56.9,-1.0,35.1,-1.0,-1.0,41.6,37.95,39.491367
105,21.73,18.54,13.45,22.4,52.95,17.36,-1.0,13.57,19.41,14.98,22.13815
106,-1.0,-1.0,-1.0,14.0,24.39,13.4,21.798,14.8,28.9,22.4,20.0754
107,-1.0,-1.0,61.2,118.6,81.86,29.2,58.597,51.4,42.9,29.1,44.215427
108,15.3,53.1,-1.0,7.4,20.0,14.4,18.617,23.2,-1.0,17.98,22.351181
109,-1.0,29.3,48.8,83.6,-1.0,40.8,-1.0,45.0,-1.0,29.5,39.797504
110,8.5,2.0,-1.0,-1.0,17.5,9.5,17.981,25.86,-1.0,9.18,12.524335
111,-1.0,0.1,-1.0,18.8,-1.0,12.0,-1.0,-1.0,14.0,11.84,10.224635
112,-1.0,-1.0,49.6,2.5,-1.0,-1.0,-1.0,-1.0,-1.0,20.65,4.3370442
113,45.0,-1.0,-1.0,158.0,61.85,38.4,151.86,52.2,33.9,58.11,48.83677
114,-1.0,13.4,19.7,24.5,-1.0,-1.0,-1.0,-1.0,-1.0,12.71,12.236349
115,17.3,52.3,-1.0,36.7,47.16,15.4,84.715,-1.0,45.7,18.29,27.253063
116,18.3,7.5,-1.0,24.1,26.5,10.7,27.736,19.6,-1.0,10.43,15.633432
117,-1.0,10.4,18.2,37.2,-1.0,-1.0,-1.0,31.21,-1.0,2.38,17.11376
118,-1.0,40.0,50.2,143.0,-1.0,38.3,74.871,65.4,55.9,60.2,56.535225
119,28.4,-1.0,-1.0,104.3,106.14,23.0,122.35,43.8,31.2,29.68,44.49853
120,-1.0,10.3,39.3,35.4,-1.0,-1.0,-1.0,44.47,-1.0,15.09,24.023155
121,-1.0,63.3,44.6,158.4,69.43,32.8,165.62,40.1,-1.0,30.1,42.148296
122,75.75,-1.0,61.23,-1.0,47.48,64.88,89.73,40.38,40.12,53.2,56.615692
123,-1.0,38.2,47.7,66.8,-1.0,-1.0,-1.0,42.89,-1.0,32.23,30.309752
124,-1.0,28.1,28.7,58.3,72.4,22.0,72.032,44.9,56.4,42.8,34.347973
125,7.3,28.1,-1.0,14.9,15.1,5.5,25.989,36.63,-1.0,15.59,10.516277
126,41.2,20.7,-1.0,81.7,43.11,30.3,95.979,43.4,22.0,37.45,37.96024
127,18.4,16.1,-1.0,-1.0,30.8,15.8,50.896,28.67,-1.0,21.86,23.077406
128,-1.0,-1.0,-1.0,16.9,19.52,-1.0,24.967,10.4,18.1,14.2,15.458403
129,-1.0,19.3,29.1,30.0,43.3,22.1,59.734,32.2,-1.0,26.9,28.015923
130,-1.0,20.7,55.9,49.4,-1.0,33.3,-1.0,-1.0,40.3,34.79,34.58378
131,13.2,9.6,-1.0,15.5,15.2,10.4,31.637,24.54,-1.0,12.46,13.538991
132,58.9,30.9,-1.0,93.7,63.37,31.4,144.06,-1.0,49.0,29.37,39.61274
