,model1,model2,model3,model4,model5,model6,model7,model8,model9,model10,model11,model12,model13,model14,model15,model16,model17,model18,model19,model20,model21,model22,model23,model24,model25,model26,model27,model28,model29,model30,model31,model32,model33,model34,model35,model36,model37,model38,model39,model40,model41,model42,model43,model44,model45,model46,model47,model48,model49,model50,model51,model52,model53,model54,model55,model56,model57,model58,model59,model60,model61,model62,model63,model64,model65,model66,model67,model68,model69,model70,model71,model72,model73,model74,model75,model76,model77,model78,model79,model80,model81,model82,model83,model84,model85,model86,model87,model88,model89,model90,model91,model92,model93,model94,model95,model96,model97,model98,model99,model100,model101,model102,model103,model104,model105,model106,model107,model108,model109,model110,model111,model112,model113,model114,model115,model116,model117,model118,model119,model120,model121,model122,model123,model124,model125,model126,model127,model128,model129,model130,model131,model132,model133,model134,model135,model136,model137,model138,model139,model140,model141,model142,model143,model144,model145,model146,model147,model148,model149,model150,model151,model152,model153,model154,model155,model156,model157,model158,model159,model160,model161,model162,model163,model164,model165,model166,model167,model168,model169,model170,model171,model172,model173,model174,model175,model176,model177,model178,model179,model180
0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5
3,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh,relu,sigmoid,tanh
4,0.75772368233899,0.6946146144846069,0.6948718913408958,-1.900408135591114e-05,0.697834398340376,0.7022762540735648,-0.0009876611397527935,0.6968134784970189,0.6956905122841608,-0.00017924907399957668,0.7024665007769231,0.700250827494282,-0.0020850115460744334,0.6952332034319638,0.7007207101576851,0.7806472674691973,0.6816621963434221,0.6959070946571102,0.7901354070923836,0.7018701562736858,0.7233394490137229,0.7899383213262201,0.7072373852381887,0.7433005396164413,0.7954929770851867,0.7025499966787915,0.741047372449586,0.79069973090575,0.7160681343477164,0.743491833966457,0.7997427951466681,0.6748854107477801,0.6896127756100717,0.812371746933312,0.6993043019462137,0.7195800373417907,0.8091107929157703,0.6900497314065248,0.7413278490682219,0.8044149483599297,0.6963965854052832,0.7410833467038666,0.7880973862753087,0.6777849211156883,0.7330528779541721,0.795998961274458,0.6176747362903676,0.693640423037551,0.8098312900750643,0.6997515641437788,0.706639423069686,0.8035115200728798,0.655900410525602,0.7094121552650681,0.8092185936353092,0.6942225102987828,0.7254644669563578,0.8222329585661989,0.6936752153638648,0.7417557797912931,0.7571744933850507,0.7307182864949218,0.7379588827706192,-1.7604675477400633e-05,0.7411297527563203,0.7475991722761643,-0.00028160808102684065,0.7230920824976159,0.7333605769816269,-8.591063938401255e-05,0.7304306667217499,0.7419484135822456,-0.0006173901349710853,0.7398526146203188,0.7437148058835725,0.7879375494678551,0.7493820361164885,0.7504436179152938,0.8005257012214873,0.7519626340275951,0.7832812644315987,0.804498959676837,0.7495548607755647,0.7992007830991322,0.8043093861779604,0.7341863287857048,0.7842708406932605,0.8002787280462443,0.7398921647066597,0.7911426897928432,0.8115614894538574,0.7354522880238235,0.746933713374777,0.8192796362447397,0.7490700657823995,0.7815737977858699,0.8454974548917331,0.7421720285429803,0.7842964609888428,0.8330017424095253,0.7568009434452401,0.8285713237944018,0.8379429900960498,0.7423239892563482,0.8463570789883152,0.8223455005694741,0.7350412292276183,0.7375593607621198,0.8437810573780435,0.7488766656916361,0.779382756514337,0.8558798214922045,0.7517618988931541,0.8048885091330777,0.8660464561724256,0.7287059298183174,0.8287988083777045,0.8672862511936807,0.7557492424475569,0.8325714886494411,-0.00012224503264679498,0.7555304114583388,0.7477134110604404,-0.0013516647119025116,0.7576235264311856,0.7678054551802135,-4.887621773974615e-08,0.7675174929689269,0.7569746802583591,-0.00040585657148284326,0.7578640100725763,0.7657326636094214,-1.5953394482570715e-05,0.7641063957107795,0.7463069036474433,0.7829069333424657,0.7648243521836053,0.7851319051482512,0.7918949043221533,0.7739377350961133,0.7974366957623763,0.8047899574960408,0.7726864917687024,0.8105886316219515,0.7885480386602246,0.7872683952630948,0.8083690671082356,0.8141200414309407,0.7769460587612473,0.8068309707457113,0.8091179026247501,0.7725885464456967,0.7766573662805876,0.8472332806602074,0.7648444043940659,0.798441062908588,0.8526335562579699,0.7761864288727944,0.8330228044304009,0.854656786752002,0.7641798615507457,0.861392350401739,0.852707853312258,0.7741809991468755,0.8833240197284581,0.8157328835843044,0.7570098798287398,0.7631511794225776,0.8615574715862219,0.7816540246540358,0.7924490677550904,0.8671291267050998,0.7876573139674223,0.823937046400693,0.8613940010110483,0.7855336755411968,0.8521745729625578,0.8984421219359231,0.7966796852587338,0.8578990190767712
5,0.7733466632813091,0.7252895098256311,0.7216819241913441,-2.4713022559463838e-06,0.7260502270693647,0.7325644942514157,-0.0007971299546680743,0.7234252712720326,0.7251493000044944,-0.0001095276916829313,0.726431368659423,0.7306401906792083,-0.0022751459927525808,0.7202963383950086,0.7296880165842738,0.7886048797019106,0.7078562630936136,0.7225529394358852,0.78581463943833,0.7312032234138427,0.7468806255488467,0.7927474526337043,0.7346456109391668,0.7642884530539827,0.7936167838079224,0.727887240575234,0.761047998459665,0.7948640910294519,0.741023019919686,0.761718189659393,0.7881565797200345,0.7039161070752713,0.716632553418438,0.8028686143387043,0.7270677213259111,0.7424258590463364,0.8005519743408708,0.7222462017775122,0.7634900055927457,0.7934933879166594,0.7265474268247605,0.7654258487042056,0.78497759208316,0.7099803326377855,0.7516540564935039,0.7903650433875251,0.6455285306928524,0.7207798128017545,0.7859077368570189,0.730522659458435,0.7338493240536668,0.7905291516285811,0.6886389787534455,0.7290838688987318,0.794137096737559,0.7245773712705981,0.7501450705195611,0.8018523344735613,0.7257531636150882,0.7622180533467833,0.770474527331197,0.7512701746913312,0.7535398208365305,-4.698716356710264e-05,0.7554730515287531,0.761357603615891,-0.0003706092780413339,0.7427872647482979,0.7477654251853301,-0.00014046005836876319,0.7451796353263132,0.7556846341741763,-0.0004731714644732321,0.7547618885777795,0.7555145777143323,0.7889017606091766,0.7706644850396562,0.7670962571797157,0.7831443875247419,0.7729029677395248,0.7891190466656445,0.7915348528962265,0.7631268380820639,0.7943099950684933,0.7943407447324906,0.7529018314305307,0.7754540300377732,0.7947068766013727,0.7565802050553329,0.7695743635962679,0.7880565046765856,0.7581060735436648,0.7687678172204222,0.7775756797977428,0.7681670500022255,0.7882371522603163,0.7789986819491064,0.7616543613307173,0.7676056346696553,0.777303960848037,0.7699269949804167,0.7895153510302534,0.7762008552294377,0.7565301108378041,0.787415247431266,0.7876732852732398,0.757839975755168,0.752710518595191,0.7769520340497447,0.7686604258275238,0.7855090616882413,0.7796454710158154,0.7667519023662064,0.7902870075555449,0.7650442194868546,0.7426607671515866,0.7997269643746506,0.7615282256756863,0.7683894798879887,0.7633439996329809,-6.672606087154698e-05,0.7695639716785696,0.7592398670116541,-0.0015159412494489821,0.7654446349912745,0.7781206724796852,-8.641610138582223e-06,0.7764693543730249,0.7690509677838882,-0.0005091979251135026,0.7676436864887443,0.775108349328455,-1.4697241610406309e-06,0.7712757397772874,0.7584316492902401,0.7808959862268696,0.7753205635396176,0.789299005847576,0.788649932036287,0.7822622691580225,0.7745698857596346,0.7890680250750836,0.7767101840119587,0.8004102448095407,0.785638152342008,0.7939487468095963,0.7902705840216717,0.7755524489522939,0.7793909236967871,0.7823277581745833,0.7689702973436672,0.7799318413976373,0.7821963061632798,0.7644758582719726,0.7785306349453842,0.7925923729171559,0.762766578830104,0.7852358919879368,0.7871948229663057,0.7579218407083147,0.7763098306324264,0.7332628428513357,0.7584381404714312,0.78234118408948,0.7200019700962282,0.7766935160974411,0.7753844328413431,0.7670908012103301,0.7420236990965787,0.7856338270856008,0.797650848596308,0.7435296199631145,0.7863365335551981,0.7879507268314044,0.7550801024473459,0.7808042617215456,0.747035722346199,0.7183570047540386,0.7807908900581033,0.7320377462943606
