,datetime,O3_simaj,RH,O3_EcoMesure,residuals,RH_Id
1107,2021-06-16 03:00:00,0.019,79.1,0.025723733,-0.006723732999999999,D
826,2021-06-04 10:00:00,0.017,81.9,0.0133779,0.0036221000000000014,D
1325,2021-06-25 05:00:00,0.003,92.0,0.010359515,-0.007359515,D
1251,2021-06-22 03:00:00,0.018,79.3,0.02853449,-0.01053449,D
1045,2021-06-13 13:00:00,0.014,85.3,0.018982134,-0.004982134000000001,D
1447,2021-06-30 07:00:00,0.004,77.8,0.029534566,-0.025534566,D
1011,2021-06-12 03:00:00,0.023,78.1,0.017398903,0.005601096999999999,D
1029,2021-06-12 21:00:00,0.023,78.1,0.018250349,0.004749651000000001,D
1287,2021-06-23 15:00:00,0.027,89.2,0.021745697,0.005254302999999998,D
819,2021-06-04 03:00:00,0.023,83.1,0.029505561,-0.006505561,D
1112,2021-06-16 08:00:00,0.011,76.6,0.016416276,-0.005416276000000001,D
796,2021-06-03 04:00:00,0.025,85.6,0.036705714,-0.011705713999999999,D
